canonical_name,german_lemma,centrality,Intro-U1,Intro-U2,D1-U1,D1-U2,D1-U3,D1-U4,D1-U5,D1-U6,D1-U7,D1-U8,D1-U9,D2-U1,D2-U2,D2-U3,D2-U4,D2-U5,D2-U6
Being,Sein,core,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1
Dasein,Dasein,core,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Being-in-the-world,In-der-Welt-sein,core,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
Care,Sorge,core,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0
Temporality,Zeitlichkeit,core,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Being-towards-death,Sein-zum-Tode,core,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0
Disclosedness,Erschlossenheit,core,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0
Understanding,Verstehen,core,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0
State-of-mind,Befindlichkeit,core,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0
Falling,Verfallenheit,core,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0
Das Man,das Man,core,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,1
Resoluteness,Entschlossenheit,core,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
Worldhood,Weltlichkeit,important,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0
Readiness-to-hand,Zuhandenheit,important,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
Presence-at-hand,Vorhandenheit,important,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0
Authenticity/Inauthenticity,Eigentlichkeit/Uneigentlichkeit,important,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0
Anxiety,Angst,important,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0
Conscience,Gewissen,important,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Discourse,Rede,important,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Thrownness,Geworfenheit,important,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0
Truth,Wahrheit/Aletheia,important,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Spatiality,Räumlichkeit,important,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Historicality,Geschichtlichkeit,important,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Within-time-ness,Innerzeitigkeit,important,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Interpretation,Auslegung,important,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Being-with,Mitsein,important,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Destruktion,Destruktion,important,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Existence,Existenz,peripheral,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fear,Furcht,peripheral,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Signs,Zeichen,peripheral,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Idle talk,Gerede,peripheral,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Curiosity,Neugier,peripheral,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Phenomenology,Phänomenologie,peripheral,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reality,Realität,peripheral,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Circumspection,Umsicht,peripheral,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
Selfhood,Selbstheit,peripheral,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Temporalität,Temporalität,peripheral,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
