unit,source,relation,target,locus,note
rdr-01-bagnoli,rdr-01-bagnoli,defines,procedural rhetoric (Bogost),Part 2 sec.3 pp.40-43,arguments mounted through authorship of rules/dynamic models
rdr-01-bagnoli,rdr-01-bagnoli,defines,honor gauge as procedural argument,Part 2 sec.3 pp.41-42,dialogue coded good / violence coded bad = polarized value system
rdr-01-bagnoli,rdr-01-bagnoli,defines,layering of values,Part 2 sec.3.1 pp.43-44,same act unpunished in missions but penalized in free roam
rdr-01-bagnoli,rdr-01-bagnoli,defines,remediatization vs deconstruction of stereotypes,Part 2 sec.9 + Part 3,central interpretive axis of the scene analyses
rdr-01-bagnoli,rdr-01-bagnoli,defines,avatar-marionnette (Georges),Part 1 sec.2.3 pp.20-23,predefined avatar; Arthur customizable only in clothes/guns/hair
rdr-01-bagnoli,rdr-01-bagnoli,defines,presuppose / sous-entendu (Krieg-Planque),Part 2 sec.2 pp.37-39,two implicit-persuasion techniques for dialogue analysis
rdr-01-bagnoli,rdr-01-bagnoli,defines,ISA / RSA (Althusser),Part 2 secs.6-8 pp.49-57,ideology- vs violence-operating institutions mapped onto the game
rdr-01-bagnoli,rdr-01-bagnoli,cites,Ian Bogost - Persuasive Games,Part 1 sec.1 p.8; Part 2 sec.3,theoretical spine; expressive-medium thesis + procedural rhetoric
rdr-01-bagnoli,rdr-01-bagnoli,cites,Louis Althusser - Ideologie et appareils ideologiques d'Etat,Part 2 secs.6-8,ISA/RSA framework
rdr-01-bagnoli,rdr-01-bagnoli,cites,Fanny Barnabe - Narration et jeux video,Part 1 secs.2.1/4/5.3,promoter; ludo-narrative porosity + cut-scene theory
rdr-01-bagnoli,rdr-01-bagnoli,cites,Pierre-Yves Hurel - Analyse ideologique des jeux video,Part 1 sec.2.2 p.18,methodological template (ideology in gameplay + narrative)
rdr-01-bagnoli,rdr-01-bagnoli,cites,Remi Cayatte - Les jeux video americains de l'apres 11 septembre,Part 2 secs.6-7,virtual space as ISA; military-game discourse
rdr-01-bagnoli,rdr-01-bagnoli,cites,Olivier Mauco - GTA IV l'envers du reve americain,Part 1 sec.1.2; Part 2 sec.7.1,Rockstar deviant-hero formula; avatar-as-control-device
rdr-01-bagnoli,rdr-01-bagnoli,cites,Sebastien Genvo - Le role de l'avatar,Part 1 sec.2.3 pp.20-23,pouvoir-faire/devoir-faire; being vs appearing
rdr-01-bagnoli,rdr-01-bagnoli,cites,Aki Jarvinen - Games without Frontiers,Part 1 sec.2.2 pp.18-19,definitions of environment and components
rdr-01-bagnoli,rdr-01-bagnoli,cites,Salen & Zimmerman - Rules of Play,Part 1 sec.3 p.24,gameplay = free movement within rigid structure
rdr-01-bagnoli,rdr-01-bagnoli,cites,Bob Rehak - Playing at Being,Part 1 sec.5.2 pp.32-33,avatar as 'present one'; 'Yes that's what I do'
rdr-01-bagnoli,rdr-01-bagnoli,cites,Alice Krieg-Planque - Analyser les discours institutionnels,Part 2 sec.2 pp.37-39,presuppose/sous-entendu
rdr-01-bagnoli,rdr-01-bagnoli,cites,Alexis Blanchet - Des pixels a Hollywood,Part 1 sec.5; Part 2 sec.9,cinema-to-game borrowing; stereotype as narrative economy
rdr-01-bagnoli,rdr-01-bagnoli,cites,Miguel Sicart,Part 2 sec.5 pp.48-49,moral imperative inscribed in character not transferred to player
rdr-01-bagnoli,rdr-01-bagnoli,cites,J. Cameron Moore - Making Moral Choices in Video Games,Part 2 sec.5 pp.47-48,moral-choice RPGs (Fable / Mass Effect)
rdr-01-bagnoli,rdr-01-bagnoli,cites,Ruth Amossy - Stereotypes et cliches,Part 2 sec.9 p.59,definition of stereotype
rdr-01-bagnoli,rdr-01-bagnoli,cites,Dan Houser interviews (IGN / Le Temps),Part 2 sec.9 p.58; Part 1 sec.5.2,authorial intent: satire limits + western binge-watching
rdr-01-bagnoli,rdr-01-bagnoli,extends,Hurel ludo-narrative method to RDR2,Part 1 sec.2.2; Part 3,applies the two-level (gameplay+narrative) ideology method to a AAA western
rdr-01-bagnoli,rdr-01-bagnoli,extends,Bogost procedural rhetoric to the honor system,Part 2 sec.3 pp.41-44,reads honor as RDR2's primary procedural argument
rdr-01-bagnoli,rdr-01-bagnoli,extends,Mauco's Rockstar deviant-hero thesis to RDR2,Part 2 sec.7.1 pp.51-52,outlaw vs police carried from GTA analysis into RDR2
rdr-01-bagnoli,rdr-01-bagnoli,contests,Henry Jenkins 'just think about the choices you take to win',Part 2 sec.5 p.48,sides with Bogost against value-transfer-by-winning reading
rdr-01-bagnoli,rdr-01-bagnoli,concedes,player free will is itself biased by the honor system,Part 2 sec.3 pp.42-43,admits choice is constrained because bad actions are punished
rdr-01-bagnoli,rdr-01-bagnoli,qualifies,procedural morality is arithmetic/linear (Bogost),Part 2 sec.5 pp.48-49,honor morality fixed on a good-bad line; limits its ethical depth
