source,relation,target,locus,provenance,note
§45,defines,statement of essence,(p.187 / GA pp.275 / pdf 105),faithful,"The thesis holds for all animals because it is essential, not essential because universal; validity follows from essence."
statement of essence,grounds-question,zoology presupposition,(p.187 / GA pp.275 / pdf 105),faithful,"The thesis cannot be a zoological result; it must be zoology's presupposition, delimiting the field of inquiry."
§45,defines,circular movement of philosophy,(p.187 / GA pp.276 / pdf 105),faithful,"The thesis derives-from yet presupposes zoology; the circle's essential feature is the view of the centre it provides."
§45,contests,metaphysics-and-science-as-production-process,(p.189 / GA pp.279 / pdf 106),faithful,"Refuses the picture of science supplying facts and metaphysics concepts; their unity is a matter of fate."
The animal is poor in world,qualifies,Man is world-forming,(p.193 / GA pp.285 / pdf 108),faithful,"Initial self-evident reading: a difference of degree in completeness of accessibility — the reading §46 then dismantles."
§46,contests,hierarchical assessment,(p.194 / GA pp.286 / pdf 109),faithful,"No evaluative ranking: man can sink lower than any animal; amoeba as complete as ape; every species perfect as such."
poverty in world,glosses-german,deprivation,(p.195 / GA pp.287 / pdf 109),faithful,"Being poor means being deprived (Entbehren), heard through Mut/Ar-mut; not 'having less'."
deprivation,contests,sum total of accessible beings,(p.195 / GA pp.288 / pdf 109),faithful,"Because poverty is non-quantitative, 'world' cannot mean quantity, sum-total, or degree of accessible beings."
§47,defines,accessibility of beings,(p.196 / GA pp.289 / pdf 110),faithful,"Provisional definition of world: beings in each case accessible and to-be-dealt-with for a being's manner of being."
The stone is worldless,instances-in-text,having no access,(p.197 / GA pp.290 / pdf 110),faithful,"Worldlessness = having no access to the beings (as beings) amongst which the stone is; constitutive of its being."
having no access,discloses,presence-at-hand,(p.197 / GA pp.290 / pdf 110),faithful,"Not a lack: having-no-access makes possible the stone's kind of being — physical-material nature and its laws."
The animal is poor in world,contests,The stone is worldless,(p.196 / GA pp.290 / pdf 110),faithful,"Both are a not-having of world, but the animal's is deprivation while the stone cannot even be deprived."
lizard / beetle,instances-in-text,accessibility of beings,(p.198 / GA pp.291-92 / pdf 111),faithful,"Cross-out 'rock'; blade of grass = 'beetle-path': given-for-the-animal yet not accessible as a being."
environmental world,qualifies,The animal is poor in world,(p.198 / GA pp.292 / pdf 111),faithful,"Uexkull-derived Umwelt: animal immured in a fixed sphere; the thesis appears to run counter to this familiar talk."
The animal is poor in world,instances-in-text,both has and does not have world,(p.199 / GA pp.292-94 / pdf 111),faithful,"With man (access) yet with the stone (deprivation = not-having): contradictory by common logic, legitimate in metaphysics."
both has and does not have world,grounds-question,What is world?,(p.199 / GA pp.294 / pdf 111),faithful,"The intertwining of worldlessness and world-formation in the animal identifies the knot where world's elucidation must begin."
Jakob von Uexkull,extends,environmental world,(p.192 / GA pp.284 / pdf 108),faithful,"Source of the Umwelt talk Heidegger appropriates critically; the thesis seems to contradict accustomed Uexkull usage."
Max Scheler,contests,hierarchical assessment,(p.192 / GA pp.283-84 / pdf 108),faithful,"Scheler's material/life/spirit hierarchy judged a fundamental error denying access to metaphysics, though the question is essential."
accessibility of beings,bridges-to-pipeline,boredom-as-restricted-disclosure,(p.196 / GA pp.289 / pdf 110),faithful,"World = accessibility of beings as beings (disclosedness); the graded-openness model transfers to boredom as constrained disclosure."
deprivation,interprets-experiment-finding,boring-stimulus-as-mode-not-deficit,(p.195 / GA pp.287 / pdf 109),faithful,"Poverty-as-deprivation (not quantitative 'less') underwrites reading the lab's boring condition as a mode of disclosure, not stimulus-deficit."
fcm-10,marginal-note,Heidegger-on-Uexkull-in-BT-and-FCM.md,(p.192 / GA pp.284 / pdf 108),faithful,"Cross-reference to companion asset tmp/heidegger-uexkull-bt-report/ on the Uexkull/Umwelt strand across BT and FCM; analysis here is from the FCM text directly."
