source,relation,target,locus,note
bor-sec-02,treats-construct,CONSTRUCT:profound/deep boredom (FCM 3rd form),p.665,"boredom named alongside anxiety as a mood that poignantly discloses thrownness; not analyzed in this unit, deferred to bor-sec-03"
bor-sec-02,treats-construct,CONSTRUCT:temporality of boredom (time-drag),n.13 p.669-670,"explicitly deferred to companion essay bor-sec-03; load-bearing scope note for the concordance"
bor-sec-02,treats-construct,CONSTRUCT:flow / engagement (contrast pole),p.665-666,"oblique: mood said to make circumspective engagement with the world possible"
bor-sec-02,defines,TERM:Befindlichkeit,p.663,"ontological structure of finding oneself situated/attuned meaningfully; left untranslated by the authors"
bor-sec-02,defines,TERM:Stimmung,p.663-664,"ontic manifestation of Befindlichkeit; mood"
§3.1,defines,CLAIM:moods as atmospheres not inner states (C2),p.663-664,"pre-reflective unthematic disclosure prior to and more primordial than cognition"
§3.1,cites,GERMAN:Heidegger 1995 p.67 (FCM atmosphere passage),p.663-664,"quoted directly; precedes fcm-04's own coverage (book pp.78-105), so cited here without an fcm-0N bridge"
§3.2,defines,CLAIM:mood discloses thrownness/world-as-whole/mattering (C3),p.664-666,"the three essential characteristics of Befindlichkeit"
§3.2,instances-in-text,TERM:Mitdasein,p.665,"disclosed equiprimordially with world and self by mood"
§3.3,defines,CLAIM:evasive turning-away constitutes fallenness (C4),p.666,"Dasein flees into 'the they' rather than facing its own facticity"
§3.3,instances-in-text,TERM:Angst (anxiety),p.666-667,"sustained case study of anxiety's disclosive/revelatory function"
§3.3,defines,TERM:Grundbefindlichkeit,p.667-668,"anxiety named as the ground-attunement grounding fear and other moods"
§3.3,qualifies,CLAIM:fear as inauthentic mode of Befindlichkeit (C6),p.667-668,"fear's turning-away is a genuine fleeing, unlike anxiety's"
§3.3,contests,CLAIM:fear classified as a mood rather than an emotion,p.668,"directedness at a determinate worldly entity favors reading fear as an emotion (C7)"
§3.3,cites,INTERLOCUTOR:Lauren Freeman,p.668,"self-cite (2015 forthcoming) on fear's status as emotion rather than mood"
§3.3,cites,INTERLOCUTOR:William Blattner,p.668,"Heidegger's Being and Time: A Reader's Guide (2006); agrees fear may not be a mode of Befindlichkeit"
§3.1,qualifies,TERM:Befindlichkeit (translation debate),p.663 n.4,"surveys Macquarrie & Robinson, Carman, Dahlstrom, Haugeland, Dreyfus, Blattner, Crowell, Guignon, Stambaugh; none judged fully adequate"
§3.1,cites,INTERLOCUTOR:Charles Guignon,p.663 n.4,"'situatedness' rendering of Befindlichkeit, judged to lack the finden sense"
§3.1,cites,INTERLOCUTOR:Hubert Dreyfus,p.663 n.4,"'affectedness' rendering; also prefers 'mood' over 'attunement' for Stimmung"
§3.1,cites,INTERLOCUTOR:John Haugeland,p.663 n.4,"'findingness' neologism; objects to 'disposition' as implying subjectivity"
§3.1,cites,INTERLOCUTOR:Taylor Carman,p.663 n.4,"among translators using 'disposition'/'disposedness' for Befindlichkeit"
§3.1,cites,INTERLOCUTOR:Daniel Dahlstrom,p.663 n.4,"among translators using 'disposition'; further discussion of the translation problem"
§4,concedes,CLAIM:Heidegger's near-silence on emotion in BT,p.668,"explained by BT's ontological (not ontic) aim, but judged an incomplete account of affectivity (C8)"
§4,defines,CLAIM:moods as background condition for emotions (C9),p.668-669,"authors' own interpretative proposal (FE)"
§4,cites,INTERLOCUTOR:Matthew Ratcliffe,p.668-669,"Feelings of Being (2008); 'Why Moods Matter' (2013); cited in support of C9"
§4,cites,INTERLOCUTOR:Jan Slaby,p.668-669,"'The Other Side of Existence' (2014); cited in support of C9"
§4,cites,INTERLOCUTOR:Andreas Elpidorou,p.668-669,"self-cite, 'Moods and Appraisals' (2013); cited in support of C9"
bor-sec-02,instances-in-text,TERM:Sorge (care),p.663,"unifying ontological structure of the four existentials (Befindlichkeit, understanding, fallenness, talk)"
bor-sec-02,instances-in-text,TERM:Erschlossenheit (disclosedness),p.662,"Heidegger's alternative to a subject-object/consciousness model of existence"
bor-sec-02,shifts-debate-axis,DEBATE-AXIS:anxiety vs. profound boredom as candidate Grundstimmung,p.662 n.2,"flags that 'Grundstimmung' appears only once in BT and becomes central only after 1929 -- i.e. in FCM"
bor-sec-02,bridges-to-fcm,fcm-04-first-form,FCM §22 p.90 / GA pp.135-36 / pdf 58,"P/anticipatory-application: this essay's anti-consciousness/anti-subjectivist mood theory (C2) is the general premise fcm-04 §22 re-derives specifically for boredom's station scene"
bor-sec-02,bridges-to-fcm,fcm-04-first-form,FCM §23a-b book pp.92-99,"P/anticipatory-application: this essay's evasive-turning-away/fallenness account (C4) is the general form of which Zeitvertreib (passing-the-time) is boredom's specific instance"
bor-sec-02,bridges-to-fcm,fcm-05-second-form,FCM §1 book p.133 / GA p.200 / pdf 78,"P/anticipatory-application: this essay's claim that mood 'arises out of being-in-the-world' rather than outside/inside anticipates fcm-05's contrast that the second form 'arises out of Dasein itself'"
bor-sec-02,bridges-to-fcm,fcm-06-third-form,FCM §3 book p.138 / GA p.208 / pdf 80,"P/anticipatory-application: this essay's 'discloses being-in-the-world as a whole' characteristic (C3) is radicalized by fcm-06's totalizing indifference of beings 'as a whole'"
bor-sec-02,bridges-to-fcm,fcm-07-particular-profound,FCM book pp.160-168,"P/anticipatory-application: this essay's case for anxiety as BT's Grundbefindlichkeit is the terminological/structural precedent FCM contests and displaces with profound boredom as the Grundstimmung of contemporary Dasein"
bor-sec-02,cites-cluster-author,bor-sec-03,n/a (companion essay; p.661 abstract; n.13 p.669-670),"explicit companion piece naming; carries Befindlichkeit's temporal structure and boredom proper forward"
bor-sec-02,cites-cluster-author,bor-sec-04,p.665-667 (P/anticipatory-application),"this essay's BT-level anxiety/thrownness-disclosure machinery is presupposed by the later authenticity question 'Is Profound Boredom Boredom?'"
bor-sec-02,cites-cluster-author,bor-sec-05,p.666-668 (P/anticipatory-application),"this essay's central fear-vs-anxiety distinction (C6/C7) is the conceptual groundwork 'Fear, Anxiety, and Boredom' (2020) builds on"
bor-sec-02,cites-cluster-author,bor-sec-06,p.663-666 (P/anticipatory-application),"this essay's Befindlichkeit/Stimmung architecture is the BT groundwork Elpidorou's solo 2023 phenomenology-of-boredom synthesis presupposes"
bor-sec-02,cites-cluster-author,bor-sec-25,p.665-666 (P/anticipatory-application),"this essay's revelatory/disclosive, non-epiphenomenal account of mood is the philosophical precursor to Elpidorou's later naturalized regulatory-signal account of boredom specifically"
bor-sec-02,cites-cluster-author,bor-sec-26,p.665-666 (P/anticipatory-application),"same disclosive-mood precursor relation, for the companion regulatory paper 'The Good of Boredom'"
