source,relation,target,locus,note
rdr-03-tuominen,defines,ideological state apparatus (ISA),sec 2.1.1 pp.7-9,"institutions (religion/education/family) functioning by ideology; relocated inside the diegesis"
rdr-03-tuominen,defines,repressive state apparatus (RSA),sec 2.1.1 pp.7-8,"government/police/army functioning by violence; in-game = lawmen/Pinkertons/US Army"
rdr-03-tuominen,defines,interpellation / hailing,sec 2.1.1 pp.9; 5.2.2,"apparatus offers identity accepted as natural; game hails player to submit and to progress"
rdr-03-tuominen,defines,two-level apparatus / open-world ideology,Introduction p.3; 5.3 p.61,"game is both a cultural ISA and a world rendering its own apparatuses"
rdr-03-tuominen,defines,directed / illusory freedom,sec 2.4 pp.25-26,"open-world freedom largely illusory; 'experiences of experiences'"
rdr-03-tuominen,defines,radical Italian (Spaghetti) Western,sec 2.1.3 pp.13-15,"genre that strips Western of morality to indict bourgeois society"
rdr-03-tuominen,defines,player-as-revolutionary,Introduction pp.2-3; 2.5 p.31,"mastering a game = attempt to capture State power from designers"
rdr-03-tuominen,defines,field of possibilities / incomplete universe,ch.7 p.75,"what is rendered possible vs impossible encodes a worldview"
rdr-03-tuominen,cites,Althusser (2012) Mapping Ideology,secs 1-2; 5.3; ch.7,"the theoretical spine of the whole thesis"
rdr-03-tuominen,cites,Bogost (2007) Persuasive Games,sec 2.3 pp.19-20,"procedural rhetoric; games as powerful rhetorical tools"
rdr-03-tuominen,cites,Fisher (2014) Radical Frontiers in the Spaghetti Western,secs 2.1.3 5.1 5.3,"four plot variants; RSA plot as bridge to Althusser"
rdr-03-tuominen,cites,Zizek (2012) Mapping Ideology / Zizek (2017),secs 2.4 5.3 7,"society of the spectacle; free-floating vs total control; end-of-history"
rdr-03-tuominen,cites,Mitchell (2017) Ludopolitics,secs 2.4 2.5 4,"illusory freedom; 'devices we operate and that operate us'"
rdr-03-tuominen,cites,Murray S. (2018) On Video Games,secs 2.3 2.5 6,"visual politics; frontier/colonial critique; collective imaginary"
rdr-03-tuominen,cites,Bown (2018) PlayStation Dreamworld,secs 2.4 4,"algorithmic desire; immersion as interpellation to dream state"
rdr-03-tuominen,cites,Galloway (2006) Gaming,sec 2.4 pp.26-27,"active vision; mutable game time/space"
rdr-03-tuominen,cites,Quijano-Cruz (2008),secs 1 3.1 5.3,"every game contains an Althusserian apparatus of ideology"
rdr-03-tuominen,cites,Garite (2003) Ideology of Interactivity,sec 3.1 p.33,"games operate on players through interactive interpellation"
rdr-03-tuominen,cites-cluster-author,Bagnoli (2019) RDR2 MA thesis,secs 3.2 6 pp.38 69,"closest sibling; also Althusserian reading of RDR2"
rdr-03-tuominen,cites-cluster-author,Westerside & Holopainen (2019) Sites of Play,secs 3.2 6 pp.38 71,"'world to exist in'; place/gameplace in RDR2"
rdr-03-tuominen,cites-cluster-author,Morgan (2020) digital ethnography of RDR2,secs 3.2 6 pp.38-39 69,"hegemonic masculinity/whiteness reading"
rdr-03-tuominen,cites-cluster-author,Donald & Reid (2020) The Wild West,secs 3.2 6 pp.39 71,"education / historical accuracy of RDR2"
rdr-03-tuominen,extends,Quijano-Cruz (2008),sec 5.3 p.61; ch.6,"extends the every-game-has-apparatuses claim into RDR's specific RSA/ISAs"
rdr-03-tuominen,extends,Fisher (2014) RSA plot,sec 5.3 pp.63-65,"transplants the Spaghetti-Western RSA plot from film to AAA open world"
rdr-03-tuominen,extends-reading-of,Bagnoli (2019),ch.6 p.69,"goes further by theorizing game-specific ISAs and player-progression interpellation, not just representation"
rdr-03-tuominen,extends-reading-of,Westerside & Holopainen (2019),ch.6 p.71,"adopts 'world to exist in' and extends it to camouflage of player-centrality"
rdr-03-tuominen,contests,Humphreys (2012),secs 3.2 6 pp.36 68,"contests that RDR advocates neoliberalism/exceptionalism/white supremacy"
rdr-03-tuominen,contests-reading-of,Morgan (2020),ch.6 pp.69-70,"Morgan 'does not grasp' the gang's communal-survival logic as alternative-bearing"
rdr-03-tuominen,contests-reading-of,Humphreys (2012) / Triana (2015) / Westerside & Holopainen (2019),ch.6 p.68,"contests reading John Marston as a cowboy; argues he is an outlaw"
rdr-03-tuominen,concedes,Morgan (2020),ch.6 p.69,"concedes the player/game control balance shifts from one extreme to another"
rdr-03-tuominen,concedes,Westerside & Holopainen (2019),ch.6 p.68,"concedes RDR2 contains more progressive messages than RDR"
rdr-03-tuominen,qualifies,Bown (2018),sec 2.4 p.29,"qualifies Bown via Merilainen: player is not a helpless automaton"
rdr-03-tuominen,qualifies,Donald & Reid (2020),ch.6 p.71,"qualifies relevance: they ignore RDR2's narrative, so comparison is hard"
rdr-03-tuominen,qualifies,Muriel & Crawford (2018),sec 2.5 p.32; 5.3,"qualifies their personal-responsibility view via Zizek's circumstances critique"
rdr-03-tuominen,shifts-debate-axis,RDR ideology debate (complicit -> subversive critique),secs 5.3 6 7,"reframes from 'is it ideological' to 'does it endorse or unmask neoliberalism'; answers unmask"
rdr-03-tuominen,shifts-debate-axis,framing tradition (American artifact -> European capitalism-critique),ch.6 pp.70,"situates RDR in the Spaghetti-Western European critique tradition"
rdr-03-tuominen,shifts-debate-axis,scope (single-title -> series-as-whole),sec 5.2.2; ch.6 p.72,"insists RDR2+RDR be read as one entity for ideological analysis"
rdr-03-tuominen,treats-game-element,honor system,sec 5.2.1 pp.52-53,"procedural-rhetorical but incoherent: must commit vice to act heroic"
rdr-03-tuominen,treats-game-element,no-honor-cost KKK killing,sec 5.2.1 pp.52-53,"rules imply 'killing racists is okay' - mechanic carries progressive content"
rdr-03-tuominen,treats-game-element,collective stash / 'check the books',secs 5.2 5.2.2 pp.51-55,"socialist redistribution; Arthur most generous; gang stays poor; money irrelevant"
rdr-03-tuominen,treats-game-element,main-mission vs side-activity economy,secs 2.1.2 5.2.1 pp.12 52,"reward gradient interpellates player toward the linear story"
rdr-03-tuominen,treats-game-element,Van der Linde cast + side quests as ISAs,secs 3.1 5.2.2 pp.34 54-55,"NPC cast and activities explicitly identified as in-game ISAs"
rdr-03-tuominen,treats-game-element,Dutch's 'Tahiti' utopia plan,sec 5.2.2 pp.55-56,"Robin Hood facade; false promise that engineers interpellation"
rdr-03-tuominen,treats-game-element,bank-manager 'real American indebted' line,sec 5.2.2 pp.56-57,"game congratulates player's submission to the neoliberal state"
rdr-03-tuominen,treats-game-element,'season meat but cannot swim underwater' boundary,ch.7 p.75,"emblem of designed incomplete universe"
rdr-03-tuominen,treats-game-element,slogans 'Outlaws for Life' vs 'Outlaws to the End',sec 5.3 p.65,"encode arc from living alternative to inevitable loss"
rdr-03-tuominen,treats-game-element,story-completion statistic (~22%),sec 5.2 p.50,"cowboy-simulator play = failure of interpellation"
rdr-03-tuominen,treats-game-element,Spaghetti-Western set-piece borrowings,sec 5.3 p.64,"Fort Mercer~Django; Tall Trees~Il Grande Silenzio; Mexico~Per un pugno di dollari"
rdr-03-tuominen,treats-game-element,lifelike-NPC behavior contrast,ch.6 p.71,"'world exists despite the player' (RDR) vs 'for the player' (GTA)"
rdr-03-tuominen,treats-game-element,Jack Marston as third playable character,sec 5.2.2 p.60,"the 'woke' educated youth carrying the surviving revolutionary alternative"
rdr-03-tuominen,instances-in-text,Rockstar crunch-culture contradiction,sec 5.3 pp.61-63,"progressive content vs studio's exploitative labor (Schreier/Sinclair/Berry/Badenhorst)"
rdr-03-tuominen,instances-in-text,GTA+RDR combined American timeline,sec 5.3; 7.1 pp.65-66 76,"RDR lays foundations; GTA simulates the hypercapitalist 'theme park' result"
rdr-03-tuominen,instances-in-text,researcher reflexivity acknowledgment,ch.6 p.72,"white North-European proletarian gamer position may shape the reading"
