source_id,relation,target_id,domain,centrality_tier,book_page,provenance,notes
C-CONTAIN,defines,C-SCENE-ACT,dramatism,1,3,burke,scene as container of act is the master spatial metaphor of the chapter
C-CONTAIN,defines,C-SCENE-AGENT,dramatism,1,3,burke,scene contains the agents under the same container logic
C-CONTAIN,defines,C-CONSISTENCY,dramatism,1,3,burke,dramatic consistency: act/agent quality must align with scene quality
R-SCENE-ACT,ratio-of,burke-scene,dramatism,1,3,burke,scene-act ratio: first pentad term
R-SCENE-ACT,ratio-of,burke-act,dramatism,1,3,burke,scene-act ratio: second pentad term
R-SCENE-AGENT,ratio-of,burke-scene,dramatism,1,7,burke,scene-agent ratio: first pentad term
R-SCENE-AGENT,ratio-of,burke-agent,dramatism,1,7,burke,scene-agent ratio: second pentad term
R-SCENE-AGENCY,ratio-of,burke-scene,dramatism,2,15,burke,scene-agency ratio: first pentad term
R-SCENE-AGENCY,ratio-of,burke-agency,dramatism,2,15,burke,scene-agency ratio: second pentad term (developed elsewhere in the volume)
R-SCENE-PURPOSE,ratio-of,burke-scene,dramatism,2,15,burke,scene-purpose ratio (Burke notes treatment 'elsewhere in the Grammar')
R-SCENE-PURPOSE,ratio-of,burke-purpose,dramatism,2,15,burke,second term
R-ACT-AGENT,ratio-of,burke-act,dramatism,1,15,burke,act-agent ratio receives special attention in Range section
R-ACT-AGENT,ratio-of,burke-agent,dramatism,1,15,burke,second term
R-ACT-AGENCY,ratio-of,burke-act,dramatism,2,15,burke,act-agency ratio (passing treatment in this chapter)
R-ACT-AGENCY,ratio-of,burke-agency,dramatism,2,15,burke,second term
R-ACT-PURPOSE,ratio-of,burke-act,dramatism,2,15,burke,act-purpose ratio
R-ACT-PURPOSE,ratio-of,burke-purpose,dramatism,2,15,burke,second term
R-AGENT-AGENCY,ratio-of,burke-agent,dramatism,2,15,burke,agent-agency ratio
R-AGENT-AGENCY,ratio-of,burke-agency,dramatism,2,15,burke,second term
R-AGENT-PURPOSE,ratio-of,burke-agent,dramatism,2,15,burke,agent-purpose ratio
R-AGENT-PURPOSE,ratio-of,burke-purpose,dramatism,2,15,burke,second term
R-AGENCY-PURPOSE,ratio-of,burke-agency,dramatism,2,15,burke,agency-purpose ratio (Burke flags treatment 'elsewhere'; developed in GM-07)
R-AGENCY-PURPOSE,ratio-of,burke-purpose,dramatism,2,15,burke,second term
R-SCENE-ACT,applies-pentad-to,LIT-IBSEN-ENEMY,literary-analysis,1,3,burke,Ibsen Enemy of the People as paradigm worked example of scene-act ratio
