source,relation,target,locus,note
rdr-09,defines,empathy as trainable skill of sharing another's feelings,Introduction,"vital interpersonal skill; antipathy breeds conflict; storytelling the best way to build it"
rdr-09,defines,player-as-performer (player is an actor),Players as Performers,"shifts from technical-task performance to artistic embodiment of the character"
rdr-09,defines,lifeworld,The Lifeworld,"Husserl's subjective first-person world; via Follesdal"
rdr-09,defines,intersubjective collision and overlap of lifeworlds,The Lifeworld,"player's world 'crashes' into Arthur's; doubled structure / full overlap; names the title 'crash of worlds'"
rdr-09,defines,identification as automatic shift of self-perceptions,Living Vicariously Through the Character,"Klimmt et al.; audience replaces own identity with the character's"
rdr-09,defines,character attachment,Embodying Character and Experience,"gradual 'melding of minds' over hours of play; Bowman et al."
rdr-09,defines,user-character empathy,Embodying Character and Experience,"Morrison & Ziemke; empathy the player develops for the avatar"
rdr-09,defines,not-not-me,Differing Approaches and Emotional Connection to the Character,"Schechner; player is not Arthur but not not Arthur"
rdr-09,defines,magic 'if',Research for the Role,"Stanislavski; imaginative lever equated with player experimentation"
rdr-09,defines,paidia and ludus,The Experience of Play,"Frasca/Jensen; RDR2 blends free play and rule-bound play"
rdr-09,defines,possibility space,The Experience of Play,"Jensen; bounded-but-free zone where meaning and pleasure reside"
rdr-09,defines,narrauthor vs simauthor,Game Mechanics,"Jensen; designer who dictates paths vs. designer who only legislates rules"
rdr-09,defines,immersion phases,The Experience of Play,"Nacke; engagement, engrossment, total immersion; plus imaginative immersion"
rdr-09,cites,Edmund Husserl,The Lifeworld,"founder of phenomenology; lifeworld; one-world-many-lifeworlds passage"
rdr-09,cites,Dagfinn Follesdal,The Lifeworld,"'The Lebenswelt in Husserl'; we experience a full-fledged person, not an inferred body"
rdr-09,cites,Konstantin Stanislavski,Players as Performers,"An Actor Prepares; 'the actor does not live, he plays'; magic 'if'; objectives"
rdr-09,cites,Richard Schechner,Differing Approaches and Emotional Connection to the Character,"'Restoration of Behavior'; not-not-me; performer/text/environment/audience"
rdr-09,cites,PJ Manney,Empathizing With the Other,"storytelling is the key to empathy; social empathy and cultural change"
rdr-09,cites,Ossy Dwi Wulansari et al.,Developing Empathy,"video games and empathic emotion; empathy's interpersonal/professional value"
rdr-09,cites,India Morrison and Tom Ziemke,Living Vicariously Through the Character,"cognitive-neuroscience empathy; mirror neurons; user-character empathy"
rdr-09,cites,Christoph Klimmt et al.,Living Vicariously Through the Character,"identification as automatic shift of self-perceptions; often non-reflective in play"
rdr-09,cites,Nicholas David Bowman et al.,Embodying Character and Experience,"character attachment as 'melding of minds'; pro-/anti-social MMO motivations"
rdr-09,cites,Lennart Nacke,The Experience of Play,"Affective Ludology; three immersion phases; imaginative immersion = empathy/atmosphere"
rdr-09,cites,Graham H. Jensen,Game Mechanics,"ludus/paidia, possibility space, narrauthor/simauthor, implicit manipulation rules"
rdr-09,cites,Gonzalo Frasca,The Experience of Play,"Ludology Meets Narratology; simulation games let players set own goals; no winning plot"
rdr-09,cites,Henry Jenkins,The Experience of Play,"'Reality Bytes'; ethical testing grounds; games uniquely produce guilt over fictional characters"
rdr-09,cites,Grant Tavinor,Research for the Role,"video games and interpretative performance; players may not know the impact of their performance"
rdr-09,cites,Tilo Hartmann et al.,Living Vicariously Through the Character,"unjustified virtual violence produces guilt in empathetic players; justified violence reduces guilt"
rdr-09,cites,Sven Joeckel Bowman and Dogruel,Living Vicariously Through the Character,"moral intuitions guide quick in-game decisions"
rdr-09,cites,Craig A. Anderson et al.,Introduction,"violence/aggression meta-analysis used to frame the violence-effects pole of the field"
rdr-09,cites,Joseph Metz,Game Mechanics,"TheGamer; honor's effects on Arthur's grave epitaphs"
rdr-09,cites,Rockstar Games (Red Dead Redemption II),Game Mechanics,"primary text; 2018 PS4 release analyzed throughout"
rdr-09,treats-game-element,Arthur Morgan's redemptive character arc,Introduction,"arc toward guilt/doing-better bends with honorable or dishonorable portrayal"
rdr-09,treats-game-element,Downes encounter and tuberculosis infection,The Experience of Play,"forced beating; blood cough infects Arthur; TB drives mortality/morality reckoning"
rdr-09,treats-game-element,honor system and honor scale,Game Mechanics,"gradient bar + cowboy icons; discounts/prices, NPC mood, gated items, dialogue, visions"
rdr-09,treats-game-element,four endings and spirit-animal visions,Game Mechanics,"Micah mole + shootout; coyote (dishonor/Micah kill) vs stag (honor/TB death)"
rdr-09,treats-game-element,Arthur's grave variation,Game Mechanics,"epilogue as John; flowered vs bare grave with different epitaphs by honor"
rdr-09,treats-game-element,Saint Denis 'pet' shack implied rape,The Lifeworld,"optional dark event; belt unbuckle + drained vitals; reload-to-undo for Arthur but not for the player's memory"
rdr-09,treats-game-element,death of Arthur's horse,Living Vicariously Through the Character,"genuine grief over a virtual loss; the horse 'was also theirs'"
rdr-09,treats-game-element,snowy-mountain opening tutorial,Research for the Role,"teaches core actions; actor handed techniques/tools; thin early backstory"
rdr-09,treats-game-element,Valentine store robbery,Research for the Role,"magic-'if' test; escalating bounty and lawmen if owner killed or escape fails"
rdr-09,treats-game-element,countryside snakebite rescue,Research for the Role,"help/ignore choice; suck venom or give cure; honor + free gun from grateful man"
rdr-09,treats-game-element,KKK meeting and prisoner-coach rescue,Living Vicariously Through the Character,"KKK kill is honor-neutral; coach rescue mixes dishonor (officers) and honor (freed prisoner)"
rdr-09,treats-game-element,map and containment mechanics,Game Mechanics,"fog-of-war, mission markers, rock walls, Blackwater red zone, river 'invisible sniper'"
rdr-09,treats-game-element,NPC stories and Arthur's journal,Empathizing With the Other,"optional listening and journal access build empathy and reveal Arthur's private self"
