source,relation,target,locus,note
bor-sec-32,defines,task-induced boredom (operational definition: posttask minus pretask boredom-probe delta),~p.3-4,"The paper's key operational construct: state boredom is measured as the magnitude of change from pre- to post-task self-report, distinguished throughout from trait boredom proneness (FAITHFUL-Yakobi et al., ~p.3-4)."
bor-sec-32,treats-construct,situational vs. trait/state boredom,~p.8,"Central dissociation and main finding: state (task-induced) boredom predicts task performance/P3/ERN; trait BP predicts only resting-state EEG power, with no influence on behavior, brain activity during the task, or task-induced boredom itself (FAITHFUL-Yakobi et al., p.8)."
bor-sec-32,treats-construct,boredom proneness,~p.7-8,"Measured via the Short Boredom Proneness Scale (Struk et al., 2017); negatively predicts resting alpha/theta power in eyes-open rest only; null relationship to performance/state boredom attributed to task self-adjustment, EEG-lab novelty, and restricted BP range (FAITHFUL-Yakobi et al., p.7-8)."
bor-sec-32,treats-construct,mind-wandering / task-unrelated thought,~p.9-10,"Not measured; invoked only as an interpretive DMN/alpha citation chain (Mo et al. 2013; Mittner et al. 2016; Danckert & Isacescu 2017; Danckert & Merrifield 2018) to interpret, not measure, the resting-alpha/BP finding (FE, p.9-10)."
bor-sec-32,treats-construct,attentional disengagement / meta-awareness,~p.1,"Foundational definitional construct adopted from Eastwood et al. (2012): boredom as 'characterized by attentional disengagement and an unmet desire to find some activity to occupy one's mind'; operationalized via errors and P3/ERN amplitude (FAITHFUL-Yakobi et al., p.1)."
bor-sec-32,treats-construct,boredom-as-regulatory-signal (functional account),~p.1,"Invoked via Danckert (2019, exploration/exploitation balance) and Kurzban et al. (2013, opportunity-cost/inefficient-resource-allocation signaling); the study's own dissociable, non-generic-deficit results are read (by this cluster's synthesis, not the authors) as consonant with this framing (FE, p.1; P/anticipatory-application for the debate-axis reading)."
bor-sec-32,treats-construct,flow / engagement (contrast pole),~p.2,"Discussed only via citation to Katahira et al.'s (2018) three-condition EEG study (boredom < flow/overload in alpha, theta power); not part of this study's own experimental design (FE, p.2)."
bor-sec-32,operationalizes-measure,behavioral (RT / errors / performance-monitoring),~p.3/5,"Go/no-go task (Garavan et al., 1999, 2002), N=85, adaptive SOA targeting ~30% commission-error rate; commission errors (B=6.11, p=.006) and task demand (B=-0.045, p<.001) predict task-induced boredom, BP does not (FAITHFUL-Yakobi et al., p.3, 5)."
bor-sec-32,operationalizes-measure,self-report / survey scale,~p.3-5,"Short Boredom Proneness Scale (8-item); pre/post state-boredom probes (1-9 slider, task-induced = post minus pre); task-demand rating (1-100 slider); full descriptive statistics in Table 1 (FAITHFUL-Yakobi et al., p.3-5)."
bor-sec-32,operationalizes-measure,EEG alpha/theta power,~p.4/7-8,"Resting-state spectral power (N=79) via individual-alpha-frequency method (Corcoran et al., 2018); BP negatively predicts alpha/theta specifically in eyes-open rest; alpha negatively relates to ERN magnitude, P3 relates positively to Oz theta/alpha power (FAITHFUL-Yakobi et al., p.4, 7-8)."
bor-sec-32,operationalizes-measure,EEG eyes-open vs. eyes-closed,~p.4/7,"Fixed factor in the resting-state linear mixed model (Table 3); condition and its interactions with band and BP are significant; the BP-power association is confined to the eyes-open condition (FAITHFUL-Yakobi et al., p.4, 7)."
bor-sec-32,operationalizes-measure,"EEG event-related potentials (P3, ERN) [unlisted MEASURE sub-type]",~p.4/6,"Stimulus-locked P3 (Pz, 400-600ms, N=82) and response-locked ERN (Fz per Method text/Cz per Table 2 header, 0-100ms, N=78); both amplitudes significantly reduced with higher task-induced boredom, independent of task demand/errors/BP (FAITHFUL-Yakobi et al., p.4, 6)."
bor-sec-32,operationalizes-measure,blink/eye-closure (EOG),~p.4/12,"Horizontal/vertical EOG electrodes recorded solely for ICA-based ocular-artifact correction; not analyzed as a substantive boredom-related dependent variable (FAITHFUL-Yakobi et al., p.4, 12)."
bor-sec-32,construct-measured-by,situational vs. trait/state boredom <- EEG alpha/theta power (trait pathway) + EEG event-related potentials/behavioral (state pathway),~p.6-8,"The paper's own internal construct-measure pairing, and its central finding: trait BP is measured exclusively through resting-state alpha/theta power, while state (task-induced) boredom is measured through task performance and the P3/ERN, with no cross-over (FAITHFUL-Yakobi et al., p.6-8)."
bor-sec-32,construct-measured-by,"attentional disengagement / meta-awareness <- EEG event-related potentials (P3, ERN)",~p.6,"P3 operationalizes attentional-resource allocation (context updating); ERN operationalizes performance monitoring; both reduced with higher task-induced boredom (FAITHFUL-Yakobi et al., p.6)."
bor-sec-32,construct-measured-by,boredom-as-regulatory-signal (functional account) <- behavioral (RT / errors / performance-monitoring) via the commission-error-specific (non-omission) pattern,~p.9-10,"The authors' own rejection of 'a simple mechanism of reduced attention' (which would predict elevated misses) in favor of a commission-error-specific, dissociable pattern is the empirical basis for reading this study's results as more consonant with a functional/regulatory account than a generic deficit account (FAITHFUL-Yakobi et al., p.9-10; P/anticipatory-application for the debate-axis framing)."
bor-sec-32,cites,"Eastwood, John D., Frischen, A., Fenske, M.J., & Smilek, D. (2012) -- The Unengaged Mind",~p.1,"Source of the definitional premise adopted throughout: boredom as 'the unfulfilled desire to be engaged in a satisfying mental activity,' characterized by attentional disengagement (FAITHFUL-Yakobi et al., p.1)."
bor-sec-32,cites,"Danckert, James (2019) -- Boredom: Managing the Delicate Balance Between Exploration and Exploitation",~p.1,"Source of the functional/regulatory framing of boredom adopted in the introduction; notably the paper's own senior/last author, not Elpidorou (FE, p.1)."
bor-sec-32,cites,"Kurzban, R., Duckworth, A., Kable, J.W., & Myers, J. (2013) -- An Opportunity Cost Model of Subjective Effort and Task Performance",~p.1,"Source of the 'boredom signals inefficient allocation of mental resources' framing, cited alongside Danckert (2019) as the paper's functional-account grounding (FE, p.1)."
bor-sec-32,cites,"Elpidorou, Andreas (2020) -- Is Boredom One or Many? A Functional Solution to the Problem of Heterogeneity",~p.1,"Cited in footnote 1 only for the unidimensionality-vs-multidimensionality debate ('our theoretical approach is aligned with Elpidorou (2020) which argued strongly for one boredom, as opposed to many'); a distinct paper from this cluster's bor-sec-25/26 regulatory-theory units, neither of which appears in this article's reference list -- NOT a cites-cluster-author match (FAITHFUL-Yakobi et al., p.1)."
bor-sec-32,cites,"Malkovsky, E., Merrifield, C., Goldberg, Y., & Danckert, J. (2012)",~p.1,"Prior SART study linking BP to diminished post-error slowing (performance monitoring); direct behavioral precedent this study extends into EEG (FAITHFUL-Yakobi et al., p.1)."
bor-sec-32,extends,"Hunter, Amara, & Eastwood, John D. (2018)",~p.1/5,"SART study linking BP to omission/commission errors; this study replicates and extends Hunter & Eastwood's multi-probe block-correlation method to show the same posttask-only pattern for state boredom, performance, and ERPs (FAITHFUL-Yakobi et al., p.1, 5)."
bor-sec-32,cites,"Golubchik, P., Manor, I., Shoval, G., & Weizman, A. (2020)",~p.1,"Methylphenidate (MPH) study showing MPH reduces both ADHD symptoms and BP ratings in tandem after 3 months; cited as behavioral evidence for the BP-attention/ADHD relationship motivating this study (FAITHFUL-Yakobi et al., p.1)."
bor-sec-32,extends,"Katahira, K., Yamazaki, Y., Yamaoka, C., Ozaki, H., Nakagawa, S., & Nagata, N. (2018)",~p.2,"Extends this EEG boredom/flow/overload study (lower alpha/theta in boredom) by adding trait BP, ERP measures (P3/ERN), and explicit task-demand control absent from the earlier design (FAITHFUL-Yakobi et al., p.2)."
bor-sec-32,cites,"Tabatabaie, A.F., Azadehfar, M.R., Mirian, N., Noroozian, M., Yoonessi, A., Saebipour, M.R., & Yoonessi, A. (2014)",~p.2,"Music-boredom key-press study finding decreased high-beta power prior to boredom key-presses; cited as further evidence state boredom is accompanied by reduced EEG power in distinct frequency bands (FAITHFUL-Yakobi et al., p.2)."
bor-sec-32,contests-reading-of,"Nunez Castellar, E.P., Antons, J.N., Marinazzo, D., & Van Looy, J. (2019) -- Mapping Attention During Gameplay",~p.2,"Notes a limitation in this video-game oddball-P3 study: boredom was manipulated by varying game challenge, so increased P3 amplitude in the boring condition may reflect task-difficulty differences rather than boredom per se; this study's task-demand measure is designed specifically to rule out that confound (FAITHFUL-Yakobi et al., p.2)."
bor-sec-32,cites,"Donchin, E., & Coles, M.G.H. (1988) -- Is the P300 Component a Manifestation of Context Updating?",~p.9,"Context-updating/working-memory-updating theory of the P3, the primary interpretive frame offered for the P3-task-induced-boredom association (FAITHFUL-Yakobi et al., p.9)."
bor-sec-32,cites,"Polich, J. (2003, 2007)",~p.9,"P3 amplitude as sensitive to task difficulty and resource-allocation policy; complementary interpretive frame to context-updating theory, left unresolved by the study's correlational data (FAITHFUL-Yakobi et al., p.9)."
bor-sec-32,cites,"Gehring, W.J., Goss, B., Coles, M.G.H., Meyer, D.E., & Donchin, E. (1993)",~p.2/9,"Originators of the ERN and its anterior-cingulate-cortex (ACC) error-monitoring interpretation, foundational to this study's ERN measure and discussion (FAITHFUL-Yakobi et al., p.2, 9)."
bor-sec-32,extends,"Shenhav, A., Botvinick, M.M., & Cohen, J.D. (2013) -- The Expected Value of Control",~p.9,"dACC cost-benefit theory of controlled effort extended to interpret the ERN-task-induced-boredom association: the ERN may signal that more resources are needed to maintain adequate performance (FAITHFUL-Yakobi et al., p.9)."
bor-sec-32,cites,"van Meel, C.S., Heslenfeld, D.J., Oosterlaan, J., & Sergeant, J.A. (2007)",~p.2,"Finding that the ERN is reduced in ADHD, linking ERN-based performance monitoring to the BP-ADHD literature reviewed in the introduction (FAITHFUL-Yakobi et al., p.2)."
bor-sec-32,cites,"Klimesch, W., Sauseng, P., & Hanslmayr, S. (2007) -- EEG Alpha Oscillations: The Inhibition-Timing Hypothesis",~p.9-10,"Interpretive frame for the resting-alpha/BP finding: alpha reflects an inhibitory mechanism of top-down control, so BP-linked reduced alpha may indicate failure to suppress sensory processing (FAITHFUL-Yakobi et al., p.9-10)."
bor-sec-32,cites,"Mo, J., Liu, Y., Huang, H., & Ding, M. (2013)",~p.9-10,"Alpha-DMN coupling specific to eyes-open rest, cited to interpret why the BP-power association was found only in the eyes-open condition (FAITHFUL-Yakobi et al., p.9-10)."
bor-sec-32,cites,"Danckert, J., & Merrifield, C. (2018); Danckert, J., & Isacescu, J. (2017)",~p.9-10,"DMN activation during induced boredom, cited (alongside Mittner et al. 2016 on DMN/mind-wandering) to link the resting-alpha finding interpretively to boredom, though not measured directly here (FAITHFUL-Yakobi et al., p.9-10)."
bor-sec-32,cites,"Struk, A.A., Carriere, J.S.A., Cheyne, J.A., & Danckert, J. (2017)",~p.3,"Developers of the Short Boredom Proneness Scale used to operationalize trait BP in this study, chosen over the full scale for better factor structure (FAITHFUL-Yakobi et al., p.3)."
bor-sec-32,cites,"Garavan, H., Ross, T.J., & Stein, E.A. (1999); Garavan, H., Ross, T.J., Murphy, K., Roche, R.A.P., & Stein, E.A. (2002)",~p.3,"Originators of the go/no-go paradigm adapted here, including its reversed-1-back working-memory-component framing invoked in the Discussion (FAITHFUL-Yakobi et al., p.3, 9)."
bor-sec-32,cites,"Corcoran, A.W., Alday, P.M., Schlesewsky, M., & Bornkessel-Schlesewsky, I. (2018)",~p.4,"Automated individual-alpha-frequency (IAF) quantification method used to define the resting-state theta/alpha/beta bands relative to each participant (FAITHFUL-Yakobi et al., p.4)."
bor-sec-32,cites,"Bates, D., Machler, M., Bolker, B.M., & Walker, S.C. (2015)",~p.7,"lme4 R package used to fit the resting-state linear mixed models (FAITHFUL-Yakobi et al., p.7)."
bor-sec-32,qualifies,"the classic boredom-attention behavioral literature (Malkovsky et al. 2012; Hunter & Eastwood 2018), which associated BP with attentional lapses",~p.8,"Qualifies this literature by showing that, in the present sample and adaptive-difficulty task design, trait BP does not predict performance, ERPs, or state boredom -- only state (task-induced) boredom does; the authors attribute this to task self-adjustment, lab-setting novelty, and restricted BP-score range rather than treating it as disconfirming (FAITHFUL-Yakobi et al., p.8)."
bor-sec-32,shifts-debate-axis,boredom-as-deficit <-> boredom-as-functional/adaptive (Elpidorou's regulatory good vs. deficit accounts),~p.9-10,"Reframes what a 'reduced attentional control' finding means: the commission-error-specific, mutually-uncorrelated-ERP pattern found here is read (by this cluster's synthesis) as more consistent with a specific, function-tied regulatory/monitoring breakdown than a generic global deficit, even though the authors themselves never invoke Elpidorou's regulatory-theory vocabulary to make this argument (FAITHFUL-Yakobi et al., p.9-10; P/anticipatory-application)."
bor-sec-32,shifts-debate-axis,self-report <-> physiological-marker as ground truth,~p.8,"The trait-BP/state-boredom double dissociation (BP predicts only resting EEG; state boredom predicts only task performance/ERPs) complicates any single ground-truth appeal, since self-report (state probes) and physiological markers (resting EEG) track non-overlapping constructs here rather than converging on one signal (FAITHFUL-Yakobi et al., p.8; P/anticipatory-application for the debate-axis framing)."
bor-sec-32,grounds-measure,"Boredom Experiment (VR Attention Study): behavioral-performance-monitoring channel",n/a,"****** UNVERIFIED: this paper's go/no-go commission/omission-error paradigm, adaptive-SOA titration, and block-level performance-boredom correlation method are a specific, plausible template for a VR attention study's behavioral-performance-monitoring channel; the dataset entry does not exist on disk (P/anticipatory-application)."
bor-sec-32,grounds-measure,"Boredom Experiment (VR Attention Study): EEG channel",n/a,"****** UNVERIFIED: this paper's resting-state alpha/theta power (by eyes-open/closed condition) and P3/ERN amplitude measures are a specific, plausible template for a VR attention study's EEG channel; the dataset entry does not exist on disk (P/anticipatory-application)."
bor-sec-32,bridges-to-part-iii,Part III boredom-instrument design (state vs. trait specification),n/a,"P/anticipatory-application -- the clean double dissociation between state (task-induced) and trait (BP) boredom cautions Part III against collapsing 'boredom' into one measured variable: any instrument (survey item, physiological channel, or the linked VR Attention Study dataset) should specify which boredom -- momentary state or stable trait -- is being assessed, since the two correlate with non-overlapping outcomes within the same participants and session."
bor-sec-32,bridges-to-part-iii,Part III deficit-vs-functional framing of attention/engagement findings,n/a,"P/anticipatory-application -- this source's rejection of a 'simple mechanism of reduced attention' in favor of a specific, dissociable executive-function breakdown offers Part III a model for resisting over-hasty 'boredom just means less attention' readings of its own survey/behavioral data, without requiring direct citation of Elpidorou's regulatory-theory apparatus."
bor-sec-32,bridges-to-part-iii,Strand D internal corpus-architecture note (multi-component-signal caution shared with bor-sec-27),n/a,"P/anticipatory-application -- our own observation, not a claim either paper makes about the other: this source's rejection of a unitary attentional-deficit reading and bor-sec-27's (Barry et al.) rejection of eyes-closed/eyes-open as equivalent EEG baselines both argue against collapsing multi-component neurophysiological signals into a single index, a methodological lesson for any future EEG channel in Part III's own research program."
