anchor_stimulus,channel,subject,round,stimulus,value,poolable
CLC,eye closure,S01,1,BOR,0.0895316804408,True
CLC,eye closure,S01,1,CLC,0.0431390546122,True
CLC,eye closure,S01,1,INT,0.0697556008147,True
CLC,eye closure,S02,1,BOR,0.179224579371,True
CLC,eye closure,S02,1,CLC,0.189617083947,True
CLC,eye closure,S02,1,INT,0.0524924471299,True
CLC,eye closure,S03,1,BOR,0.158865248227,True
CLC,eye closure,S03,1,CLC,0.0536828963795,True
CLC,eye closure,S03,1,INT,0.121641426478,True
CLC,eye closure,S04,1,BOR,0.081682167408,True
CLC,eye closure,S04,1,CLC,0.0484442693974,True
CLC,eye closure,S04,1,INT,0.0498301245753,True
CLC,eye closure,S05,1,BOR,0.778152678195,True
CLC,eye closure,S05,1,CLC,0.115803814714,True
CLC,eye closure,S05,1,INT,0.139401394014,True
CLC,eye closure,S06,1,BOR,0.156532456861,True
CLC,eye closure,S06,1,CLC,0.0697368421053,True
CLC,eye closure,S06,1,INT,0.100706713781,True
CLC,eye closure,S07,1,BOR,0.466206896552,True
CLC,eye closure,S07,1,CLC,0.105805958747,True
CLC,eye closure,S07,1,INT,0.21435968243,True
CLC,eye closure,S08,1,BOR,0.576506285219,True
CLC,eye closure,S08,1,CLC,0.113405933158,True
CLC,eye closure,S08,1,INT,0.10542432196,True
CLC,eye closure,R2-01,2,BOR,0.18419128103,True
CLC,eye closure,R2-01,2,CLC,0.030758491571,True
CLC,eye closure,R2-01,2,INT,0.083227544228,True
CLC,eye closure,R2-02,2,BOR,0.246625847115,True
CLC,eye closure,R2-02,2,CLC,0.0363899833925,True
CLC,eye closure,R2-02,2,INT,0.0232712117766,True
CLC,eye closure,R2-03,2,BOR,0.116570351144,True
CLC,eye closure,R2-03,2,CLC,0.0639942637396,True
CLC,eye closure,R2-03,2,INT,0.0545838212334,True
CLC,eye closure,R2-04,2,BOR,0.0778134122775,True
CLC,eye closure,R2-04,2,CLC,0.0546664789437,True
CLC,eye closure,R2-04,2,INT,0.0709057676686,True
CLC,pupil dilation,S01,1,BOR,2.96459598529,True
CLC,pupil dilation,S01,1,CLC,3.21186217079,True
CLC,pupil dilation,S01,1,INT,2.88737145557,True
CLC,pupil dilation,S02,1,BOR,3.4959007483,True
CLC,pupil dilation,S02,1,CLC,3.62450116223,True
CLC,pupil dilation,S02,1,INT,3.59970275916,True
CLC,pupil dilation,S03,1,BOR,3.06636286403,True
CLC,pupil dilation,S03,1,CLC,3.0981248372,True
CLC,pupil dilation,S03,1,INT,3.56273225743,True
CLC,pupil dilation,S04,1,BOR,2.91097288492,True
CLC,pupil dilation,S04,1,CLC,3.34825748441,True
CLC,pupil dilation,S04,1,INT,3.13173740749,True
CLC,pupil dilation,S05,1,BOR,3.21932954417,True
CLC,pupil dilation,S05,1,CLC,3.22895257973,True
CLC,pupil dilation,S05,1,INT,3.32115745159,True
CLC,pupil dilation,S06,1,BOR,3.24475014203,True
CLC,pupil dilation,S06,1,CLC,3.42582329341,True
CLC,pupil dilation,S06,1,INT,3.57030055319,True
CLC,pupil dilation,S07,1,BOR,3.57928615005,True
