source,relation,target,locus,note
bor-sec-03,treats-construct,profound/deep boredom (FCM 3rd form),pp.681-682 (approx.),"full exposition: entrancement melds three ecstases into unarticulated unity; depersonalized 'it is boring for one'; telling refusal discloses freedom"
bor-sec-03,treats-construct,being-bored-with (2nd form),pp.679-680 (approx.),"dinner-party example; arises from Dasein itself; time stands still; inauthentic modification of temporal existence"
bor-sec-03,treats-construct,being-bored-by (1st form),p.679 (approx.),"flight-delay example (substituted for FCM's train-station scene); left empty + held in limbo; time drags"
bor-sec-03,treats-construct,temporality of boredom (time-drag),pp.679-682 (approx.),"organizing axis: drag (1st form) vs. standing-still (2nd form) vs. entrancing melding of all three ecstases (3rd form)"
bor-sec-03,treats-construct,monotony / meaninglessness,"p.677, p.681 (approx.)","withdrawal of significance in profound boredom; structurally parallel to anxiety's 'world sunk into insignificance'"
bor-sec-03,bridges-to-fcm,fcm-04-first-form,"p.679 (approx.) / FCM §§19-23 pp.78-105","faithful paraphrase of first-form structure (empty/limbo, time-drag) with a substituted flight-delay illustration"
bor-sec-03,bridges-to-fcm,fcm-05-second-form,"pp.679-680 (approx.) / FCM §§24-28 pp.106-131","faithful paraphrase of dinner-party example and the 'arises from Dasein itself' / time-standing-still claims"
bor-sec-03,bridges-to-fcm,fcm-06-third-form,"pp.681-682 (approx.) / FCM §§29-36 pp.132-159","most substantial bridge: welds FCM's profound-boredom analysis to the BT Division-II ecstatic-temporality apparatus developed in this essay's own §1"
bor-sec-03,bridges-to-fcm,fcm-07-particular-profound,"p.682 (approx.) / FCM §§37-38 pp.160-168","P/anticipatory-application: our own link -- FE's §3 turn to historical Grundstimmungen resonates with fcm-07's question of a fundamental attunement proper to a historical Dasein, though FE never draw the connection themselves"
bor-sec-03,defines,originary temporality,pp.673-675 (approx.),"ecstatic-horizonal unity of future/having-been/present grounding care; not a sequence of 'nows'; future has ontological primacy"
bor-sec-03,defines,having-been (originary past),pp.675-676 (approx.),"moods grounded primarily in having-been; they 'bring Dasein back to something,' disclosing inherited thrownness"
bor-sec-03,defines,moment of vision (Augenblick),"pp.677-678, p.682 (approx.)","authentic making-present enabled by anticipation + repetition; recycled in §2 as the mode of resolute response to profound boredom"
bor-sec-03,defines,"fundamental mood (Grundstimmung, later sense)",p.682 (approx.),"post-1930: historically oriented moods (wonder, reserve) found epochs of Being rather than merely disclosing Dasein"
bor-sec-03,qualifies,fear (Furcht) [outside controlled construct vocabulary],pp.676-677 (approx.),"grounded in forgetting (inauthentic having-been); releases inauthentic awaiting and a bewildered, jumbled present"
bor-sec-03,qualifies,anxiety (Angst) [outside controlled construct vocabulary],pp.677-678 (approx.),"grounded in repetition/retrieval (Wiederholung); releases authentic anticipation and the moment of vision; world 'sunk into insignificance'"
bor-sec-03,qualifies,hope (Hoffnung) [outside controlled construct vocabulary],pp.678-679 (approx.),"counterintuitively grounded in the past, not the future; 'to hope for something for oneself' presupposes prior thrownness"
bor-sec-03,qualifies,temporality of boredom (time-drag),pp.681-682 (approx.),"profound boredom's temporal modification is neither dragging nor standing-still but a total entrancement/melding of all three ecstases -- a third, more radical modification"
bor-sec-03,instances-in-text,being-bored-by (1st form),p.679 (approx.),"illustration: waiting at the departure gate for a delayed flight (FE's own substitution for FCM's train-station scene)"
bor-sec-03,instances-in-text,being-bored-with (2nd form),pp.679-680 (approx.),"illustration: attending a pleasant dinner party by one's own choice, recognized in retrospect as having been boring"
bor-sec-03,cites,Stephen Mulhall (2005),pp.674-675 (approx.),"cites Mulhall's gloss of originary temporality as a 'self-generating and self-transcending process'"
bor-sec-03,cites,Jan Slaby (2015),"p.673 (approx., n.3)","cites Slaby as a notable exception among expository accounts that does bring forth the temporal character of Befindlichkeit and mood"
bor-sec-03,cites,William Blattner (2005; 2013),"pp.674-675 (approx., n.5, n.7)","cites Blattner on originary temporality and on authenticity/resoluteness"
bor-sec-03,cites-cluster-author,bor-sec-02 (Elpidorou and Freeman -- Affectivity in Heidegger I 2015),"p.672 (abstract); n.10, pp.675-676","explicit companion piece; this essay presupposes its BT Division-I account of Befindlichkeit and moods"
bor-sec-03,cites-cluster-author,bor-sec-04 (Elpidorou and Freeman -- Is Profound Boredom Boredom 2019),P/anticipatory-application,"forward thematic link only (bor-sec-04 postdates this 2015 piece by four years, and in fact literally cites this essay -- see bor-sec-04's own edges) -- this essay's faithful, non-adjudicated exposition of profound boredom is the direct precursor problematic bor-sec-04 later interrogates against the state/trait psychological literature"
bor-sec-03,cites-cluster-author,bor-sec-05 (Elpidorou and Freeman -- Fear Anxiety and Boredom 2020),P/anticipatory-application,"forward thematic link -- this essay's own fear/anxiety/boredom triangulation (§1.2.1 + §2) anticipates the dedicated 2020 treatment of exactly these three moods"
