subject,stimulus,round,felt_duration_min,actual_min,dilation_ratio,raw_answer
R2-01,BOR,2,20,17,1.17647058824,20
R2-02,BOR,2,30,17,1.76470588235,30 min
R2-03,BOR,2,20,17,1.17647058824,20
R2-04,BOR,2,20,17,1.17647058824,20 min
S01,BOR,1,15,17,0.882352941176,15
S02,BOR,1,20,17,1.17647058824,20 min
S03,BOR,1,60,17,3.52941176471,1 hour
S04,BOR,1,8,17,0.470588235294,8
S05,BOR,1,5,17,0.294117647059,5 min (fell asleep)
S06,BOR,1,20,17,1.17647058824,20 min
S07,BOR,1,30,17,1.76470588235,30 minutes
S08,BOR,1,25,17,1.47058823529,25 min
R2-01,CLC,2,20,17,1.17647058824,20
R2-02,CLC,2,30,17,1.76470588235,30 min
R2-03,CLC,2,20,17,1.17647058824,20
R2-04,CLC,2,15,17,0.882352941176,15
S01,CLC,1,20,17,1.17647058824,20 min
S02,CLC,1,30,17,1.76470588235,30 min
S03,CLC,1,15,17,0.882352941176,15 min
S04,CLC,1,30,17,1.76470588235,30
S05,CLC,1,17,17,1,17 min
S06,CLC,1,25,17,1.47058823529,25 min
S07,CLC,1,20,17,1.17647058824,20
S08,CLC,1,20,17,1.17647058824,20 min
R2-01,INT,2,18,17,1.05882352941,18
R2-02,INT,2,20,17,1.17647058824,20
R2-03,INT,2,15,17,0.882352941176,15 min
R2-04,INT,2,15,17,0.882352941176,15
S01,INT,1,10,17,0.588235294118,10
S02,INT,1,30,17,1.76470588235,30 min
S03,INT,1,30,17,1.76470588235,30
S04,INT,1,20,17,1.17647058824,20
S05,INT,1,20,17,1.17647058824,20min
S06,INT,1,30,17,1.76470588235,30
S07,INT,1,11,17,0.647058823529,10-12 minutes
S08,INT,1,15,17,0.882352941176,15 min
