source,relation,target,locus,note
ped-sec-06,defines,Cognitive Affective Model of Immersive Learning (CAMIL) (THEORY-MODEL),p.937-958,"CAMIL is this paper's own theoretical synthesis; presented explicitly as generalizing prior empirical literature, not a wholly new proposal (FE, p.939)."
ped-sec-06,defines,media interacts with method (TERM),p.939-940,"CAMIL's own third-way position between Clark's 'mere vehicles' and McLuhan's 'medium is the message' (FE)."
ped-sec-06,defines,affective path (presence -> interest/motivation/self-efficacy -> outcomes) (TERM),"p.941, 949-950","One of CAMIL's two parallel routes to learning, generalized from ped-sec-09/ped-sec-11's own SEM findings (FE)."
ped-sec-06,defines,"cognitive path (presence/agency -> extraneous cognitive load -> outcomes, negative) (TERM)","p.946-947, 949-950","CAMIL's sole negative-to-learning path; presence AND agency both positively predict extraneous load (FE)."
ped-sec-06,treats-construct,presence (spatial/physical),p.942-943,"Three-dimensional taxonomy after Lee 2004; antecedents = immersion, control factors, representational fidelity (FE)."
ped-sec-06,treats-construct,social presence / co-presence,"p.943, 945","One of Lee's three presence sub-dimensions plus a role in social agency theory; thinly grounded, no CMC-tradition engagement (FE)."
ped-sec-06,treats-construct,immersion (technological),p.939,"Defined as an objective system property (Cummings & Bailenson), terminologically distinguished from subjective presence (FAITHFUL-Makransky&Petersen, p.939)."
ped-sec-06,treats-construct,agency / interactivity,p.943-944,"Sense of generating/controlling actions (Moore & Fletcher); antecedent = control-factor fidelity via forward-modeling/CNS account (FE)."
ped-sec-06,treats-construct,embodiment / self-representation,p.946,"'Being inside, having, and controlling a body' (Kilteni et al.); antecedents = self-presence and agency (FAITHFUL-Makransky&Petersen, p.946)."
ped-sec-06,treats-construct,cognitive load (extraneous vs germane),"p.946-947, 949-950","Grounded in Sweller's CLT and Mayer's CTML; the model's sole factor with a negative learning path (FE)."
ped-sec-06,treats-construct,affect: enjoyment & intrinsic motivation,p.944-945,"Grounded in Deci & Ryan's SDT and Pekrun's CVTAE; fed by both presence and agency via separate paths 7-8 (FE)."
ped-sec-06,treats-construct,situational interest,p.944,"Hidi & Renninger's situational/individual distinction; presence and agency both predict it via paths 5-6 (FE)."
ped-sec-06,treats-construct,self-efficacy,p.945-946,"Bandura's four efficacy sources; presence/agency framed as 'performance accomplishments' (FE)."
ped-sec-06,treats-construct,learning outcomes: retention & transfer,p.947-949,"Anderson et al. (2001) taxonomy plus transfer (Perkins & Salomon); mixed factual/conceptual findings explicitly flagged (FE)."
ped-sec-06,treats-construct,learning outcomes: procedural / skills,p.949,"IVR's most consistently reported strength, per Radianti et al. (ped-sec-22) (FE)."
ped-sec-06,treats-construct,representational fidelity,p.942-943,"Presence antecedent sourced to Dalgarno & Lee (ped-sec-04), cited as '2010' (FE, citation-year discrepancy noted)."
ped-sec-06,treats-construct,cybersickness & physical discomfort,p.953,"Named only as an external moderator, gender-differentiated per Munafo et al.; not modeled as a path (FAITHFUL-Makransky&Petersen, p.953)."
ped-sec-06,tests-condition,IVR (HMD),p.939-953,"CAMIL's primary focal condition throughout, defined via HMD access specifically (FE)."
