source_id,relation,target_id,domain,evidence_pdf_page,evidence_bekker_or_page,contributor,notes
PHX-05-OGORMAN,defines,READING:epideictic-amplification-thesis,interpretive-thesis,2-3,16-18,O'Gorman,"Signature reading: phantasia's rhetorical home is the epideictic function (Rhet I.3, I.9) anchored in megethos/auxesis, not Book III lexis narrowly construed"
PHX-05-OGORMAN,defines,READING:epideictic-as-function-not-genre,interpretive-thesis,9,33,O'Gorman,"Resolves Lanham's classificatory problem and Schiappa 1999 historical worry by re-categorizing epideictic as a discursive function operative across deliberative/forensic"
PHX-05-OGORMAN,defines,READING:phantasia-as-rhetorical-order-marker,interpretive-thesis,6-8,27-31,O'Gorman,"Maps the DA psychic order (phantasia 'lower' yet foundational) onto a rhetorical order in which epideictic is 'primal'"
PHX-05-OGORMAN,defines,READING:lexis-as-visual-medium-corroborating-de-anima-on-emotion,interpretive-thesis,5-6,23-26,O'Gorman,"Rhet III.1 lexis-phantasia pairing at 1404a substantively grounded in DA-account of emotions as phantasiai"
PHX-05-OGORMAN,defines,CONCEPT:lexis-as-phantasia,concept,5,23-24,O'Gorman,"1404a coupling read non-disparagingly: lexis is the rhetorical medium producing phantasmata in audience psyche"
PHX-05-OGORMAN,defines,CONCEPT:megethos-amplification,concept,7,28,O'Gorman,"Centerpiece concept; magnitude as that which is 'sized up' through comparative phantasia in epideictic auxesis"
PHX-05-OGORMAN,defines,CONCEPT:pro-ommaton-poiein,concept,5-6,24-25,O'Gorman,"Lexical form of energeia/kinēsis; psychological-rhetorical operation by which lexis activates phantasia"
PHX-05-OGORMAN,defines,CONCEPT:rhetorical-order,concept,6-7,27,O'Gorman,"Rhetorical order paralleling DA's psychic order — epideictic 'primal' in rhetoric as phantasia is 'primal' in psyche"
PHX-05-OGORMAN,defines,CONCEPT:comparative-seeing,concept,7,28 (via DA 428b),O'Gorman,"Per Frede 1992 (286): phantasia provides 'a kind of comparative seeing' enabling rhetorical sizing-up of magnitude"
PHX-05-OGORMAN,defines,CONCEPT:epideictic-auditor-as-theoros,concept,7-8,29-30,O'Gorman,"Rhet 1358b: theoros vs kritēs; verbal theōrō tied to phantasia in DA 427b — the spectator-at-picture analogy"
PHX-05-OGORMAN,defines,CONCEPT:phantasmatic-function-of-public-discourse,concept,10,34,O'Gorman,"Axiom: 'primal function of public discourse is the phantasmatic'"
PHX-05-OGORMAN,defines,CONCEPT:phantasmatic-Athens,concept,10,32-36,O'Gorman,"Pericles' Funeral Oration (Thuc 2.21-22, 2.43) read with Loraux 1986 (328): imaginary/phantasmatic Athens grounds Athenian pragmatic deliberation"
PHX-05-OGORMAN,defines,CONCEPT:phantasia-emotion-coupling,concept,6,25 (Rhet 1382a/1384a/1371a),O'Gorman,"Rhetorical emotions definitionally are phantasiai — phobos, aischynē, kalon-of-honor all defined via phantasia"
PHX-05-OGORMAN,defines,CONCEPT:bouleutikē-phantasia,concept,5-6,22-26 (DA 434a),O'Gorman,"Bouleutikē as image-combining mental activity also designates political-council deliberation (NE 1141b, Pol 1329a, Rhet 1383a)"
