source_id,relation,target_id,domain,centrality_tier,book_page,provenance,notes
C-INTRINSIC-EXTRINSIC,is_meta_clarification_of,C-SCENE-ACT-RATIO,dramatism,1,465,burke,load-bearing thesis — intrinsic/extrinsic is a scene-act ratio meta-question
C-INTRINSIC-EXTRINSIC,cross_references,GM-03-CIRCUMFERENCE,dramatism,1,465,burke-pipeline,intrinsic-scope choice IS a circumference choice
C-INTRINSIC-EXTRINSIC,cross_references,GM-02-SUBSTANCE-VOCABULARY,dramatism,1,465,burke-pipeline,intrinsic/extrinsic is a directional-substance application
C-ASCITAS,criterion_for,C-INTRINSIC-EXTRINSIC,scholastic-philosophy,1,465,burke,by-itselfness as the trans-historical criterion driving the intrinsic question
C-OUSIA-BEING,grounds,C-ASCITAS,aristotle,1,465,burke,substance-as-being is the Aristotelian root of the in-itself criterion
C-OUSIA-BEING,places_outside_of,C-TIME-CATEGORY,aristotle,2,466,burke,being-talk yields atemporal/tenseless analysis
C-ENTELECHY,anchors_in,C-GENUS-FAMILY,aristotle,1,467,burke,internal principle of motivation located at level of genus not bare individual
C-EXTRINSIC-CREATOR,engrafts_onto,C-OUSIA-BEING,aquinas,1,467,burke,God and the Devil as extrinsic principles added to Aristotelian intrinsic
C-EXTRINSIC-CREATOR,bears_ambiguity_of,C-PANTHEISM-LIMIT,aquinas,2,467,burke,ancestral God not wholly extrinsic — pantheist completion refused
C-SPINOZA-TOTALITY,applies_rigorously,C-ASCITAS,spinoza,1,468,burke,in-itself criterion taken to its limit produces totality-only intrinsic
C-SPINOZA-TOTALITY,near_reverses,C-INTRINSIC-EXTRINSIC,spinoza,1,468,burke,Locke etymological note reinforces — intrinsic and extrinsic nearly trade places
C-LOCKE-SUBSTANCE-ETYMOLOGY,supports,C-SPINOZA-TOTALITY,locke,2,468,burke,substance originally names what supports from outside
C-SECULAR-HISTORICISM,follows_from,C-SPINOZA-TOTALITY,intellectual-history,2,469,burke,theological side dropped yields naturalistic historicism
C-SECULAR-HISTORICISM,produces,C-SCIENCE-FROM-WITHOUT,intellectual-history,1,469,burke,modern science as the from-without limit case
C-SCIENCE-FROM-WITHOUT,abolishes,C-OUSIA-BEING,philosophy-of-science,1,469,burke,category of substance formally abolished
C-SCIENCE-FROM-WITHOUT,instantiated_by,C-SCIENCE-OF-PERSONALITY,critical-example,1,469,burke,Angyal Foundations for a Science of Personality as illustration
