concept_id,concept_label,tier,GM-00,GM-01,GM-02,GM-03,GM-04,GM-05,GM-06,GM-07,GM-08,GM-09,GM-10,GM-11,GM-12,GM-13,total_units_appearing
C-DRAMATISM,Dramatism (method-name),1,P,P,,,,,P,,,P,,P,,P,6
C-PENTAD,The pentad (five key terms of dramatism),1,P,P,P,P,P,P,P,P,P,P,P,P,P,P,14
C-PENTAD-ACT,Act (pentad term),1,P,P,P,P,,,P,,,P,P,P,,,8
C-PENTAD-SCENE,Scene (pentad term),1,P,P,P,P,P,,P,,P,,P,P,,,9
C-PENTAD-AGENT,Agent (pentad term),1,P,P,P,,,P,,,P,P,P,,P,,8
C-PENTAD-AGENCY,Agency (pentad term),1,P,P,,,,,,P,P,,,,,,4
C-PENTAD-PURPOSE,Purpose (pentad term),1,P,P,,,,,,P,P,P,,,,,5
C-RATIO-SCENE-ACT,Scene-act ratio,1,P,P,,P,P,,,,P,,P,P,,,7
C-RATIO-SCENE-AGENT,Scene-agent ratio,1,P,P,,,P,,,,P,,P,P,P,,7
C-RATIO-SCENE-AGENCY,Scene-agency ratio,1,,P,,,,,,P,P,,,,,,3
C-RATIO-SCENE-PURPOSE,Scene-purpose ratio,1,,P,,,P,,,P,,,,,,,3
C-RATIO-ACT-AGENT,Act-agent ratio,1,P,P,P,,,,P,,,P,,,,,5
C-RATIO-ACT-AGENCY,Act-agency ratio,1,,P,,,,,P,P,,,,,,,3
C-RATIO-ACT-PURPOSE,Act-purpose ratio,1,,P,,,,,P,,,P,,,,,3
C-RATIO-AGENT-AGENCY,Agent-agency ratio,1,,P,,,,P,,P,,,,,,,3
C-RATIO-AGENT-PURPOSE,Agent-purpose ratio,1,,P,,,,P,,P,,,,,,,3
C-RATIO-AGENCY-PURPOSE,Agency-purpose ratio,1,,P,,,P,,,P,,,,,,,3
C-RATIOS-REVERSIBLE,Reversibility of ratios (10 → 20),1,,P,,,,,P,,,P,,,,,3
C-RATIOS-AS-PRINCIPLES,Ratios as principles of determination / selectivity,1,,P,,,P,,,,P,P,,,,,4
