source,target,relation,domain,weight,units,evidence
μνήμη,φάντασμα,depends_on,psychological,1.0,"MEM-01","Memory is the having of a φάντασμα related as likeness to that of which it is an image (451a14-16)"
μνήμη,χρόνος,depends_on,ontological,1.0,"MEM-01","All memory implies the lapse of time; only time-perceiving animals can remember (449b28-30)"
μνήμη,τὸ πρῶτον αἰσθητικόν,depends_on,psychological,0.9,"MEM-01","Memory belongs essentially to the primary faculty of sense-perception (450a12-14)"
φάντασμα,εἰκών/θεώρημα,refines,psychological,0.9,"MEM-01","φάντασμα has dual nature: object of contemplation in itself and likeness of the remembered (450b20-451a2)"
φάντασμα,τύπος,depends_on,physiological,0.8,"MEM-01","The image results from the impression stamped in the soul by perception (450a27-450b1)"
τύπος,σῶμα,depends_on,physiological,0.7,"MEM-01","The impression is stamped in the soul and its bodily seat — wax-seal analogy (450a27-450b1)"
ἀνάμνησις,μνήμη,presupposes,psychological,1.0,"MEM-01","Recollection is distinct from memory; memory may follow on recollection (451a18-22)"
ἀνάμνησις,κίνησις,operationalizes,physiological,0.9,"MEM-01","Recollection operates through sequential reactivation of habitual movements (451b10-16)"
ἀνάμνησις,βουλευτικόν,depends_on,psychological,0.8,"MEM-01","Recollection belongs to beings with the deliberative faculty; a form of inference (453a10-14)"
ἀνάμνησις,χρόνος,depends_on,ontological,0.8,"MEM-01","Recollection essentially involves the perception of time as magnitude (452b7-8)"
ἀνάμνησις,ἀρχή,depends_on,methodological,0.7,"MEM-01","Recollection requires a starting-point; middle of a series is optimal (452a12-17)"
φαντασία,φάντασμα,explains,psychological,0.9,"MEM-01","Imagination is the faculty that produces φαντάσματα; without it thinking is impossible (450a1-2)"
τὸ πρῶτον αἰσθητικόν,χρόνος,operationalizes,psychological,0.8,"MEM-01","The primary perceptive faculty cognizes time, magnitude, and motion (450a9-12)"
κίνησις,ἔθος/συνήθεια,supports,explanatory,0.7,"MEM-01","Custom creates quasi-natural sequences of movements that steer recollection (451b28-452b1)"
