src,rel,dst,book_page,note
stance-family-vocabulary,grounds,paradox-of-substance,21,The *sthā- Stance family is the etymological substrate from which the master paradox is derived.
sub-stance-etymology,exemplifies,paradox-of-substance,22,"Sub-stance literally = standing-under; thus etymologically extrinsic, conventionally intrinsic."
lockean-impairment,motivates,paradox-of-substance,21,Locke's 'something I know not what' exposes the structural irony but does not eliminate it.
definition-as-boundary-marking,defines,contextual-substance,24,De-finire to mark boundaries — definition requires contextual reference.
contextual-substance,specializes-as,geometric-substance,29,Geometric substance is contextual substance with Euclidean / logical necessity.
omnis-determinatio-est-negatio,formalizes,contextual-substance,25,Spinoza's slogan: all determination is negation.
kath-auto,informs,contextual-substance,25,Aristotelian 'in itself' criterion that Spinoza inherits and radicalizes.
universals-ante-in-post-rem,refracts,familial-substance,27,Mediaeval debate read as tribal-substance variants (realist/Aristotelian/nominalist).
entelechy,informs,familial-substance,27,Individual as potentiality-for-being-fully-of-the-class.
general-generic-genetic-genitive,lexicalizes,familial-substance,28,Cluster marking biological-familial to logical-classificatory gradient.
transubstantiation-biology,defines,nutritive-substance,30,Eating as transubstantiation; Angyal's biosphere; organism/environment merge.
second-nature-of-language,grounds,dialectic-substance,33,Cultural-linguistic accretions become 'second nature' intrinsic to agents as agents.
dialectic-substance,subsumes,contextual-substance,33,Dialectic substance is the over-all dramatistic super-category.
dialectic-substance,subsumes,familial-substance,33,
dialectic-substance,subsumes,directional-substance,33,
dialectic-substance,subsumes,geometric-substance,33,
paradox-of-purity,specializes-as,divisive-substance,37,Divisive substance = paradox of purity applied to collective vs. individual motives.
withinness-of-withinness,instantiates,paradox-of-purity,36,Marvell / Melville / Parker Tyler — atop-the-atop and witheriness-of-withinness.
ta-pathemata-mathemata,defines,tragic-dialectic-substance,39,Burke's three-term reading: poiēma / pathēma / mathēma.
intelligere-est-pati,exemplifies,tragic-dialectic-substance,40,Scholastic formula: 'to understand is to be affected by.'
tragic-dialectic-substance,reduces-to,actus-status,41,Reducing the triad to a dyad: act vs. state.
actus-status-pair,defines,actus-status,41,The load-bearing dyad: motion/rest; drama/lyric; faith/knowledge.
philological-drift-of-arete,instantiates,actus-status,42,"Aretē/virtus from Ares (active prowess) → potentiality → state of mind → negation."
actus-status,anchors,class-substance,42,"Occupational acts develop properties; properties harden into status."
universal-monetary-substance,parallels,class-substance,44,Marxist factory situation: universal scene splits into class substances.
causa-sui,bounds,intrinsic-extrinsic,50,Spinoza's substance as 'cause of itself' = humanist limit on intrinsic dignity.
intrinsic-extrinsic,meta-clarifies,contextual-substance,46,Whenever intrinsic/extrinsic is invoked the paradox of substance is nearby.
intrinsic-extrinsic,meta-clarifies,familial-substance,50,Humanist (intrinsic) vs. supernaturalist (derived) — recasts familial-substance.
rhetorical-substance,exploits,paradox-of-substance,51,Substantially / essentially / in-principle are working rhetorical deployments.
two-points-of-departure,defines,departure-substance,53,Consistent (therefore) vs. compensatory (however) directions of departure.
consubstantial-epithet,defines,consubstantial-substance,57,Friend/brother proclaims consubstantiality; bastard attacks familial authorship.
centrality-substance,synopsizes,dialectic-substance,55,Closing thesis: substantiation is citable reality; pentad is synopsis-stone.
hypokeimenon-and-pono-cluster,lexicalizes,stance-family-vocabulary,28,Hypokeimenon/hypotithēmi/pono extend the philosophical substance-vocabulary.
hegel-matter-spirit-formula,instantiates,intrinsic-extrinsic,46,Matter as extrinsic (gravity); Spirit as Bei-sich-selbst-sein; State inverts the poles.
korzybski-inside-outside-skin,instantiates,intrinsic-extrinsic,47,Inside/outside the skin renews the paradox under general-semantics auspices.
plotinus-negative-theology,instantiates,paradox-of-purity,34,Divine substance reached only by negation of all material attributes.
spinoza-paradigm,exemplifies,contextual-substance,24,Pantheistic nature/God = total scene; only totality is in-itself.
agon-protagonist-antagonist,exemplifies,dialectic-substance,33,Sharpest instance: protagonist motivated by the nature of the antagonist.
actus-status,maps-onto,act-agent-ratio,41,Articulates substance vocabulary with the pentad's Act-Agent ratio.
contextual-substance,features-pentad-term,Scene,24,Scenic placement as definition.
familial-substance,features-pentad-term,Agent,26,Agent defined by ancestry.
directional-substance,features-pentad-term,Purpose,31,Where-are-you-going motive.
rhetorical-substance,features-pentad-term,Agency,51,Linguistic means as substance-deployment.
universal-monetary-substance,features-pentad-term,Purpose,44,The One God / Gold Standard as overarching teleological motive.
class-substance,features-pentad-term,Agent,42,Status as petrified property of agents.
consubstantial-substance,forward-anchors,rhetoric-of-motives-1950,57,Identification / consubstantiation apparatus developed in Burke's 1950 volume.
aristotle-energeia-dynamis,exegetical-bridge,actus-status,41,Burke's actus/status maps onto Aristotle's act/potency.
heidegger-sz-vorhandenheit,anticipatory-bridge,paradox-of-substance,21,Burke's Stance-family etymology converges with SZ's destruction of substance metaphysics.
heidegger-bcap-pathos,anticipatory-bridge,tragic-dialectic-substance,40,BCAP on pathos parallels Burke's reading of pati / paschein.
uexkull-umwelt,anticipatory-bridge,nutritive-substance,30,"Burke's organism/environment merger (Angyal) anticipates Umwelt analytic."
calleja-pim-kinesthetic,anticipatory-bridge,directional-substance,31,Kinesthetic involvement = directional substance with embodied actuation.
calleja-pim-spatial,anticipatory-bridge,contextual-substance,24,Spatial involvement = contextual substance applied to game-scene.
calleja-pim-shared,anticipatory-bridge,consubstantial-substance,57,Shared involvement = consubstantial identification across co-players.
calleja-pim-narrative,anticipatory-bridge,tragic-dialectic-substance,39,Narrative involvement = poiēma/pathēma/mathēma applied to game-plot.
calleja-pim-ludic,anticipatory-bridge,actus-status,41,Ludic involvement = ongoing act of play vs. achieved status (score/level).
