source_id,source_type,relation,target_id,target_type,book_p,provenance,notes
representative-anecdote,concept,is-methodological-apparatus-of,dramatism,framework,59,exegetical-direct,Burke's master analytical instrument: vocabulary built in conformity with a seed-case
representative-anecdote,concept,operationalizes,scope-and-reduction-as-pair,concept,59,exegetical-direct,Anecdote must have both scope and reduction simultaneously
representative-anecdote,concept,exemplified-by,drama,literary-form,60,exegetical-direct,Burke's positive choice — representative anecdote for human motives
representative-anecdote,concept,negatively-exemplified-by,conditioned-reflex-experiment,scientific-practice,59,exegetical-direct,Behaviorist anecdote: informative but not representative
representative-anecdote,concept,contains-in-nuce,terminological-structure,concept,60,exegetical-direct,The anecdote contains implicitly what the system makes explicit
representative-anecdote,concept,licenses,paradigm-or-prototype,concept,60,exegetical-direct,Anecdote-plus-paradigm = two complementary summations
paradigm-or-prototype,concept,exemplified-by,act-of-creation,theological-construct,61,exegetical-direct,The pure or consummate act used as prototype
act-as-locus-of-motives,concept,defended-against,reduction-to-four-terms,counter-position,64,exegetical-direct,Act must remain irreducible alongside Scene Agent Agency Purpose
act-as-locus-of-motives,concept,equivalent-to,causa-sui,philosophical-concept,66,exegetical-direct,Every act contains a self-caused element
act-as-locus-of-motives,concept,attested-by,proverbs,vernacular-evidence,67,exegetical-direct,L'appetit vient en mangeant; Uebung macht den Meister
act-as-locus-of-motives,concept,attested-by,writing-of-a-long-book,phenomenological-example,67,exegetical-direct,Act produces new conditions of action from within itself
act-as-locus-of-motives,concept,grounded-philosophically-in,spinoza-causa-sui,philosophical-position,68,exegetical-direct,Universal substance as cause-of-itself
act-as-locus-of-motives,concept,grounded-aesthetically-in,coleridge-dim-analogue-of-creation,literary-position,68,exegetical-direct,Poetry as dim analogue of Creation
act-as-locus-of-motives,concept,grounded-scholastically-in,aquinas-actus-purus,theological-position,66,exegetical-direct,Scholastic definition of God as pure act
pantheistic-merger,concept,enabled-by,reflexive-grammar-of-pantheism,grammatical-form,75,exegetical-direct,Causa sui natura-naturans res-cogitans
pantheistic-merger,concept,bridges,theology,philosophic-school,76,exegetical-direct,Pantheism as bridge from theology to naturalism
pantheistic-merger,concept,bridges,naturalism,philosophic-school,76,exegetical-direct,Pantheism as bridge from theology to naturalism
pantheistic-merger,concept,instances,spinoza-deus-sive-natura,philosophical-position,72,exegetical-direct,Leading example
god-term,concept,exemplified-by,being,ontological-category,73,exegetical-direct,Over-all summarizing term in pantheistic ontology
god-term,concept,exemplified-by,money,economic-symbol,108,exegetical-direct,Money as god-term in capitalist motive-vocabulary
god-term,concept,exemplified-by,god,theological-symbol,108,exegetical-direct,Original god-term replaced structurally by money
circumference,concept,is-methodological-apparatus-of,dramatism,framework,77,exegetical-direct,Burke's master construct for scope-of-scene
circumference,concept,derived-from,james-letter,textual-source,77,exegetical-direct,Burke borrows the word from James
circumference,concept,governed-by,scene-act-ratio,pentad-ratio,77,exegetical-direct,Quality of context affects quality of subject placed in it
circumference,concept,governed-by,scene-agent-ratio,pentad-ratio,77,exegetical-direct,Mitya/Alyosha case illustrates both ratios
circumference,concept,operationalizes,scope-of-scene,concept,77,exegetical-direct,The two terms are working synonyms
circumference-selection,concept,is-itself,act-of-faith,act,84,exegetical-direct,Burke's striking phrase — circumference choice as constitutive act
narrowing-of-circumference,concept,structures,secularization-process,historical-process,80,exegetical-direct,God-law to natural-law to environment to economic to monetary
narrowing-of-circumference,concept,instanced-by,behaviorist-laboratory,scientific-practice,78,exegetical-direct,Animal circumference applied to human motives
narrowing-of-circumference,concept,instanced-by,monetary-reduction,case-study,91,exegetical-direct,Long applied case-study in chapter
circumference,concept,illustrated-by,karamazov-mitya-alyosha,literary-example,85,exegetical-direct,Same scene different circumference different motives
monographic-placement,concept,illustrated-by,marshall-swords-and-symbols,literary-example,87,exegetical-direct,Narrow circumference mistaken for wide
monographic-placement,concept,diagnostic-failure-is,part-of-to-apart-from-shift,grammatical-shift,89,exegetical-direct,Genitive transformation as misreading
wider-circumference-may-be-poorer,principle,grounded-in,windelband-intension-extension-law,formal-logic,87,exegetical-direct,Concepts poorer in content as extension increases
monetary-reduction,case-study,instantiates,narrowing-of-circumference,concept,91,exegetical-direct,Stages: God-law to natural-law to economic to monetary
transubstantiation-of-money,concept,converts,money,economic-symbol,92,exegetical-direct,Money from agency to ground/purpose of action
money-as-substitute-for-god,thesis,structurally-mirrors,communion-service,religious-practice,94,exegetical-direct,Both: dialectic of one and many; substance shared in common
money-as-substitute-for-god,thesis,explains,protestantism-private-godhead,historical-development,112,exegetical-direct,God relocated to private principle as money takes public mediating role
capitalist-psychosis,concept,evidenced-by,hurricane-stock-loss-equivalence,journalistic-example,116,exegetical-direct,Burke's closing anecdote of the monetary-reduction section
capitalist-psychosis,concept,variant-of,monetary-psychosis,broader-category,116,exegetical-direct,Burke groups capitalism Fascism Communism as three variants
kinds-of-reduction,typology,enumerates,non-verbal-to-verbal,reduction-type,96,exegetical-direct,First sense
kinds-of-reduction,typology,enumerates,terminology-to-terminology,reduction-type,96,exegetical-direct,Second sense
kinds-of-reduction,typology,enumerates,lowering-or-narrowing,reduction-type,97,exegetical-direct,Third sense — debunking atomism materialism
inverted-perfectionism,concept,diagnoses,tough-minded-reductions,methodological-error,100,exegetical-direct,All-men-are-X reductions commit purity fallacy
complexity-of-a-simple-motive,principle,inverts,representative-anecdote,concept,101,exegetical-direct,Methodological converse — simplicity contains diversity
titular-motives,concept,instances,pentad-terms,framework-element,103,exegetical-direct,The pentad terms are titular in this sense
operationalist-reduction,concept,critiqued-by,same-operations-different-acts,principle,107,exegetical-direct,Two men same operations may perform different acts
love-knowledge-authority-triad,typology,expands,virgin-and-dynamo-pair,prior-typology,122,exegetical-direct,Burke adds Authority as third term to Adams' binary
love-knowledge-authority-triad,typology,maps-historical-orders-of-power,motivational-vocabularies,thesis,118,exegetical-direct,Each order generates a family of motive-vocabularies
love-as-ubertas,triad-term,is-order-of,biological-tribal-reproduction,domain,122,exegetical-direct,Realm of food growth fertility appetite
knowledge-as-veritas,triad-term,is-order-of,technological-rational-production,domain,122,exegetical-direct,Realm of laboratory factory clinic intellect
authority-as-auctoritas,triad-term,is-order-of,group-cohesion-and-leadership,domain,123,exegetical-direct,Originator-progenitor-leader semantic
pre-socratic-hylozoism,doctrine,reinterpreted-as,perception-of-things-as-acts,thesis,119,exegetical-direct,Activist rather than animist
plato-sophist-being-as-power,citation,supports,act-as-locus-of-motives,concept,119,exegetical-direct,Being as that which can act or be acted upon
