concept_id,concept_name,PHX-01-NUSSBAUM,PHX-02-WHITE,PHX-03-FREDE,PHX-04-CASTON,PHX-05-OGORMAN,PHX-06-GONZALEZ,PHX-07-HAWHEE,PHX-08-PAPACHRISTOU,total_units,centrality_tier
CM01,phantasia (the concept itself / Greek lemma untranslated),1,1,1,1,1,1,1,1,8,1
CM02,phantasma (image / decaying motion / persistence),1,1,1,1,1,1,1,1,8,1
CM03,phantasia as supervenient on / parasitic on aisthesis,2,2,1,2,3,2,2,2,8,1
CM04,phantasia as kinesis hypo tes aistheseos kat' energeian,2,1,2,2,3,2,2,1,8,1
CM05,phantasia as 'seeing-as' / interpretation (object-as-F),1,2,3,3,0,2,2,3,7,1
CM06,decaying-sense theory of phantasmata,2,2,1,2,0,3,2,2,7,1
CM07,deliberative / calculative phantasia (bouleutike / logistike),1,3,2,3,2,1,1,1,8,1
CM08,phantasia and orexis / desire (no desire without phantasia),1,3,2,2,2,1,2,1,8,1
CM09,pro ommaton poiein (bringing-before-the-eyes),2,3,0,0,1,2,1,1,6,1
CM10,phantasia 'same in capacity / different in einai' with aisthesis,1,2,2,1,0,3,0,2,6,1
CM11,DA III.3 internal inconsistency / textual difficulty,1,2,1,1,0,3,2,2,7,1
CM12,DA 428a1-4 kata metaphoran clause,1,3,0,3,2,1,0,0,5,2
CM13,phantasia and pistis (conviction / belief),2,3,3,1,2,1,3,2,8,2
CM14,emotions/pathe as phantasiai or phainomena,2,3,3,3,1,1,1,3,8,1
CM15,DA III.3 picture-vs-encounter / detachment criterion,3,1,3,3,0,0,3,0,5,2
CM16,every-appearance-true / Protagorean antirealism,3,0,3,1,0,0,0,0,3,3
CM17,rhetorical phantasia / Rhet. III.1 1404a11 'mere show',0,0,0,0,1,1,1,0,3,2
CM18,phantasia as 'weak perception' (Rhet. 1370a28-30 / asthenes aisthesis),0,0,0,0,2,1,2,0,3,2
CM19,enargeia / vividness,0,0,0,0,2,3,2,0,3,2
CM20,energeia (rhetorical activity / Rhet. III.11),0,0,0,0,2,3,1,0,3,2
CM21,megethos / amplification / auxesis (epideictic),0,0,0,0,1,3,1,0,3,3
CM22,phantasia preserved/stored as 'storehouse' / preserver,3,1,1,3,0,0,3,2,6,2
CM23,phantasia as preparation for / mediator to noein,2,1,1,2,0,3,3,1,7,1
CM24,phantasma as concrete vehicle of thought (DA III.8 432a3-10),1,2,2,3,0,2,3,2,7,1
CM25,intellectual memory denied (memory belongs to aisthetikon),3,2,1,3,0,0,3,2,6,2
CM26,dreams / hallucinations / illusion (sun-a-foot-wide),2,2,1,1,0,3,3,2,7,1
CM27,tripartite phantasia (indeterminate / sensitive / deliberative),0,3,3,0,0,0,0,1,3,3
CM28,scope-of-phantasia in lower / imperfect animals (worm / scolex / ants),2,3,2,3,0,0,0,1,5,2
CM29,phantasia as 'umbrella' / unified vs. loose-knit family concept,1,3,1,2,3,2,3,2,8,2
CM30,Aquinas / Thomistic reception of phantasia,3,2,0,0,0,0,0,1,3,3
CM31,Modrak / Schofield / Wedin secondary-literature axis,2,3,1,2,3,2,1,3,8,2
CM32,Nussbaum 1985 as citation hub / interpretivist anchor,1,0,2,2,2,2,1,2,7,1
CM33,phantasia as kritikon (judging / discriminating capacity),2,1,2,1,2,1,2,2,8,2
CM34,phantasia ek syllogismou (inferential phantasia),2,0,0,0,0,2,0,2,3,3
CM35,rhetorical vision / phantasia-as-rhetorical-faculty,0,0,0,0,1,2,1,0,3,2
CM36,phainomenon agathon (apparent good) / practical phantasia,1,3,2,3,2,1,2,2,8,2
CM37,lexis / style as phantasia-medium,0,0,0,0,1,1,2,0,3,3
CM38,form without matter (DA 432a9-10),1,3,3,3,0,0,0,3,5,3
