source,relation,target,locus,note
bor-sec-45,treats-construct,profound/deep boredom (FCM 3rd form),p.11,"Single passing textual mention: quotes IM 1-2 naming 'a spell of boredom' alongside despair and joy as moods in which Leibniz's question 'resounds'; wasteland/indifference language anticipates but is not FCM's own three-forms apparatus, which this chapter never cites (FAITHFUL-O'Brien, p.11)."
bor-sec-45,treats-construct,monotony / meaninglessness,p.11,"Same IM 1-2 quotation: 'the stubborn ordinariness of beings lays open a wasteland in which it makes no difference to us whether beings are or are not' -- a compact pre-FCM statement of boredom-as-indifference, quoted rather than argued (FAITHFUL-O'Brien, p.11)."
bor-sec-45,qualifies,profound/deep boredom (FCM 3rd form),p.11-14 (analogical only),"(P/anticipatory-application) Our own reading, not O'Brien's: anxiety and profound boredom are sibling Grundstimmungen in Heidegger's corpus (both disclose the nothing, both individualize Dasein, both are opposed to directed ontic feelings). O'Brien's methodological argument for anxiety-as-fundamental-mood applies genus-wide to FCM's profound boredom as a sibling species, but O'Brien himself never draws this comparison or cites FCM. Deliberately NOT recorded as a bridges-to-fcm edge, since that relation is reserved for genuine textual engagement this chapter lacks."
bor-sec-45,treats-construct,temporality of boredom (time-drag),p.19-24 (analogical only),"(P/anticipatory-application) Not treated re: boredom specifically -- included to meet the edge-floor's treats-construct requirement honestly given thin boredom content. The chapter's own overarching concern is Dasein's ecstatic/finite temporality (having-been/not-yet, being-towards-death) as disclosed by anxiety; this is the same general temporal architecture FCM's boredom analysis (dragging time / standing Now / entrancement) later particularizes, but O'Brien never applies it to boredom himself."
bor-sec-45,defines,metaphysics of presence,"p.2-9","Central target of the whole chapter: the Western tradition's unexamined assumption that 'being' reduces to continuous presence, obscuring the role of absence/possibility in experience (FE, p.2-9)."
bor-sec-45,defines,das Nichts / the Nothing (TERM),"p.2-9, 22-24","Heidegger's recurring topic across PM/IM/BT; what anxiety discloses as constitutive of Dasein's own being, not a 'something' that logic can rule illogical (FAITHFUL-O'Brien)."
bor-sec-45,defines,Befindlichkeit (state-of-mind / disposition) (TERM),p.14-21,"Glossed as a fundamental existentiale prior to all psychology of moods, inseparable from Dasein's basic constitution (FAITHFUL-O'Brien, p.15-16, quoting SZ 131, 134)."
bor-sec-45,defines,Stimmung (mood / attunement) (TERM),p.11-14,"The 'founding mode of attunement' that reveals beings as a whole and constitutes the basic occurrence of Dasein, distinguished from directed thematic feelings (FAITHFUL-O'Brien, p.12, quoting BW 100)."
bor-sec-45,defines,Angst (anxiety) vs. Furcht (fear) (TERM),"p.13, 22-23","Fear is always fear of a particular threatening entity; anxiety is anxious about and before nothing in particular, disclosing Being-in-the-world as such (FE, citing SZ 186, BW 100)."
bor-sec-45,defines,Geworfenheit (throwness) (TERM),p.19-20,"Names the 'that it is' of Dasein's being delivered over to its 'there,' veiled in whence/whither yet disclosed all the more unveiledly (FAITHFUL-O'Brien, p.19, quoting SZ 135)."
bor-sec-45,defines,fundamental ontology (TERM),"p.15-16, 24","Heidegger's explicitly stated aim for BT's Dasein-analytic, opposed to anthropology, psychology, humanism, existentialism (FAITHFUL-O'Brien, quoting SZ 131, SZ 200)."
bor-sec-45,defines,nullity (Nichtigkeit) (TERM),p.19-20,"Part of what falling/absorption is disclosive evidence of; Dasein as 'the null basis of a nullity,' with underlying angst a constant testament to this (FE, p.19-20)."
bor-sec-45,defines,being-towards-death (TERM),p.23-24,"The temporal correlate of the anxiety analysis: Dasein is never purely present, always thrown, oriented toward the ultimate possibility of no-longer-being (FE, p.23-24)."
bor-sec-45,defines,ready-to-hand / Zuhandenheit (TERM),p.24,"That in the face of which one has anxiety is 'the possibility of the ready-to-hand in general... the world itself,' not any specific present-at-hand entity (FAITHFUL-O'Brien, p.24, quoting SZ 186-187)."
bor-sec-45,instances-in-text,the chalk example (THEME),p.5-8,"Heidegger's own 1935 lecture-hall illustration (IM 32): the chalk's possibility of being used up belongs to what the chalk is, not something added by thought (FAITHFUL-O'Brien, p.5-7, quoting IM 32)."
bor-sec-45,instances-in-text,Leibniz's question -- why beings rather than nothing (THEME),p.2-9,"Structures the entire chapter as the 'first of all questions'; diagnosed as resting on the unexamined assumption that being means presence (FAITHFUL-O'Brien, quoting IM 1)."
bor-sec-45,instances-in-text,intentionality / lamp-picture-car example (THEME),p.9-10,"Husserlian illustration: we perceive a whole lamp, a three-dimensional picture, a car 'not slowing down to turn into the driveway' though bare sensation gives only partial profiles (FE, p.9-10)."
bor-sec-45,instances-in-text,Origin of the Work of Art hearing example (THEME),p.10,"We hear the storm, the plane overhead, and 'the Mercedes in immediate distinction from the Volkswagen' -- bare sensation is a derivative abstraction (FAITHFUL-O'Brien, p.10, quoting BW 151-152, <=12-word direct quotation)."
bor-sec-45,instances-in-text,fear vs. anxiety distinction (THEME),"p.13, 22-23","Anxiety's turning-away is grounded not in fear of worldly entities but is itself what first makes fear possible (FAITHFUL-O'Brien, p.22-23, quoting SZ 186)."
bor-sec-45,cites,"Heidegger, Martin (AUTHOR)","throughout","Primary source across SZ, PM (1929 lecture + 1943/1949 retrospectives), IM (1935), BW, and GA 95 Black Notebooks (FE)."
bor-sec-45,cites,"Leibniz, G.W. (INTERLOCUTOR)",p.2-4,"Source of the founding question 'why are there beings at all instead of nothing?' that structures the whole chapter (FAITHFUL-O'Brien)."
bor-sec-45,cites,"Husserl, Edmund (INTERLOCUTOR)",p.9,"Source of 'intentionality,' regarded by Heidegger as one of Husserl's most important philosophical insights, used to argue perception already outruns bare presence (FE, p.9)."
bor-sec-45,cites,"Kaeufer, Stefan (INTERLOCUTOR)",p.25-26 (n.7),"Cited on the neo-Kantian backdrop to Heidegger's early engagement with logic, qualifying (per Kaeufer) but not overturning (per O'Brien) the reading of the 1929/1935 anti-positivist polemic (FAITHFUL-O'Brien, citing Kaeufer 2001)."
bor-sec-45,cites,"Macquarrie, John and Robinson, Edward (translators)",p.26 (n.12),"Cited and defended for their rendering of Befindlichkeit as 'state-of-mind,' despite criticism in the literature (FAITHFUL-O'Brien, n.12)."
bor-sec-45,cites-cluster-author,"Dahlstrom, Daniel (2010) -- Negation and Being, The Review of Metaphysics 64","p.4 (n.5), p.26-27 (n.8)","Cited twice in O'Brien's footnotes for the treatment of negation/negative facts and the perception of movement/change as involving an ineliminable negative moment, underwriting O'Brien's own presence/absence argument (FAITHFUL-O'Brien, nn.5, 8, n.8 quoted at length). NOTE: Daniel Dahlstrom is also understood to be a contributor to this same edited volume (a later chapter per this cluster's sibling Hadjioannou-volume units, not yet built in this cluster at time of writing); this is an author-level cluster connection to a different work by the same person, not a citation of that volume chapter (P/anticipatory-application for the fellow-contributor framing; the citation itself is FAITHFUL-O'Brien)."
