source_id,relation,target_id,domain,centrality_tier,book_page,provenance,notes
C-TROPE,parent-of,C-METAPHOR,tropology,1,503,burke,one of the four master tropes
C-TROPE,parent-of,C-METONYMY,tropology,1,503,burke,one of the four master tropes
C-TROPE,parent-of,C-SYNECDOCHE,tropology,1,503,burke,one of the four master tropes
C-TROPE,parent-of,C-IRONY,tropology,1,503,burke,one of the four master tropes
C-METAPHOR,literal-realistic-substitute,C-PERSPECTIVE,tropology,1,503,burke,burke's first substitution
C-METONYMY,literal-realistic-substitute,C-REDUCTION,tropology,1,503,burke,burke's second substitution
C-SYNECDOCHE,literal-realistic-substitute,C-REPRESENTATION,tropology,1,503,burke,burke's third substitution
C-IRONY,literal-realistic-substitute,C-DIALECTIC,tropology,1,503,burke,burke's fourth substitution
C-METAPHOR,shades-into,C-METONYMY,tropology,1,505,burke,inter-transformability principle
C-METONYMY,shades-into,C-SYNECDOCHE,tropology,1,507,burke,a reduction is a representation (relief-map argument)
C-SYNECDOCHE,shades-into,C-IRONY,tropology,1,511,burke,reversible-pairs synecdoche opens into the dialectical interaction of irony
C-IRONY,shades-into,C-METAPHOR,tropology,1,512,burke,perspective of perspectives is itself a perspective; the cycle closes
C-INTER-TRANSFORM,governs,C-TROPE,tropology,1,503,burke,any trope fully developed generates the other three
C-METAPHOR,operationalizes,C-CHARACTER,tropology,1,503,burke,metaphor sees one character in terms of another
C-METAPHOR,is-defined-by,C-CARRYING-OVER,tropology,2,504,burke,carrying-over of a term across realms (per Permanence and Change)
C-METAPHOR,grounds,C-DEGREES-OF-BEING,tropology,2,504,burke,characters possess being in proportion to perspectives-supportable
C-METAPHOR,most-implicates-pentad-term,burke-agency,dramatism,1,503,phase2,perspective is the means-of-considering (agency)
C-METAPHOR,most-implicates-pentad-term,burke-scene,dramatism,2,503,phase2,perspective re-scenes the act
C-METONYMY,strategy,C-CORPOREAL-INCORPOREAL,tropology,1,506,burke,convey incorporeal in terms of corporeal
C-METONYMY,is-device-of,C-POETIC-REALISM,tropology,1,506,burke,metonymy proper as poetic-realist archaicizing
C-REDUCTION,is-device-of,C-SCIENTIFIC-REALISM,tropology,1,506,burke,reduction is metonymy proper to scientific realism
C-METONYMY,distinguishes,C-POETIC-VS-SCIENTIFIC-BEHAVIORISM,tropology,1,507,burke,poet uses metonymy as figure; behaviorist as real reduction
C-REDUCTION,is-one-direction,C-REPRESENTATION,tropology,1,509,burke,reduction goes quality-to-quantity only; representation is two-way
C-METONYMY,most-implicates-pentad-term,burke-act,dramatism,1,506,phase2,act reduced to behavior
C-METONYMY,most-implicates-pentad-term,burke-agency,dramatism,2,506,phase2,reduction is a methodological apparatus
C-SYNECDOCHE,covers-range,C-REPRESENTATION,tropology,1,507,burke,full dictionary range (part-for-whole etc) implies convertibility
C-SYNECDOCHE,paradigm,C-MICRO-MACRO,tropology,1,508,burke,noblest synecdoche is microcosm-macrocosm identity
C-SYNECDOCHE,exemplified-by,leibniz-monadology,tropology,1,508,burke,leibniz uses 'representation' as his own term
C-SYNECDOCHE,exemplified-by,rousseau-volonte-generale,tropology,1,508,burke,political representation as synecdochic
C-SYNECDOCHE,exemplified-by,coleridge-albatross,literary-criticism,1,509,burke,albatross is a gerundive
C-SYNECDOCHE,exemplified-by,melville-ahab,literary-criticism,1,509,burke,ahab as pursuer is pursued
C-SYNECDOCHE,extended-to,reversible-pairs,tropology,2,509,burke,burke 'coaches' synecdoche to cover disease/cure hero/villain active/passive
C-SYNECDOCHE,most-implicates-pentad-term,burke-agent,dramatism,1,508,phase2,part-whole convertibility holds especially for agent-to-class
C-SYNECDOCHE,most-implicates-pentad-term,burke-purpose,dramatism,2,508,phase2,macrocosmic whole as instantiated purpose
C-REPRESENTATIVE-ANECDOTE,opposes,C-REDUCTION,methodology,1,510,burke,reductive anecdote is not representative
C-REPRESENTATIVE-ANECDOTE,bridges,C-SYNECDOCHE,methodology,1,510,burke,representativeness is synecdochic convertibility
C-IRONY,arises-from,C-PERSP-OF-PERSP,tropology,1,512,burke,interaction of all terms produces the total form
C-IRONY,equates,C-DRAMATIC-EQ-DIALECTIC,tropology,1,511,burke,where ideas are in action drama; where agents are in ideation dialectic
C-IRONY,opposes,C-RELATIVISM,tropology,1,512,burke,relativism is fragmentation of drama or dialectic
C-IRONY,distinguishes-type,C-ROMANTIC-IRONY,tropology,1,514,burke,pharisaic / superior / external to enemy
C-IRONY,distinguishes-type,C-CLASSIC-IRONY,tropology,1,514,burke,humble / consubstantial / contains the enemy within
C-CLASSIC-IRONY,grounds-in,C-CONSUBSTANTIALITY-IRONY,tropology,1,514,burke,simultaneously outside and within
C-CLASSIC-IRONY,exemplified-by,flaubert-madame-bovary,literary-criticism,1,514,burke,madame bovary c'est moi
C-CLASSIC-IRONY,exemplified-by,newton-criminal,history,1,515,burke,that man is going to prison for me
