source,relation,target,locus,note
Wendt,defines,embodied philosophy,p.6 / pdf 8,design = enacting theory through the body; the book's overarching theme
Wendt,cites,Allan Chochinov,p.6 / pdf 8,source of "doing philosophy with your hands" framing
Chochinov,glosses,design,p.6 / pdf 8,characterizes design as doing philosophy with the hands (introducing Tonkinwise)
Wendt,cites,Cameron Tonkinwise,p.6 / pdf 8,philosopher-turned-designer; emblem of the philosophy/design crossover
Wendt,cites,Tim Berners-Lee,p.8 / pdf 10,coined "philosophical engineers" in a 2006 interview
Berners-Lee,defines,philosophical engineer,p.8 / pdf 10,new breed of Web architects facing philosophical questions about the user
Wendt,cites,Halpin Clark and Wheeler,p.8 / pdf 10,link the philosophical-engineer role to a new Web iteration needing user body/mind understanding
Wendt,contests,ship-or-die launch culture,p.9 / pdf 11,critiques the fetishized launch; products polished but not architected
Wendt,qualifies,ship-or-die launch culture,p.9 / pdf 11,design need not be long/drawn-out but should not be an afterthought
Wendt,concedes,Lean Startup,p.9 / pdf 11,credits Lean Startup/Lean UX for emphasizing customer insight
Wendt,contests,Lean Startup,p.9 / pdf 11,argues they are easily bastardized into biased, shallow methods
Wendt,defines,problem-solution paradox,p.9 / pdf 11,problems and solutions co-evolve and must be understood together
problem-solution paradox,contests,linear problem-to-solution model,p.10 / pdf 12,linear movement creates a false assumption about where to start
Wendt,cites,Edmund Husserl,p.10 / pdf 12,phenomenology of individual experience with the world
Husserl,mediates,Martin Heidegger,p.10 / pdf 12,Heidegger was Husserl's student before breaking from his tutelage
Martin Heidegger,extends,phenomenology,p.10 / pdf 12,expands phenomenology into the study of being
Maurice Merleau-Ponty,extends,phenomenology,p.10 / pdf 12,rethinks phenomenology from the perspective of embodiment
Don Ihde,extends,post-phenomenology,p.10 / pdf 12,technology + body focus; objects as source of insight
Peter-Paul Verbeek,extends,post-phenomenology,p.10 / pdf 12,post-phenomenological human-technology-world relations
Wendt,extends,phenomenological design thinking,p.10 / pdf 12,proposes design-centric phenomenology as the next evolution
phenomenological design thinking,applies-to-design,post-phenomenology,p.11 / pdf 13,gives post-phenomenology a more purposeful tone (why AND how to design)
Wendt,cites,Nigel Cross,p.11 / pdf 13,adopts the three facets of design research
Nigel Cross,defines,design epistemology,p.11 / pdf 13,study of designerly ways of knowing
Nigel Cross,defines,design praxiology,p.11 / pdf 13,study of the practices and processes of design
Nigel Cross,defines,design phenomenology,p.11 / pdf 13,study of the form and configuration of artefacts
Wendt,contests,design phenomenology,p.11 / pdf 13,argues Cross's definition is too narrow and encompasses the other two facets
artifacts,discloses,understanding of the world,p.11 / pdf 13,artifacts embody our understanding, so always carry a design epistemology
Wendt,cites,Carl Mitcham,p.12 / pdf 14,design as a uniquely modern practice; no Greek/Hebrew word for design
Mitcham,defines,design vs craft,p.12 / pdf 14,craft = no maker/user separation; design = purposeful enacting of an intentional plan
design,contests,craft,p.12 / pdf 14,design constrained by industry/market/feasibility vs craft's open process
Mitcham,glosses,designer-user rift,p.13 / pdf 15,the rift lets Wendt reframe experience as emergent
Wendt,defines,experience design,p.11 / pdf 13,blanket term for collective activities of multiple design practices
experience design,designs-for,potential of experience,p.13 / pdf 15,cannot dictate experience; design for the potential of qualitative outcomes
interaction designer,designs-for,structured meaning,p.13 / pdf 15,asserts control via information architecture, affordances, clear instruction
experience,co-evolves-with,multiple design practices,p.13 / pdf 15,experience is the emergent effect of many interacting design practices and the user
Wendt,qualifies,phenomenological terminology,p.14 / pdf 16,stay consistent with popular Heidegger translations; explain when needed
Martin Heidegger,glosses,terminology problem,p.14 / pdf 16,German-rooted complexity makes English translations footnote-heavy
Wendt,contests,case-study reliance,p.14 / pdf 16,favors strong frameworks over decontextualized single instances; omits case studies
