source,relation,target,locus,note
bor-sec-12,treats-construct,profound/deep boredom (FCM 3rd form),"p.239-245","Central construct; undifferentiated no one, total indifference of beings as a whole, disclosive 'message' (FAITHFUL-Slaby, p.241-242)"
bor-sec-12,treats-construct,being-bored-with (2nd form),"p.239-240","Full German dinner-party quotation + own paraphrase; standing now, self-formed abandoned span of lifetime (FAITHFUL-Slaby, p.239-240)"
bor-sec-12,treats-construct,being-bored-by (1st form),"p.239","Named only via train-station example; explicitly bracketed to save space for the deeper two forms (FE)"
bor-sec-12,treats-construct,temporality of boredom (time-drag),"p.238, 241","Langeweile as lived-time-becoming-long; third form as fusion of past/present/future into a stretched horizon (FAITHFUL-Slaby, p.238, 241)"
bor-sec-12,treats-construct,monotony / meaninglessness,"p.241, 249","Third-form total indifference ('melody of duration has ceased'); paralleled by Pessoa's 'complete and absolute tedium' (FAITHFUL-Slaby/Pessoa, p.241, 249)"
bor-sec-12,treats-construct,boredom-as-regulatory-signal (functional account),"p.241-245","Disclosive 'message' reconstructed faithfully, then contested once Heidegger reads it as demanding resolute action (FAITHFUL-Slaby, qualified by Slaby's own critique)"
bor-sec-12,treats-construct,flow / engagement (contrast pole),"p.239-240, 251-253","Dinner-party surface engagement vs. underlying boredom; later, Pessoa's non-activist aesthetic absorption in writing (FAITHFUL-Slaby, p.239-240, 251-253)"
bor-sec-12,instances-in-text,attentional disengagement / meta-awareness,"p.251","Pessoa's torpor/slumber fragments ('drunk on not being') gesture toward attentional withdrawal in a literary, not cognitive-scientific, register (P/anticipatory-application)"
bor-sec-12,bridges-to-fcm,fcm-04-first-form,"Slaby p.239; FCM Ch.2 §§19-23 book pp.78-105 (pdf 51-64)","Train-station example mentioned only in passing; no German locus cited; omission flagged as deliberate (FE, p.239)"
bor-sec-12,bridges-to-fcm,fcm-05-second-form,"Slaby p.239 GA p.165 = FCM book p.110 (GA pp.164-67 / pdf 68)","Full block quotation of the dinner-party scene; matches fcm-05's own citation of the identical passage almost verbatim (FAITHFUL-Slaby/Heidegger)"
bor-sec-12,bridges-to-fcm,fcm-05-second-form,"Slaby p.240 GA p.170 = FCM book p.112 (GA pp.169-70 / pdf 68)","'Das ganze Verhalten und Benehmen ist der Zeitvertreib' — entire comportment becomes passing-the-time; matches fcm-05's identical citation (FAITHFUL-Slaby/Heidegger)"
