source,relation,target,locus,note
ped-sec-16,treats-construct,representational fidelity,p.552,"Independent-latent-factor indicator (Dalgarno & Lee 2010 two-factor taxonomy); measurement model showed marginal fit, the one construct not meeting standard fit thresholds (FAITHFUL-Merchant, p.552, 561-562)."
ped-sec-16,treats-construct,agency / interactivity,p.552,"Operationalized as 'learners' interaction' (rotate/manipulate/explore molecules); strong factor loading, alpha/omega .61-.71 (FAITHFUL-Merchant, p.552, 561)."
ped-sec-16,treats-construct,cognitive load (extraneous vs germane),"p.553-554, 565","Usability modeled as inverse proxy for extraneous load (Sweller 1994; Van Merriënboer & Sweller 2005); also invoked as candidate explanation for the null presence-learning link (FE)."
ped-sec-16,treats-construct,self-efficacy,"p.556-557, 561","Bandura's social cognitive theory; significant direct predictor of chemistry test (beta=.513, p<.001), mediated by usability (beta=.579) (FAITHFUL-Merchant)."
ped-sec-16,treats-construct,presence (spatial/physical),"p.557, 561-562, 565","Witmer & Singer (1998) definition, single-item Slater & Usoh (1994) measure; significantly generated by usability (beta=.540) but does NOT predict learning (beta=.069, ns) -- sole unsupported hypothesis H7 (FAITHFUL-Merchant, quoting Witmer & Singer p.225)."
ped-sec-16,treats-construct,learning outcomes: retention & transfer,"p.558-559, 561","11-item VSEPR chemistry-learning test as outcome; model explains 45% of its variance (FAITHFUL-Merchant)."
ped-sec-16,tests-condition,SEM / process model (no media contrast),p.555-561,"Single-condition (desktop-3D VR only) correlational/SEM mediation design; no IVR or 2D comparison arm; N=204 undergraduates in Second Life 'Dr K's Chemistry Corner' (FE, p.555)."
ped-sec-16,construct-under-condition,presence (spatial/physical),p.561-562,"Presence generated (beta=.540) under the SEM/process-model condition but null for learning (beta=.069, ns) -- this unit's core concordance cell (FAITHFUL-Merchant)."
ped-sec-16,construct-under-condition,self-efficacy,p.561,"Self-efficacy generated (beta=.579) and predictive of learning (beta=.513) under the SEM/process-model condition (FAITHFUL-Merchant)."
ped-sec-16,defines,usability (TERM),p.553-554,"Composite of perceived ease of use + perceived meaningfulness, drawn from Davis's (1989) technology acceptance model (FAITHFUL-Merchant, p.553-554)."
ped-sec-16,defines,presence (TERM),p.557,"Quotes Witmer & Singer (1998, p.225) directly: 'the subjective experience of being in one place or environment, even when one is physically situated in another' (FAITHFUL-Merchant, p.557)."
ped-sec-16,defines,self-efficacy (TERM),p.556-557,"Beliefs a person has about their capabilities to successfully perform a particular task, citing Bandura 1993 and Zimmerman, Bandura & Martinez-Pons 1992 (FAITHFUL-Merchant, p.556-557)."
ped-sec-16,cites,"Salzman, Marilyn / Dede, Chris / Loftin, R. Bowen / Chen, Jichen (INTERLOCUTOR)",p.552,"General model of virtual reality (1999) — 3D-VR features, concept taught, learner characteristics for learning outcomes; the study's own starting model (FE)."
