source,relation,target,locus,provenance,note
§49,defines,Sichversetzen (transposing oneself),(p.201 / GA pp.294 / pdf 112),faithful,"Self-transposition = going-along-with another being while remaining oneself; not transference, substitution, nor an 'as-if'."
Sichversetzen (transposing oneself),contests,empathy (Einfuehlung),(p.203 / GA pp.298 / pdf 113),faithful,"'Empathy' presupposes our being 'outside'; a guiding thread for fundamentally mistaken theories, now retired."
§49,grounds-question,specific manner of being,(p.202 / GA pp.296 / pdf 113),faithful,"The methodological self-transposition question is at bottom substantive: it asks what permits/resists/forbids transposition."
§50,defines,poverty in world (deprivation),(p.211 / GA pp.307 / pdf 117),faithful,"'Only where there is a having do we find a not-having'; deprivation = not-having yet being able-to-have."
poverty in world (deprivation),qualifies,having and yet not having world,(p.211 / GA pp.309 / pdf 117),faithful,"The animal IS a sphere of transposability yet refuses any going-along-with; grasped only once we know what world is."
§51,contests,a complex of instruments,(p.215 / GA pp.315 / pdf 119),faithful,"Roux's definition of the organism as a complex of instruments 'must certainly collapse altogether'."
Wilhelm Roux,cites,a complex of instruments,(p.212 / GA pp.310 / pdf 118),faithful,"Roux defined the organism as a complex of instruments / a complicated instrument (Entwickelungsmechanik); footnote bibliography."
organon / ergon (Werk),glosses-greek,organ vs instrument,(p.212 / GA pp.310 / pdf 118),faithful,"'organ' from Greek organon ('instrument'); Greek ergon = German Werk; the organ is a Werkzeug — which Heidegger then contests."
§51,contests,von Uexkuell machine-as-imperfect-organism,(p.215 / GA pp.315 / pdf 119),faithful,"Against von Uexkuell ('most perceptive of contemporary biologists') describing the machine as an 'imperfect organism'."
§52,defines,capacity / capability (Faehigkeit),(p.219 / GA pp.320 / pdf 121),faithful,"'Possessing eyes and being able to see are not the same'; the potentiality for seeing first makes eyes possible."
capacity / capability (Faehigkeit),contests,readiness (Fertigkeit),(p.221 / GA pp.322 / pdf 122),faithful,"The pen is ready for writing but not capable of writing; readiness ≠ capacity, a fundamentally different manner of being."
capacity / capability (Faehigkeit),discloses,the capacity creates its organs,(p.221 / GA pp.323 / pdf 122),faithful,"Not the organ that has a capacity but the organism; the capability procures organs for itself — organs grow from / end with it."
§53,defines,subservience (Diensthaftigkeit),(p.226 / GA pp.330 / pdf 124),faithful,"The organ subserves the capacity that develops it; 'serviceability and subservience are not the same'."
subservience (Diensthaftigkeit),contests,serviceability (Dienlichkeit),(p.226 / GA pp.330 / pdf 124),faithful,"Finished equipment is serviceable-for and lies outside its act ('the being of the hammer is not an urge toward hammering')."
temporary organs (amoeba),temporalizes-as,organ vs instrument,(p.224 / GA pp.328 / pdf 124),faithful,"Mouth-then-intestine sequence proves capacities prior to organs; organ and equipment relate to time in fundamentally different ways."
Jakob von Uexkuell,cites,temporary organs (amoeba),(p.224 / GA pp.327 / pdf 124),faithful,"Theoretische Biologie (1928), p.98: 'an aperture which first becomes a mouth, then a stomach...' (footnote)."
§54,defines,self-driving instinctual drive (Trieb),(p.228 / GA pp.332 / pdf 126),faithful,"The capable is intrinsically regulative, drives itself toward its wherefore; capacity only where there is drive."
self-driving instinctual drive (Trieb),qualifies,mechanistic conception of vital movement,(p.229 / GA pp.334 / pdf 126),faithful,"Drives permeate the whole movement in advance, so never merely mechanical; no mathematical expression possible."
§55,interprets-experiment-finding,glow-worm retinal image,(p.231 / GA pp.337 / pdf 127),faithful,"Photographed retinal image (window, letter R, church tower) cannot tell us what the glow-worm sees: achievement ≠ capacity."
§56,defines,proper peculiarity (Eigentum),(p.233 / GA pp.339 / pdf 128),faithful,"Capacity becomes proper to itself without self-consciousness/reflection; 'self' reserved for the human, animal's mode = Eigentum."
Edmund Husserl,grounds-question,proper peculiarity (Eigentum),(p.232 / GA pp.338 / pdf 127),faithful,"Pre-argumentative seeing 'radicalized through Husserl' — phenomenology's decisive trait — is the method for grasping proper being."
§56,marginal-note,Eigentum / eigentlich,(p.233 / GA pp.339 / pdf 128),faithful,"Translator footnote: Eigentum = 'property/ownness' rendered 'proper being'; eigentlich = Being and Time's 'authentic'."
§57,defines,holistic character of the organism,(p.235 / GA pp.342 / pdf 129),faithful,"Organism is neither complex of instruments, union of organs, nor bundle of capacities: a manner of being = proper peculiarity creating organs."
holistic character of the organism,discloses,being organized means being capable,(p.235 / GA pp.342 / pdf 129),faithful,"'The animal is organized' = it is rendered capable (befaehigt); being-capable belongs to the animal's being-actual."
holistic character of the organism,bridges-to-pipeline,captivation (structural background),(p.235 / GA pp.342-43 / pdf 129),faithful,"The self-driven world-poor organism is the structural background to captivation, the contrast term for boredom-disclosed Dasein."
glow-worm retinal image,bridges-to-pipeline,single-proxy caution,(p.231 / GA pp.337 / pdf 127),faithful,"Organ-achievement does not yield the capacity — models the pipeline's refusal to read an attunement off any one physiological proxy."
