source_id,relation,target_id,domain,evidence_pdf_page,evidence_bekker_or_page,contributor,notes
PHX-06-GONZALEZ,defines,READING:psychological-phantasia-thesis,interpretive-thesis,2-5,99-102,González,"Signature reading: phantasia at Rhet. III.1 1404a11 is the De Anima psychological faculty, not 'mere show'. Anchored in summary p.99 + intro programmatic statement p.101."
PHX-06-GONZALEZ,defines,READING:sophistical-refutations-parallel,interpretive-thesis,16-17,114-115,González,"Signature philological move: SE 164a20-24 + 165b24-27 rescue phantasia from 'mere show' — fallacy-as-phantasia is psychological, parallel to DA 428b17-22 + 430b29-30."
PHX-06-GONZALEZ,defines,READING:kennedy-tradition-correction,interpretive-thesis,8-9,106-107,González,"Methodical correction of Cope/Freese/Roberts/Kennedy/Rapp translation tradition. Lists each rendering at n.26."
PHX-06-GONZALEZ,defines,READING:phantasia-with-pistis-rhetorical-economy,interpretive-thesis,28-30,125-128,González,"Rhetorical economy thesis: orator turns own phantasia into sensory phantasmata (lexis+skhēmata+phōnē); becomes hearers' phantasia + pistis = doxa."
PHX-06-GONZALEZ,defines,READING:hypokrisis-not-marginal,interpretive-thesis,4-5,102-103,González,"Hypokrisis as substantive subordinate division of lexis throughout III.2-11, not parenthetical."
PHX-06-GONZALEZ,defines,CONCEPT:phantasia-as-psychological-mediator,concept,2-5,99-102,González,"Central concept: phantasia mediates αἴσθησις and higher cognitive faculties (memory, hope, doxa, νοῦς, ὑπόληψις, βούλευσις)."
PHX-06-GONZALEZ,defines,CONCEPT:rhetorical-phantasia-vs-sophistic-phantasia,concept,16-17,114-116,González,"Rhetorical phantasia and sophistic phantasia are the SAME faculty operating in different modes; legitimacy depends on ethical/dialectical grounding."
PHX-06-GONZALEZ,defines,CONCEPT:adverbial-kai-1404a11,textual-critical,8,113,González,"Textual-critical claim: καί at 1404a11 is adverbial-epexegetic, not conjunctive; editorial punctuation tracks this (n.42)."
PHX-06-GONZALEZ,defines,CONCEPT:lexis-hypokrisis-coordinate,concept,4-5,102-103,González,"Hypokrisis subordinate to lexis but tracked throughout III.2-11."
PHX-06-GONZALEZ,defines,CONCEPT:pros-doxan-as-reputation-management,concept,12-13,110-112,González,"πρὸς δόξαν at Rhet. 1365b1-8 names reputation/social-appearance, not ostentation."
PHX-06-GONZALEZ,defines,CONCEPT:didaskalia-as-demonstrative-practice,concept,14-15,112-113,González,"διδασκαλία at 1404a9 = 'demonstrative practice' (matching Poet. 1456b5)."
PHX-06-GONZALEZ,defines,CONCEPT:phantasia-as-asthenes-aisthesis,concept,8,106,González,"Operative definition: Rhet. 1370a28-30 αἴσθησίς τις ἀσθενής (τις = contextual hedge)."
PHX-06-GONZALEZ,defines,CONCEPT:bouleutike-phantasia-combining,concept,21,119,González,"DA 434a5-10 deliberative phantasia combines πλείω φαντάσματα — bridges psychology to rhetorical practice."
PHX-06-GONZALEZ,defines,CONCEPT:de-motu-causal-chain,concept,22-23,120-121,González,"De motu 702a17-19: thought/perception → phantasia → desire → bodily pathē → motion."
PHX-06-GONZALEZ,defines,CONCEPT:phantasia-with-pistis-rhetorical-goal,concept,28,126,González,"DA 428a20-24: phantasia ≠ doxa via πίστις; rhetorical goal is phantasia-WITH-pistis."
PHX-06-GONZALEZ,defines,CONCEPT:logistike-vs-aisthetike-phantasia,concept,21,119,González,"DA 433b29-30 distinction; not mutually exclusive per Wedin 1988:114."
PHX-06-GONZALEZ,defines,CONCEPT:mokhtheria-tracks-audience-not-lexis,concept,10,108-109,González,"Poetics 26 parallel (1461b27-29; 1462a2-6) shows φορτική depends on θεαταί — audience-dependent."
PHX-06-GONZALEZ,defines,CONCEPT:emotions-as-phantasiai,concept,27,125,González,"Rhet. 1382a21, 1383a17, 1384a22 — emotions definitionally phantasiai."
PHX-06-GONZALEZ,defines,CONCEPT:rhetorical-task-as-phantasma-construction,concept,29-30,126-128,González,"Orator constructs phantasmata via lexis+skhēmata+phōnē for hearers' uptake."
PHX-06-GONZALEZ,defines,CONCEPT:pros-auton-vs-pros-akroaten,concept,15,113,González,"Geometer's phantasia πρὸς αὑτόν vs. orator's πρὸς τὸν ἀκροατήν — directionality, not honesty."
PHX-06-GONZALEZ,defines,CONCEPT:freudenthal-nussbaum-genealogy,concept,15-16,113-114,González,"Traces 'mere show' reading to Freudenthal 1863:17-18, popularized by Nussbaum 1978:254. Wedin 1988:68 confirms one-passage-circularity."
PHX-06-GONZALEZ,defines,CONCEPT:hupolepsis-without-phantasia-impossible,concept,20,118,González,"DA 427b14-16: ὑπόληψις never without phantasia — phantasia constitutive of rhetorical krisis."
PHX-06-GONZALEZ,instances-in-text,ARISTOTLE-LOCUS:Rhet-1404a11,aristotle-locus,passim,1404a11,González,"THE CENTRAL CRUX. ἀλλ' ἅπαντα φαντασία ταῦτ' ἐστὶ καὶ πρὸς τὸν ἀκροατήν. Adverbial καί reading."
PHX-06-GONZALEZ,instances-in-text,ARISTOTLE-LOCUS:Rhet-1404a1-12,aristotle-locus,5-8,1404a1-12,González,"Full passage quoted with Ross Greek + Kennedy translation modified."
PHX-06-GONZALEZ,instances-in-text,ARISTOTLE-LOCUS:Rhet-1370a28-30,aristotle-locus,8/24-26,1370a28-30,González,"Working definition: φαντασία ἐστὶν αἴσθησίς τις ἀσθενής."
PHX-06-GONZALEZ,instances-in-text,ARISTOTLE-LOCUS:Rhet-1365b1-8,aristotle-locus,12-13,1365b1-8,González,"πρὸς ἀλήθειαν vs. πρὸς δόξαν — reputation-management thesis."
PHX-06-GONZALEZ,instances-in-text,ARISTOTLE-LOCUS:Rhet-1370a18-27,aristotle-locus,23-24,1370a18-27,González,"ἐπιθυμία division: ἄλογος vs. μετὰ λόγου ἐκ τοῦ πασθῆναι — rhetorical-aural anchor."
PHX-06-GONZALEZ,instances-in-text,ARISTOTLE-LOCUS:DA-427b14-16,aristotle-locus,20,DA 427b14-16,González,"Master statement on phantasia's place between αἴσθησις and ὑπόληψις."
PHX-06-GONZALEZ,instances-in-text,ARISTOTLE-LOCUS:DA-428a20-24,aristotle-locus,28,DA 428a20-24,González,"Phantasia ≠ doxa via πίστις — kernel of rhetorical-economy thesis."
PHX-06-GONZALEZ,instances-in-text,ARISTOTLE-LOCUS:DA-433b27-30,aristotle-locus,21,DA 433b27-30,González,"Logistikē vs. aisthētikē phantasia."
PHX-06-GONZALEZ,instances-in-text,ARISTOTLE-LOCUS:DA-434a5-10,aristotle-locus,21,DA 434a5-10,González,"Bouleutikē phantasia combines πλείω φαντάσματα."
PHX-06-GONZALEZ,instances-in-text,ARISTOTLE-LOCUS:DA-428b17-22,aristotle-locus,17,DA 428b17-22,González,"Perception of ἴδια vs. αἰσθητά κατὰ συμβεβηκός — distance-fallibility."
PHX-06-GONZALEZ,instances-in-text,ARISTOTLE-LOCUS:SE-164a20-24,aristotle-locus,17,SE 164a20-24,González,"οἱ φαινόμενοι ἔλεγχοι; συλλογισμοί οἳ δ' οὐκ ὄντες δοκοῦσι — SE's psychological phantasia."
PHX-06-GONZALEZ,instances-in-text,ARISTOTLE-LOCUS:SE-165b24-27,aristotle-locus,16-17,SE 165b24-27,González,"PIVOT TEXT: six sources of false-syllogism phantasia (ὁμωνυμία, ἀμφιβολία, σύνθεσις, διαίρεσις, προσῳδία, σχῆμα λέξεως)."
PHX-06-GONZALEZ,instances-in-text,ARISTOTLE-LOCUS:DeMotu-702a17-19,aristotle-locus,22,De motu 702a17-19,González,"CAUSAL CHAIN: διάνοια/αἴσθησις → φαντασία → ὄρεξις → bodily πάθη → motion."
PHX-06-GONZALEZ,instances-in-text,ARISTOTLE-LOCUS:DeMotu-700b17-21,aristotle-locus,23,De motu 700b17-21,González,"phantasia + αἴσθησις occupy same place as νοῦς; all are κριτικά."
PHX-06-GONZALEZ,instances-in-text,ARISTOTLE-LOCUS:DeMem-449b30-450a1,aristotle-locus,15,De Mem 449b30-450a1,González,"νοεῖν οὐκ ἐστιν ἄνευ φαντάσματος — phantasia operates in geometry too."
PHX-06-GONZALEZ,instances-in-text,ARISTOTLE-LOCUS:Rhet-1382a21,aristotle-locus,27,1382a21,González,"φόβος as phantasia of future evil."
PHX-06-GONZALEZ,instances-in-text,ARISTOTLE-LOCUS:Rhet-1384a22,aristotle-locus,27,1384a22,González,"αἰσχύνη as phantasia of loss of reputation."
PHX-06-GONZALEZ,instances-in-text,ARISTOTLE-LOCUS:Rhet-1386a29-33,aristotle-locus,30,1386a29-33,González,"Pity-evocation via gestures/cries/display/hypokrisis (ἐγγὺς ποιοῦσι φαίνεσθαι)."
PHX-06-GONZALEZ,instances-in-text,ARISTOTLE-LOCUS:Rhet-1408a16-24,aristotle-locus,29,1408a16-24,González,"Style-register inventory + community-of-feeling passage."
PHX-06-GONZALEZ,instances-in-text,ARISTOTLE-LOCUS:Poet-1455a22-32,aristotle-locus,29,Poet 1455a22-32,González,"Poet 'puts-before-eyes' — parallel to rhetorical phantasma-construction."
PHX-06-GONZALEZ,instances-in-text,ARISTOTLE-LOCUS:Poet-1461b27-29,aristotle-locus,10,Poet 1461b27-29,González,"φορτική mimesis depends on θεαταί — supports audience-dependent reading."
PHX-06-GONZALEZ,instances-in-text,ARISTOTLE-LOCUS:NE-1102a26-b31,aristotle-locus,23,NE 1102a26-b31,González,"Soul's two parts; alogon further divided; epithymetikon 'somehow shares in logos.'"
PHX-06-GONZALEZ,instances-in-text,ARISTOTLE-LOCUS:EE-1215a29-30,aristotle-locus,11-12,EE 1215a29-30,González,"φορτικὰς τέχνας τὰς πρὸς δόξαν — Cope's parallel, properly rendered 'for reputation' not 'ostentation.'"
PHX-06-GONZALEZ,glosses-greek,GREEK-TERM:phantasia,greek-term,passim,passim,González,"Central term; not 'mere show' but mediating psychic faculty."
PHX-06-GONZALEZ,glosses-greek,GREEK-TERM:phantasma,greek-term,2/22,passim,González,"Product of phantasia; DA 431a14-15 τὰ φαντάσματα οἷον αἰσθήματα."
PHX-06-GONZALEZ,glosses-greek,GREEK-TERM:phantazesthai,greek-term,18-19,Hdt 7.10ε,González,"Hdt 7.10ε is sole pre-Aristotelian candidate for 'arrogant display' — strictly contextual."
PHX-06-GONZALEZ,glosses-greek,GREEK-TERM:phainesthai,greek-term,2,1403b17,González,"Aristotle's deliberate φανῆναι at 1403b17 — psychology of perception in view."
PHX-06-GONZALEZ,glosses-greek,GREEK-TERM:doxa,greek-term,13,1365b1-8,González,"Survey: 'opinion/reputation' across Rhetoric, not 'ostentation.'"
PHX-06-GONZALEZ,glosses-greek,GREEK-TERM:pistis,greek-term,28,DA 428a20-24,González,"Goal of rhetoric; distinguishes phantasia from doxa."
PHX-06-GONZALEZ,glosses-greek,GREEK-TERM:hypokrisis,greek-term,4-5,1403b22-28,González,"Subordinate division of lexis, not parenthetical."
