subject,stimulus,quantity,value,kind
R2-02,BOR,eye openness,0.712359542105,physiology
R2-02,CLC,eye openness,0.908713257349,physiology
R2-02,INT,eye openness,0.916171521325,physiology
R2-02,BOR,pupil dilation,3.41066599642,physiology
R2-02,CLC,pupil dilation,3.99876456794,physiology
R2-02,INT,pupil dilation,3.30190168557,physiology
R2-02,BOR,cognitive load,0.471330339342,physiology
R2-02,CLC,cognitive load,0.46763049009,physiology
R2-02,INT,cognitive load,0.518203955611,physiology
R2-02,BOR,HR,,physiology
R2-02,CLC,HR,69.5437788018,physiology
R2-02,INT,HR,67.3870967742,physiology
R2-02,BOR,gaze deviation variance,0.0114349703609,physiology
R2-02,CLC,gaze deviation variance,0.00967863425003,physiology
R2-02,INT,gaze deviation variance,0.0122420691844,physiology
R2-02,BOR,gaze deviation median,0.194338830954,physiology
R2-02,CLC,gaze deviation median,0.141068174577,physiology
R2-02,INT,gaze deviation median,0.148212810614,physiology
R2-02,BOR,head motion (gyro),,physiology
R2-02,CLC,head motion (gyro),6.02953135671,physiology
R2-02,INT,head motion (gyro),3.98183919097,physiology
R2-02,BOR,boredom,9,self-report
R2-02,CLC,boredom,8,self-report
R2-02,INT,boredom,7,self-report
R2-02,BOR,engagement,1,self-report
R2-02,CLC,engagement,4,self-report
R2-02,INT,engagement,6,self-report
R2-02,BOR,felt duration (min),30,self-report
R2-02,CLC,felt duration (min),30,self-report
R2-02,INT,felt duration (min),20,self-report
