source,relation,target,locus,note
ped-sec-31,treats-construct,social presence / co-presence,"p.121, 130-131","Central construct; argued to be inconsistently measured because never isolated from the medium in which it is studied — this cluster's primary row-axis fill for this unit (FE)."
ped-sec-31,treats-construct,group cohesion (sub-factor of social presence),p.131-132,"Team/community capacity to work together toward shared tasks and goals; drawn from Garrison/Anderson/Archer (1999) and Rovai (2002) community definitions and Whiteside's (2015) social-presence-model elements (FAITHFUL-Terry-Doolittle, p.131-132)."
ped-sec-31,treats-construct,co-presence / salience of others (sub-factor of social presence),p.132-133,"A clear sense of who else is present regardless of setting; drawn from Biocca/Harms/Burgoon and de Greef & IJsselsteijn's (2000) 'sense of being together' (FAITHFUL-Terry-Doolittle, p.132-133)."
ped-sec-31,treats-construct,affective association (sub-factor of social presence),p.133-134,"Warmth/safety enabling free interaction; rooted in Short et al.'s (1976) bipolar semantic-differential scales and Whiteside's (2015) affective-association expansion (FAITHFUL-Terry-Doolittle, p.133-134)."
ped-sec-31,treats-construct,immediacy (sub-factor of social presence),p.133-135,"Verbal/nonverbal closeness behaviors reducing psychological/physical distance (Mehrabian 1971); Gunawardena & Zittle's (1997) teacher-immediacy behaviors (FAITHFUL-Terry-Doolittle, p.133-135)."
ped-sec-31,treats-construct,intimacy (sub-factor of social presence),p.134-135,"Personalization and communication equilibrium; rooted in Argyle & Dean's (1965) eye-contact studies and Lombard & Ditton's (1997) expanded behavior list (FAITHFUL-Terry-Doolittle, p.134-135)."
ped-sec-31,treats-construct,interactivity,p.125-126,"Distinguished from, not folded into, social presence: citing Picciano (2002), users may be highly interactive without feeling 'present' (FAITHFUL-Terry-Doolittle, p.125-126)."
ped-sec-31,defines,mediated vs. non-mediated presence (TERM),p.121-122,"Lee's (2004) distinction between perceptions transported by technology and perceptions that are direct/psychological regardless of setting — the article's central reframing device (FAITHFUL-Terry-Doolittle, p.121-122)."
ped-sec-31,defines,five factors of social presence (THEORY-MODEL),p.130-136,"Terry & Doolittle's own proposed decomposition (group cohesion, co-presence, affective association, immediacy, intimacy), framed as testable independent of medium (FE, p.130-131)."
ped-sec-31,defines,Presence Pedagogy (TERM),p.123-124,"Term coined by Bronack et al. (2008) for students' felt co-presence with peers in a 3D virtual-campus graduate program, used as an exemplar of technology-enabled social presence (FAITHFUL-Terry-Doolittle, p.123-124)."
ped-sec-31,cites-cluster-author,ped-sec-26,"p.126, 129, 133","Uses the Community of Inquiry model's (Garrison, Anderson & Archer, 2000) 'real people' definition of social presence as one of five foundational models reviewed (FAITHFUL-Terry-Doolittle, p.129, quoting p.89 of ped-sec-26's own text)."
ped-sec-31,extends-reading-of,ped-sec-26,p.133,"Builds the co-presence/salience-of-others factor partly on the CoI framework's claim that presence is high when participants project themselves socially and emotionally as 'real people' (FAITHFUL-Terry-Doolittle, p.133)."
ped-sec-31,contests-reading-of,ped-sec-26,p.129,"Judges, in the authors' own voice, that the Community of Inquiry model's entanglement of social presence with cognitive presence, teaching presence, and (via Shea 2010) learning presence 'broadened and arguably convoluted' definitions and conceptions of social presence (FAITHFUL-Terry-Doolittle, p.129)."
ped-sec-31,cites-cluster-author,ped-sec-01,p.134,"Cites Lombard & Ditton (1997) for the expanded list of intimacy behaviors (posture, gesture, facial expression, touch) and the concept of 'social richness' (FAITHFUL-Terry-Doolittle, p.134)."
ped-sec-31,cites-cluster-author,ped-sec-02,"p.124, 134-135","Cites Witmer & Singer (1998) for the general presence definition ('subjective experience of being in one place... even when physically situated in another') and for sensory extent/fidelity as a determinant of presence, extrapolated to social presence (FAITHFUL-Terry-Doolittle, p.124, 134-135)."
ped-sec-31,cites,"Short, Williams & Christie (AUTHOR)","p.121, 124-125, 133, 135","Foundational 1976 medium-based definition of social presence, engaged as the field's baseline throughout and as source of the original bipolar affective scales (FAITHFUL-Terry-Doolittle)."
ped-sec-31,cites,"Gunawardena, Charlotte N. & Frank Zittle (AUTHOR)",p.127-128,"Social Presence Scale (1997), 14 bipolar items grounded in Argyle & Dean's intimacy and Wiener & Mehrabian's immediacy concepts (FAITHFUL-Terry-Doolittle, p.127-128)."
ped-sec-31,cites,"Tu, Chih-Hsiung & Marina McIsaac (AUTHOR)",p.128-129,"Social Presence and Privacy Questionnaire (2002) and four relational dimensions (demonstrating caring, exchanging information, providing services, maintaining existing status) (FAITHFUL-Terry-Doolittle, p.128-129)."
ped-sec-31,cites,"Biocca, Harms & Burgoon (AUTHOR)","p.129, 131, 135","Call for conceptual clarity, distinguishing phenomenal-interactional from stable-medium-property accounts of social presence; their 2003 call motivates the paper's own five-factor project (FAITHFUL-Terry-Doolittle, p.129, 131)."
ped-sec-31,cites,"Sung, Eunmo & Richard E. Mayer (AUTHOR)",p.129-130,"Online Social Presence Questionnaire (2012), five affective facets (social respect, social sharing, open mind, social identity, intimacy) (FAITHFUL-Terry-Doolittle, p.129-130)."
ped-sec-31,cites,"Richardson, Maeda, Lv & Caskurlu (AUTHOR)",p.123-124,"2017 meta-analysis finding positive but highly variable correlations between social presence and course satisfaction/perceived learning, cited as motivating evidence for a stable definition (FAITHFUL-Terry-Doolittle, p.123-124)."
ped-sec-31,cites,"Bronack, Stephen et al. (AUTHOR)",p.123-124,"2008 'Presence Pedagogy' 3D virtual-campus project, used as an exemplar of technology-enabled social presence (FAITHFUL-Terry-Doolittle, p.123-124)."
ped-sec-31,cites,"Lowenthal, Patrick R. (AUTHOR)",p.125,"Cited for the three-phase evolutionary timeline of social presence theory (FAITHFUL-Terry-Doolittle, p.125)."
ped-sec-31,cites,"Cui, Guanglong, Lockee & Meng (AUTHOR)",p.125,"Cited for the generational-phase framing and instructional-design-implications critique of social presence theory (FAITHFUL-Terry-Doolittle, p.125)."
ped-sec-31,instances-in-text,three generational phases (THEME),p.125-127,"Phase 1 medium-based (Short et al. 1976); Phase 2 media-appropriateness critique (Rutter, Daft & Lengel, Walther); Phase 3 Community-of-Inquiry-situated online-learning era (FAITHFUL-Terry-Doolittle, p.125-127)."
ped-sec-31,instances-in-text,Weidlich & Bastiaens SIPS model (THEME),p.122,"Sociability-social interaction-social presence-social space model, used as an opening example whose own findings beg unanswered mechanism questions (FAITHFUL-Terry-Doolittle, p.122)."
ped-sec-31,qualifies,social presence / co-presence,p.125-126,"Distinguishes social presence from interactivity and from community, citing Picciano (2002) that users may be highly interactive without feeling 'present' (FAITHFUL-Terry-Doolittle, p.125-126)."
