source,relation,target,domain,evidence,contributor
Moss,defines,the apparent good (phainomenon agathon) as a literal quasi-perceptual phantasia-appearance,moral-psychology,Intro xi-xii; EE VII.2 1235b26-29; Insomn. 460b16-20,Moss
the apparent good,instances-in-text,the sun appears a foot wide though believed larger than the earth,philology-of-aristotle,de An. 428b2-4; Insomn. 460b16-20,Moss
phantasia,contests,doxa (they reside in different parts of the soul),philosophy-of-mind,EE VII.2 1235b26-29,Moss
Moss,defines,evaluative phantasia (a pleasurable motivating appearance of something as good),philosophy-of-mind,p.63-64; de An. 431a8-12,Moss
Moss,defines,the basic (minimalist) conception of phantasia as 'a movement arising from actual perception',philosophy-of-mind,p.51-57; de An. 428a1-2; 429a1-2,Moss
minimalist phantasia,contests-reading-of,Nussbaum 1978 (phantasia as interpretation of perception),philosophy-of-mind,p.54; Nussbaum 1978 240/255-259,Moss
minimalist phantasia,contests-reading-of,Lorenz 2006 (phantasia as 'envisaging prospects'),philosophy-of-mind,p.56; Lorenz 2006 131,Moss
minimalist phantasia,contests-reading-of,Modrak 1986/1987 (phantasia reinterprets in light of pleasures/pains),philosophy-of-mind,p.55; Modrak 1987 97,Moss
phantasia,defines,affective preservation (it copies the pleasurableness/painfulness of perception),philosophy-of-mind,p.57-63; MA 701b33-35; 702a2-7,Moss
evaluative phantasia,extends-reading-of,the apparent good (a pleasurable phantasia IS a cognition of something as good),moral-psychology,p.63-64,Moss
Moss,extends-reading-of,Whiting 2002 (pleasure central to phantasia's motivating role),philosophy-of-mind,p.57-58; Whiting 2002 173,Moss
Practical Empiricism,extends,the British-empiricist view (Hume) that desire rests on copies of pleasurable perceptions,moral-psychology,Intro xiii-xv; p.66 n.36,Moss
Moss,defines,the phantastic account of the passions (passions based on literal phantasiai),moral-psychology,p.69-70; Rhet. 1382a21-22,Moss
phantastic account of the passions,contests,the doxastic account of the passions (passions based on belief/doxa),moral-psychology,p.70; 4.1,Moss
Moss,contests-reading-of,Fortenbaugh 2002 (passionate part as a division of nous / alogical intellect),philosophy-of-mind,p.72-74; Fortenbaugh 2002 26-27,Moss
Moss,contests-reading-of,Dow 2009 (the two doxastic objections),moral-psychology,p.70 n.3; 87-92; Dow 2009,Moss
Moss,contests-reading-of,Nussbaum 1996 (Rhetoric's appearance-language is non-technical),rhetorical-theory,p.70 n.3; Nussbaum 1996 307,Moss
