source,relation,target,locus,note
bor-sec-25,treats-construct,boredom-as-regulatory-signal (functional account),pp.468-476,"the paper's entire argumentative object; every other construct is treated in service of this one (FE)"
bor-sec-25,treats-construct,situational vs. trait/state boredom,pp.457-460,"four formal features (duration/continuity/concreteness/situational-susceptibility) individuate state from trait boredom as different kinds, not degrees (FE)"
bor-sec-25,treats-construct,boredom proneness,"pp.457, 475","BPS/ZBS reviewed as standard trait measures; Struk et al. 2016 locomotion correlation cited as initial confirmation of the malfunction-to-trait prediction (FE)"
bor-sec-25,treats-construct,mind-wandering / task-unrelated thought,p.461,"causal direction (precursor vs. consequence of boredom) flagged as open; possibly adaptive as a means of surfacing alternatives (FE)"
bor-sec-25,treats-construct,attentional disengagement / meta-awareness,"pp.460-461, 467, 469-470","via Eastwood et al. 2012's 'unengaged mind' account; later reinterpreted functionally rather than as mere deficit (FE)"
bor-sec-25,treats-construct,flow / engagement (contrast pole),pp.463-464,"Csikszentmihalyi's flow addressed directly; explicitly NOT treated as boredom's simple negation (FE)"
bor-sec-25,treats-construct,monotony / meaninglessness,"pp.463-464, 471-472","one of two ways a situation is 'non-optimal'; recurs in the meaning-restoration discussion of sec.3.3 (FE)"
bor-sec-25,treats-construct,temporality of boredom (time-drag),pp.461-463,"longest single-construct treatment in the paper; internal-clock model; prospective vs. retrospective estimation (FE)"
bor-sec-25,operationalizes-measure,self-report / survey scale,"pp.457, 466","BPS, ZBS, Fahlman et al. 2013 state-boredom scale, Goetz et al. 2014 arousal Likert item -- all literature-reviewed, none administered (FE)"
bor-sec-25,operationalizes-measure,heart rate / HRV,pp.464-466,"reviews Pattyn 2008, London et al. 1972, Chanel et al. 2008, Merrifield and Danckert 2014 -- literature-cited only (FE)"
bor-sec-25,operationalizes-measure,EEG alpha/theta power,pp.466-467,"reviews Oswald 1962 alpha waves, mental-fatigue alpha-increase literature, Tabatabaie et al. 2014 lower left-DLPFC beta -- literature-cited only (FE)"
bor-sec-25,operationalizes-measure,EEG functional connectivity,p.467,"reviews Danckert and Merrifield 2016's fMRI default-mode-network / anterior-insula finding -- literature-cited only (FE)"
bor-sec-25,operationalizes-measure,behavioral (RT / errors / performance-monitoring),"pp.461-463, 467","time-estimation paradigms (Watt 1991; London and Monello 1974); Jiang et al. 2009 delayed ERP/LPC responses -- literature-cited only (FE)"
bor-sec-25,construct-measured-by,boredom proneness,p.457,"measured via BPS (Farmer and Sundberg 1986) / ZBS (Zuckerman 1979); surveyed from the literature, not administered by this paper (FE)"
bor-sec-25,construct-measured-by,temporality of boredom (time-drag),pp.461-463,"internal-clock prospective/retrospective paradigms; Watt 1991 number-circling task; London and Monello 1974 clock-manipulation study (FE)"
bor-sec-25,construct-measured-by,boredom-as-regulatory-signal (functional account),pp.471-472,"behavioral proxy: self-administered-shock studies (Wilson et al. 2014; Havermans et al. 2015; Nederkoorn et al. 2016) as evidence of escape-motivation function (FE)"
bor-sec-25,defines,state boredom (four formal features),pp.458-460,"duration, continuity, concreteness, susceptibility to situation, distinguishing state from trait boredom as a matter of kind (FE)"
bor-sec-25,defines,boredom as a functional/self-regulatory emotion,pp.468-469,"transitory, multicomponent, appraisal-triggered response serving a twofold informative/regulatory function (FE)"
bor-sec-25,qualifies,arousal-boredom relationship (low vs. high vs. both),pp.464-466,"adopts the 'both, depending on escape-availability' reading (Eastwood et al. 2012; Merrifield and Danckert 2014) over a single-direction account (FE)"
bor-sec-25,contests,boredom is exclusively a low-arousal / apathetic state,pp.464-466,"contests Bench and Lench's (2013) move to reclassify low-arousal boredom findings as evidence about apathy rather than boredom (FE)"
bor-sec-25,contests,Goetz et al. (2014) five-fold arousal/valence typology of boredom,pp.464-465,"declines the five-way split on methodological grounds: self-report-only arousal measure, unexamined temporal ordering, risk of conflating boredom with co-occurring emotions (FE)"
bor-sec-25,concedes,"boredom's phenomenology is aversive, disengaging, and attention-impairing",pp.460-464,"concession made prior to functional reinterpretation; the same features a deficit account would cite as failure-evidence (FE)"
bor-sec-25,cites,Fahlman et al. (2013) state boredom scale and 'gets us unstuck' formulation,p.469,"source of the paper's central functional formulation, quoted p.68 of the cited source (FE)"
bor-sec-25,cites,Van Tilburg and Igou (2011-2017b) meaning-regulation account,"pp.463-464, 468-469, 472","boredom's dissociation from anger/sadness/frustration; meaning-restoration strategies following boredom onset (FE)"
bor-sec-25,cites,"Eastwood, Frischen, Fenske, and Smilek (2012) The Unengaged Mind","pp.460-461, 467, 473","attentional-failure account of boredom's mechanism; principal source for the disengagement/attention characteristics (FE)"
bor-sec-25,cites,"Csikszentmihalyi (1975, 1990, 1993) flow / optimal experience",pp.463-464,"contrast-pole account; its skills-exceed-challenge model of boredom criticized as too narrow (FE)"
bor-sec-25,cites,Deci and Ryan (1985) self-determination theory,pp.472-473,"intrinsic/extrinsic motivation distinction used to explain boredom's motivational character (FE)"
bor-sec-25,cites,"Baumeister, Bratslavsky, Finkenauer, and Vohs (2001) negativity bias ('bad is stronger than good')","pp.469-470, 474","explains why an aversive signal is functionally well-suited to produce behavioral change (FE)"
bor-sec-25,cites,"Fredrickson (1998, 2013) broaden-and-build hypothesis",p.475,"boredom's indirect promotion of the positive emotion of interest as a route to durable psychological resources (FE)"
bor-sec-25,cites,"Wilson et al. (2014); Havermans et al. (2015); Nederkoorn et al. (2016) self-administered-shock studies","pp.471-472","behavioral evidence isolating boredom (not sadness/negative-affect generally) as the driver of escape-motivated self-shocking (FE)"
bor-sec-25,cites,Struk et al. (2016) locomotion / boredom-proneness correlation,p.475,"cited as initial empirical confirmation of the regulatory account's testable prediction (FE)"
bor-sec-25,cites,Danckert and Merrifield (2016) fMRI default-mode-network study,p.467,"resting-state vs. boredom-induction vs. sustained-attention-task comparison; anterior-insula anticorrelation unique to boredom (FE)"
bor-sec-25,cites,Heidegger (1983/2001) The Fundamental Concepts of Metaphysics,"pp.461, 463, 471","three bare string-citations for the altered-perception-of-time phenomenon only; no engagement with Dasein/moods/tripartite forms -- not a bridges-to-fcm-worthy reading (FE)"
bor-sec-25,cites-cluster-author,bor-sec-26 (Elpidorou -- The Good of Boredom 2018b),p.471,"cited as 'Elpidorou (in press). The good of boredom. Philosophical Psychology' for the claim that boredom facilitates goal-directed (not merely any) movement -- forward citation to the companion piece (FE)"
bor-sec-25,shifts-debate-axis,boredom-as-deficit <-> boredom-as-functional/adaptive,"pp.455-456, 460-476","PRIMARY GROUNDING for this cluster axis (together with bor-sec-26): concedes deficit-reading's descriptive premises (aversiveness, disengagement, attentional failure) then reinterprets them as functional components of a regulatory mechanism, arguing the functional/adaptive side via a three-part adaptive-value case (p.474-475) while normatively limiting its reach (p.473) (FE)"
bor-sec-25,instances-in-text,self-administered electric-shock paradigm,pp.471-472,"used as behavioral proof that boredom's aversiveness is strong enough to motivate escape behavior that is itself costly (FE)"
