source_id,relation,target_id,domain,centrality_tier,book_page,provenance,notes
IG-09:ludic-involvement,defines,IG-09:rule-system-engagement,game-studies,1,149,text-anchored,"Macro/micro orientation paragraph (lines 5267-5276) — ludic involvement is engagement with rule system via goal-pursuit and decision-making"
IG-09:ludic-involvement,decomposes-into,IG-09:macro-phase-motivation,game-studies,1,149,text-anchored,"Macro-phase: motivation by goals + rewards (off-line)"
IG-09:ludic-involvement,decomposes-into,IG-09:micro-phase-planning,game-studies,1,149,text-anchored,"Micro-phase: moment-to-moment decision-making + plan-formulation in hierarchy of goals"
IG-09:caillois-paidia,contrasts-with,IG-09:caillois-ludus,game-studies,2,147,text-anchored,"Caillois (1962) — paidia (free improvisation/uncontrolled fantasy) vs ludus (gratuitous structured refinement)"
IG-09:caillois-paidia,blocked-by,IG-09:coded-game-inescapability,game-studies,2,148,text-anchored,"Digital games cannot attain paidic ideal because coded; even GTA IV Liberty City flying is shaped by code"
IG-09:caillois-ludus,frames,IG-09:rule-system-as-machine-behind-representational-surface,game-studies,1,148,text-anchored,"Rules-as-gratuitous-structure (Caillois) frames Calleja's rule-system-as-machine-behind argument"
IG-09:rule-system,assigns-meaning-to,IG-09:actions-and-objects,game-studies,1,148,text-anchored,"'Rules give meaning to actions and objects in the game world' — Salen+Zimmerman 2003 / Juul 2005 cited"
IG-09:rule-system,generates,IG-09:landscape-of-interesting-choices,game-studies,1,148,text-anchored,"Rule system 'machine behind representational surface' generates interesting choices for players to engage"
IG-09:rule-system,generates,IG-09:contingency-Malaby,game-studies,2,148,text-anchored,"Malaby 2007 — rules intended to generate interesting forms of contingency for players to test and explore"
IG-09:capture-the-flag,exemplifies,IG-09:ergodic-vs-non-ergodic-semiosis,game-studies,1,148-149,text-anchored,"Call of Duty IV (Infinity Ward 2007) — flag's meaning is rule-system-assigned (locus of competitive struggle) not iconographic"
IG-09:rule-system,manifests-experientially-as,IG-09:goal-pursuit,game-studies,1,149,text-anchored,"Rules rarely focus conscious attention; rule system manifests experientially as decision-making + goal-pursuit"
IG-09:goal-source-taxonomy,decomposes-into,IG-09:system-determined-goals,game-studies,1,150,text-anchored,"Three-way taxonomy: system / self / community"
IG-09:goal-source-taxonomy,decomposes-into,IG-09:player-determined-goals,game-studies,1,150,text-anchored,"Three-way taxonomy continued"
IG-09:goal-source-taxonomy,decomposes-into,IG-09:community-negotiated-goals,game-studies,1,150,text-anchored,"Three-way taxonomy continued — multiplayer player-arranged goals"
IG-09:GTA-IV,instances-in-text,IG-09:goal-source-taxonomy,game-studies,1,150-151,text-anchored,"GTA IV (Rockstar North 2008) — mission-goals + nicer-car personal goal + hospital-loop community-negotiated race"
IG-09:driving-for-nicer-car,illustrates,IG-09:instrumental-goal-Schank-Abelson,game-studies,2,151,text-anchored,"Schank+Abelson 1977 — instrumental goal as prerequisite to another goal"
IG-09:Space-Invaders,exemplifies,IG-09:personal-goal-scope-bounded-by-rule-system,game-studies,2,151,text-anchored,"Space Invaders (Taito 1978) — narrow rule-system activity-range bounds personal-goal scope"
IG-09:Oblivion,exemplifies,IG-09:sandbox-alternative-primary-goal,game-studies,2,151-152,text-anchored,"Elder Scrolls IV: Oblivion (Bethesda Softworks 2006) — criminal-career as alternative primary goal validated by rule-system reactions"
IG-09:Fallout-3,exemplifies,IG-09:primary-goal-cascading-subgoals,game-studies,1,153-154,text-anchored,"Fallout 3 (Bethesda Game Studios 2008) — find-fugitive-father → radio-station → equipment → Megaton → bottle-caps → job"
IG-09:Fallout-3,exemplifies,IG-09:alternative-primary-goal-rule-system-supported,game-studies,2,154,text-anchored,"Fallout 3 supports murder-everyone primary goal because corpses persist"
IG-09:Far-Cry-2,exemplifies,IG-09:rule-system-prevents-alternative-primary-goal,game-studies,2,154,text-anchored,"Far Cry 2 (Ubisoft Montreal 2008) — infinite enemy respawn prevents murder-everyone primary goal"
IG-09:Ananke-Darkshore-swim,exemplifies,IG-09:self-set-goal,game-studies,1,152,text-anchored,"World of Warcraft (Blizzard 2004) — Ananke's afternoon swim from Darkshore as self-set goal not guided by mechanics"
IG-09:Ananke-Darkshore-swim,exemplifies,IG-09:cross-dimensional-weaving-ludic-spatial-kinesthetic,game-studies,2,153,text-anchored,"Ananke case explicitly thematizes weaving of ludic + spatial + kinesthetic involvement"
IG-09:agency-sense-of,glosses,IG-09:decide-and-do,game-studies,2,153,text-anchored,"Sole occurrence of 'agency' in chapter — 'sense of agency created by allowing players to decide to do something and then to actually do it'"
