source,relation,target,locus,note
bor-sec-01,bridges-to-fcm,fcm-06-third-form,"FCM §31a p.137 / GA p.207 / pdf 80 (cf. Aho p.216)","Aho's own gloss (Aho 1995 p.137) — 'elevated beyond the particular situation ... beyond the specific beings' — paraphrases fcm-06 §3's being-left-empty formula almost verbatim; the load-bearing FCM anchor for this unit's whole reading (FAITHFUL-Aho, p.216)."
bor-sec-01,bridges-to-fcm,fcm-04-first-form,"FCM Ch.2 book pp.78-105 (cf. Aho p.216, citing Heidegger 1995 p.79)","(P/anticipatory-application) Aho's 'insidious creature' citation (1995 p.79) falls within FCM's earlier Ch.2 framing material per fcm-04's own pagination, not the third-form chapter proper; and Aho's contrastive situational examples (boring book/drive/airport-wait) echo FCM's own first-form illustrations without naming the form."
bor-sec-01,treats-construct,profound/deep boredom (FCM 3rd form),p.216,"Primary organizing construct of the whole commentary; profound boredom as tiefe Langeweile, directed at the world as a whole rather than a particular thing (FE)."
bor-sec-01,treats-construct,temporality of boredom (time-drag),"p.215-216","Desynchronization/atemporal-limbo is the connective construct linking Hughes's melancholia reading to Heidegger's profound boredom (FE)."
bor-sec-01,treats-construct,being-bored-by (1st form),p.216,"Invoked only contrastively via Heidegger's stock situational examples (boring book/drive/plane-wait); not named as the 'first form' (FE)."
bor-sec-01,treats-construct,situational vs. trait/state boredom,p.216,"Contrast between boredom bound to 'particular situations or events' and an atmosphere directed at 'the world as a whole' (FE)."
bor-sec-01,treats-construct,monotony / meaninglessness,p.216,"Modern world described as 'bleached out' of qualitative significance; things reduced to equally indifferent value (FE)."
bor-sec-01,treats-construct,boredom-as-regulatory-signal (functional account),p.216-217,"Qualified/existential-disclosive sense only: profound boredom's 'nihilating space' opens onto authentic self-recovery or epochal 'new beginning,' distinct from an evolutionary-regulatory account (FE, qualified)."
bor-sec-01,shifts-debate-axis,disclosive/authenticity vs. regulatory/functional accounts of boredom's positive role,p.216-217,"(P/anticipatory-application) Aho's existential-disclosive 'nihilating space' reading resonates with but is conceptually distinct from Elpidorou's evolutionary-regulatory account (bor-sec-25/26); Aho does not cite Elpidorou — this edge flags a cluster-level debate-axis for the Strand A/C synthesis, not a claim in the source."
bor-sec-01,cites,"Hughes, Emily (interlocutor)",p.215,"Primary interlocutor: Hughes's Heideggerian reading of melancholia as ontological 'dying' (Sterben) and temporal disruption structures the entire commentary (FE)."
bor-sec-01,extends-reading-of,"Hughes, Emily — temporal-disruption account of melancholia","p.215-216","Aho extends Hughes's BT-based reading of melancholic 'dying' by supplying FCM's profound-boredom account as a parallel/deepening phenomenological register for the same desynchronization (FE)."
bor-sec-01,cites,"Heidegger, Martin — Being and Time",p.215,"Draws on BT's temporality (Zeitlichkeit), thrown projection (geworfen Entwurf), 'the They' (das Man), and anxiety (Angst) as background architecture predating FCM's boredom analysis (FE)."
bor-sec-01,instances-in-text,Grundstimmung (ground mood),p.216,"Extends boredom from an individual-Dasein-level mood to a historical epoch-level 'ground mood,' per Heidegger's post-Kehre writings — beyond FCM's own textual scope (FE)."
bor-sec-01,contests,boredom/depression as brain disorder (biomedical/chemical-imbalance account),"p.216 (citing Heidegger 1973, pp.50-51)","Aho (following Heidegger) explicitly denies depression/profound boredom reduces to serotonin/dopamine chemical imbalance; a direct counterpoint useful for Strand D's EEG-based units' framing assumptions (FE)."
bor-sec-01,bridges-to-part-iii,Part III dissertation (student boredom framing),n/a,"(P/anticipatory-application) Suggestive resonance between Aho's 'ground mood of modernity' framing and Part III's contextualization of student boredom as potentially more than an individual attention-lapse; NOT a claim Aho makes about students, VR, or education — scale mismatch (civilizational vs. classroom) must be flagged whenever reused."
