source,relation,target,locus,note
ped-sec-23,treats-construct,cybersickness & physical discomfort,"p.1-2, 14","Primary/deep construct: disentangles simulator sickness (SSQ), motion sickness (MSAQ/FMS), cybersickness proper (VRSQ), and discomfort as a separate ergonomic construct independent of VR content (FAITHFUL-Cossio, p.2)."
ped-sec-23,treats-construct,immersion (technological),"p.1, 14","Framing construct: adopts non-/semi-/fully-immersive taxonomy (Martirosov et al. 2022) and treats greater immersion as the presumed mechanism for greater sensory conflict and worse cybersickness, a claim inherited from the aggregated literature rather than independently tested (FAITHFUL-Cossio, p.14)."
ped-sec-23,treats-construct,presence (spatial/physical),p.1,"Definitional gesture only ('sensation of being there'); never operationalized as a measured outcome anywhere in results or discussion (FE, p.1)."
ped-sec-23,tests-condition,review / meta-analytic aggregate,p.2-3,"The review's own design: PRISMA-2020, PROSPERO CRD42024583656, PICO framework, 4 databases, 5423 records screened to 25 included studies (FAITHFUL-Cossio, p.2-3)."
ped-sec-23,tests-condition,IVR (HMD),p.3-5,"Aggregated intervention across all 25 included studies; 16 quasi-experimental/9 RCT; N=3-133; 21/25 health-education settings; HTC Vive/Oculus Quest most-used (FAITHFUL-Cossio, p.3-5)."
ped-sec-23,tests-condition,desktop-3D / non-immersive VR,"p.5, 14","Comparator arm in 5/25 studies (e.g. Al-Khiami et al. 2023 three-arm design; Darnall et al. 2020) (FE, p.5)."
ped-sec-23,tests-condition,conventional instruction (control),"p.5, 14","Traditional simulation/mannequin/theory-session comparator in 3/25 studies (Andersen et al. 2023; Babaita et al. 2024; Pedram et al. 2024) (FE, p.5)."
ped-sec-23,construct-under-condition,cybersickness & physical discomfort x review / meta-analytic aggregate,p.14,"Cybersickness assessed in 24/25 studies; 12/25 inconsistent/very-low scores, 5/25 high scores; discomfort minimal in 5/8 assessing studies (FE, p.14)."
ped-sec-23,construct-under-condition,cybersickness & physical discomfort x IVR (HMD),p.14,"Oculomotor disturbances most-reported (9/25 studies), nausea second (4/25), disorientation moderate/high in 3/25 (FAITHFUL-Cossio, p.14)."
ped-sec-23,construct-under-condition,cybersickness & physical discomfort x desktop-3D / non-immersive VR,p.14,"Cybersickness reported significantly higher for HMD than non-immersive VR comparator in 2/25 direct-comparison studies (Al-Khiami et al. 2023; Wu et al. 2020) (FAITHFUL-Cossio, p.14)."
ped-sec-23,construct-under-condition,cybersickness & physical discomfort x conventional instruction (control),p.14,"Andersen et al. (2023) and Elsenbast et al. (2024) each reported worse cybersickness for the HMD condition than the traditional-simulation control (FAITHFUL-Cossio, p.14)."
ped-sec-23,defines,cybersickness (TERM),p.2,"A type of visually induced motion sickness from mismatch among visual, vestibular and proprioceptive senses; not formally recognized as a health condition (FAITHFUL-Cossio, citing McCauley & Sharkey 1992; LaViola 2000, p.2)."
ped-sec-23,defines,simulator sickness (TERM),p.2,"Originated in military flight-simulator research; measured by the 16-item SSQ across disorientation/nausea/oculomotor-disturbance categories (FAITHFUL-Cossio, citing Kennedy et al. 1993, p.2)."
ped-sec-23,defines,discomfort (ergonomic) (TERM),p.2,"Range of physical/psychological symptoms tied to device weight, pressure, thermal regulation and restricted head mobility, occurring regardless of VR content (FAITHFUL-Cossio, citing Rupp 2024, p.2)."
ped-sec-23,defines,Virtual Reality Sickness Questionnaire (VRSQ) (MEASURE),p.2,"9-item, two-category (disorientation/oculomotor) instrument judged psychometrically better-suited to HMD VR than SSQ/SSQ-F, though used in only 2/25 included studies (FAITHFUL-Cossio, citing Sevinc & Berkman 2020, p.2, 15)."
ped-sec-23,instances-in-text,Simulator Sickness Questionnaire (SSQ) (MEASURE),p.2,"16 items, 3 categories, 4-point Likert; the most common validated cybersickness scale despite flight-simulator origin (FAITHFUL-Cossio, citing Rebenitsch & Owen 2016, p.2)."
ped-sec-23,instances-in-text,Motion Sickness Assessment Questionnaire (MSAQ) (MEASURE),p.2,"16 items, 4 categories, 9-point Likert; used in 2/25 studies (FAITHFUL-Cossio, citing Gianaros et al. 2001, p.2, 5)."
ped-sec-23,instances-in-text,Elsenbast et al. 2024 (mixed-reality/HMD paramedic training),"p.5, 14","Only included study reporting moderate-to-high scores across all three symptom categories (nausea, oculomotor, disorientation) simultaneously; HMD condition scored worse than the mixed-reality-mannequin control (FAITHFUL-Cossio, p.14)."
ped-sec-23,qualifies,worse cybersickness for HMD vs. other modalities (majority pattern),p.14,"Huber et al. (2018) found cybersickness LESS prevalent in fully immersive VR (3.3%) than in augmented reality (6.6%), an explicit counter-case the review reports without resolving (FAITHFUL-Cossio, p.14)."
ped-sec-23,contests-measurement-practice,Simulator Sickness Questionnaire (SSQ) (MEASURE),p.15,"SSQ was designed for flight-simulator contexts (fixed seated posture, non-stereoscopic image, no head tracking) and its psychometric properties are argued unsuited to measuring cybersickness in HMD VR applications specifically (FAITHFUL-Cossio, citing Sevinc & Berkman 2020, p.15)."
ped-sec-23,cites,"Kennedy, R.S. et al. (INTERLOCUTOR)",p.2,"Originators of the SSQ, adapted from flight-simulator research (FE, p.2)."
ped-sec-23,cites,"LaViola, J.J. (INTERLOCUTOR)",p.2,"Cited for the cybersickness discussion and terminology (FE, p.2)."
ped-sec-23,cites,"Kim, H.K. et al. (INTERLOCUTOR)",p.2,"Developers of the VRSQ (FE, p.2)."
ped-sec-23,cites,"Sevinc, V. & Berkman, M.I. (INTERLOCUTOR)","p.2, 15","Psychometric comparison of VRSQ vs. SSQ/SSQ-F for HMD VR contexts (FE, p.2, 15)."
ped-sec-23,cites,"Rupp, M.A. (INTERLOCUTOR)","p.2, 15","Source for discomfort/ergonomic construct, headset thermal-microclimate findings, and movement-related risk (FE, p.2, 15)."
ped-sec-23,cites,"Mittelstaedt, J.M. (INTERLOCUTOR)",p.15,"Systematic review of individual (age, sex) predictors of motion-sickness susceptibility (FE, p.15)."
ped-sec-23,cites,"Rebenitsch, L. & Owen, C. (INTERLOCUTOR)","p.1, 15","Review establishing SSQ as the most common validated cybersickness scale and noting the increased diffusion of VR HMDs in education (FE, p.1, 15)."
ped-sec-23,cites,"Martirosov, S. et al. (INTERLOCUTOR)",p.1,"Source of the non-/semi-/fully-immersive VR taxonomy adopted by the review (FE, p.1)."
