source,relation,target,locus,note
rdr-08-mcevoy,defines,procedural rhetoric,Critical Context (Bogost p.122),"authoring code that enforces rules to generate a representation rather than authoring the representation itself"
rdr-08-mcevoy,defines,play as free space of movement within a rigid structure,Critical Context (Bogost p.120),adopts Salen & Zimmerman definition as the paper's basis for player choice
rdr-08-mcevoy,defines,the fourth dimension (realism),Worldbuilding (Goldberg/Vulture),"Houser's term for a world that unfolds around the player and persists without them"
rdr-08-mcevoy,defines,deep play / historical imaginary,Critical Context (Denning p.197),historical games as a form of public history with embedded historiographical debate
rdr-08-mcevoy,defines,enemy reduction,Critical Context (Denning p.183),stock villains stripped of humanity to keep the player's conscience at bay
rdr-08-mcevoy,defines,Honor system as the seat of the game's rhetoric,A Return to Rhetoric,reward/punishment morality meter identified as where the rhetoric of the game lies
rdr-08-mcevoy,cites,Ian Bogost,Critical Context (pp.119-136),primary source for procedural rhetoric and games as systems for critique/commentary
rdr-08-mcevoy,cites,Andrew Denning,Critical Context & 'Playing' History (AHR 2021),deep play; Wolfenstein: New Order; public history shaping understanding in lieu of historians
rdr-08-mcevoy,cites,Louise Rosenblatt,Critical Context ('Literature and the Invisible Reader'),the invisible/passive reader and attention to felt response over formula
rdr-08-mcevoy,cites,Stanley Fish,Critical Context ('Is There a Text in This Class?'),interpretive communities; interpretation as constructing not construing
rdr-08-mcevoy,cites,Jeroen Bourgonjon,Critical Context ('Video Game Literacy'),games deserve scholarly study but cannot be read like traditional text forms
rdr-08-mcevoy,cites,Jonathan Ostenson,A Return to Rhetoric (English Journal 2013),classroom experiment; games as more immersive participation than novels
rdr-08-mcevoy,cites,Johansen Quijano,Opening framing (The Composition of Video Games),source for Amy Green's definition of long-form games
rdr-08-mcevoy,cites,Katie Salen and Eric Zimmerman,Critical Context (via Bogost p.120),definition of play adopted as analytic basis
rdr-08-mcevoy,cites,Harold Goldberg,Worldbuilding (Vulture interview),How the West Was Digitized; Sam & Dan Houser on the creative process
rdr-08-mcevoy,cites,Keza MacDonald,Worldbuilding (The Guardian),behind-the-scenes interview with Rob Nelson and Phil Hooker
rdr-08-mcevoy,cites,Dinnerstein and Reimers,Immigrant Discrimination (Ethnic Americans),turn-of-century immigration figures and nativist discrimination
