subject,stimulus,round,engaged_composite,boredom,engagement,category,highlighted
R2-01,BOR,2,-0.759196054686,8,2,concordant-bored,False
R2-02,BOR,2,-0.792943932006,9,1,concordant-bored,False
R2-03,BOR,2,-0.210695152124,3,6,reverse,False
R2-04,BOR,2,-0.885175625797,7,1,concordant-bored,False
S01,BOR,1,-0.646043194441,6,3,concordant-bored,False
S02,BOR,1,-0.827437259314,9,2,concordant-bored,False
S03,BOR,1,-0.77481465105,9,1,concordant-bored,False
S04,BOR,1,-1.07723161933,1,7,reverse,False
S05,BOR,1,-0.907671524761,9,2,concordant-bored,False
S06,BOR,1,-1.07234652626,4,5,reverse,False
S07,BOR,1,-0.325747231357,9,2,concordant-bored,False
S08,BOR,1,-1.15380662909,9,1,concordant-bored,False
R2-01,CLC,2,0.083939126574,6,4,divergent,True
R2-02,CLC,2,0.833860258721,8,4,divergent,True
R2-03,CLC,2,0.425193649935,1,8,concordant-engaged,True
R2-04,CLC,2,0.486279303817,2,3,concordant-engaged,True
S01,CLC,1,1.08092839687,3,5,concordant-engaged,True
S02,CLC,1,0.0580281489966,8,3,divergent,True
S03,CLC,1,0.273780893398,3,7,concordant-engaged,True
S04,CLC,1,0.824846493551,9,1,divergent,True
S05,CLC,1,0.0525141071645,6,5,divergent,True
S06,CLC,1,0.453417267045,6,3,divergent,True
S07,CLC,1,0.816754636642,6,7,divergent,True
S08,CLC,1,0.543340697724,7,3,divergent,True
R2-01,INT,2,0.675256928112,3,6,concordant-engaged,False
R2-02,INT,2,-0.0409163267156,7,6,concordant-bored,False
R2-03,INT,2,-0.214498497811,2,8,reverse,False
R2-04,INT,2,0.39889632198,3,7,concordant-engaged,False
S01,INT,1,-0.434885202431,2,7,reverse,False
S02,INT,1,0.769409110318,3,6,concordant-engaged,False
S03,INT,1,0.501033757651,3,7,concordant-engaged,False
S04,INT,1,0.252385125782,3,7,concordant-engaged,False
S05,INT,1,0.855157417596,5,4,divergent,False
S06,INT,1,0.618929259214,8,2,divergent,False
S07,INT,1,-0.491007405284,7,6,concordant-bored,False
S08,INT,1,0.610465931361,5,4,divergent,False
