source,relation,target,locus,note
rdr-01-bagnoli,defines,procedural rhetoric (Bogost),Part 2 sec.3 pp.40-43,arguments mounted through authorship of rules/dynamic models
rdr-01-bagnoli,defines,honor gauge as procedural argument,Part 2 sec.3 pp.41-42,dialogue coded good / violence coded bad = polarized value system
rdr-01-bagnoli,defines,layering of values,Part 2 sec.3.1 pp.43-44,same act unpunished in missions but penalized in free roam
rdr-01-bagnoli,defines,remediatization vs deconstruction of stereotypes,Part 2 sec.9 + Part 3,central interpretive axis of the scene analyses
rdr-01-bagnoli,defines,avatar-marionnette (Georges),Part 1 sec.2.3 pp.20-23,predefined avatar; Arthur customizable only in clothes/guns/hair
rdr-01-bagnoli,defines,presuppose / sous-entendu (Krieg-Planque),Part 2 sec.2 pp.37-39,two implicit-persuasion techniques for dialogue analysis
rdr-01-bagnoli,defines,ISA / RSA (Althusser),Part 2 secs.6-8 pp.49-57,ideology- vs violence-operating institutions mapped onto the game
rdr-01-bagnoli,cites,Ian Bogost - Persuasive Games,Part 1 sec.1 p.8; Part 2 sec.3,theoretical spine; expressive-medium thesis + procedural rhetoric
rdr-01-bagnoli,cites,Louis Althusser - Ideologie et appareils ideologiques d'Etat,Part 2 secs.6-8,ISA/RSA framework
rdr-01-bagnoli,cites,Fanny Barnabe - Narration et jeux video,Part 1 secs.2.1/4/5.3,promoter; ludo-narrative porosity + cut-scene theory
rdr-01-bagnoli,cites,Pierre-Yves Hurel - Analyse ideologique des jeux video,Part 1 sec.2.2 p.18,methodological template (ideology in gameplay + narrative)
rdr-01-bagnoli,cites,Remi Cayatte - Les jeux video americains de l'apres 11 septembre,Part 2 secs.6-7,virtual space as ISA; military-game discourse
rdr-01-bagnoli,cites,Olivier Mauco - GTA IV l'envers du reve americain,Part 1 sec.1.2; Part 2 sec.7.1,Rockstar deviant-hero formula; avatar-as-control-device
rdr-01-bagnoli,cites,Sebastien Genvo - Le role de l'avatar,Part 1 sec.2.3 pp.20-23,pouvoir-faire/devoir-faire; being vs appearing
rdr-01-bagnoli,cites,Aki Jarvinen - Games without Frontiers,Part 1 sec.2.2 pp.18-19,definitions of environment and components
rdr-01-bagnoli,cites,Salen & Zimmerman - Rules of Play,Part 1 sec.3 p.24,gameplay = free movement within rigid structure
rdr-01-bagnoli,cites,Bob Rehak - Playing at Being,Part 1 sec.5.2 pp.32-33,avatar as 'present one'; 'Yes that's what I do'
rdr-01-bagnoli,cites,Alice Krieg-Planque - Analyser les discours institutionnels,Part 2 sec.2 pp.37-39,presuppose/sous-entendu
rdr-01-bagnoli,cites,Alexis Blanchet - Des pixels a Hollywood,Part 1 sec.5; Part 2 sec.9,cinema-to-game borrowing; stereotype as narrative economy
rdr-01-bagnoli,cites,Miguel Sicart,Part 2 sec.5 pp.48-49,moral imperative inscribed in character not transferred to player
rdr-01-bagnoli,cites,J. Cameron Moore - Making Moral Choices in Video Games,Part 2 sec.5 pp.47-48,moral-choice RPGs (Fable / Mass Effect)
rdr-01-bagnoli,cites,Ruth Amossy - Stereotypes et cliches,Part 2 sec.9 p.59,definition of stereotype
rdr-01-bagnoli,cites,Dan Houser interviews (IGN / Le Temps),Part 2 sec.9 p.58; Part 1 sec.5.2,authorial intent: satire limits + western binge-watching
rdr-01-bagnoli,extends,Hurel ludo-narrative method to RDR2,Part 1 sec.2.2; Part 3,applies the two-level (gameplay+narrative) ideology method to a AAA western
rdr-01-bagnoli,extends,Bogost procedural rhetoric to the honor system,Part 2 sec.3 pp.41-44,reads honor as RDR2's primary procedural argument
rdr-01-bagnoli,extends,Mauco's Rockstar deviant-hero thesis to RDR2,Part 2 sec.7.1 pp.51-52,outlaw vs police carried from GTA analysis into RDR2
rdr-01-bagnoli,contests,Henry Jenkins 'just think about the choices you take to win',Part 2 sec.5 p.48,sides with Bogost against value-transfer-by-winning reading
rdr-01-bagnoli,concedes,player free will is itself biased by the honor system,Part 2 sec.3 pp.42-43,admits choice is constrained because bad actions are punished
rdr-01-bagnoli,qualifies,procedural morality is arithmetic/linear (Bogost),Part 2 sec.5 pp.48-49,honor morality fixed on a good-bad line; limits its ethical depth
rdr-01-bagnoli,qualifies,analysis limited to selected meaningful scenes,Part 3 sec.1 p.61; Conclusion,acknowledges curation given the game's length
rdr-01-bagnoli,shifts-debate-axis,ludology-vs-narratology toward porosity,Part 1 sec.2.1 pp.16-17,declares the opposition past; gameplay and narration co-articulate
rdr-01-bagnoli,shifts-debate-axis,meaning located in co-operation of all game elements,Part 3 Conclusion p.94,'games are a whole; one aspect does not go without another'
rdr-01-bagnoli,shifts-debate-axis,history as vehicle for present-day values,General Intro pp.6-7; Part 3,anachronism thesis anticipates the cluster authenticity debate
rdr-01-bagnoli,treats-game-element,honor gauge / honor system,Part 1 p.9; Part 2 pp.41-44; Part 3,spine of the procedural-rhetoric reading; absent in main missions
rdr-01-bagnoli,treats-game-element,interaction verbs (greet/antagonize/rob/aim weapon),Part 2 sec.3 p.41,free-roam dialogue verbs with honor consequences
rdr-01-bagnoli,treats-game-element,snake-bite roadside encounter,Part 1 sec.1.2.1 pp.13-14,four-option choice-with-consequence paradigm
rdr-01-bagnoli,treats-game-element,The Course of True Love (Ch.2 mission),Part 3 sec.2.1 pp.62-63,suffragist-march escort; no option to refuse
rdr-01-bagnoli,treats-game-element,Saint-Denis suffragette PNJ,Part 3 sec.2.1 pp.61-65,scripted feminist discourse; harming her costs honor
rdr-01-bagnoli,treats-game-element,Norris Forsythe eugenics supporter,Part 3 sec.2.2 pp.65-70,racist pamphlet component; Hitler likeness; killable without penalty
rdr-01-bagnoli,treats-game-element,Ku Klux Klan encounters (x2 Lemoyne),Part 3 sec.2.3 pp.71-75,self-immolating ceremony; killing grants honor; Meeting-notes letter
rdr-01-bagnoli,treats-game-element,Charles Chatenay (French painter quest),Part 3 sec.2.4.1 pp.76-80,bar + nude-gallery scenes; French stereotype remediatized
rdr-01-bagnoli,treats-game-element,Angelo Bronte (Italian mafioso mission #44),Part 3 sec.2.4.2 pp.80-82,kidnaps the gang's boy; Italian-mafia stereotype remediatized
rdr-01-bagnoli,treats-game-element,animal cause / hunting system,Part 3 sec.2.5 pp.83-85,over-hunting/horse/dog penalties as pro-animal procedural argument
rdr-01-bagnoli,treats-game-element,Albert Mason (Arcadia for Amateurs strand),Part 3 sec.2.5 pp.84-87,wolves + alligator missions; hypocritical conservationist
rdr-01-bagnoli,treats-game-element,random PNJ conversation (Sampson Black trial),Part 3 sec.2.6 pp.88-89,overheard conservative-vs-progressive debate; environment-as-discourse
rdr-01-bagnoli,treats-game-element,Red Skins vs US Army strand (Wapiti Ch.6),Part 3 sec.2.7 pp.89-94,Indians peaceful (deconstructed) vs treaty-breaking army
rdr-01-bagnoli,treats-game-element,Rains Fall (Wapiti chief),Part 3 sec.2.7 pp.91-94,peace-seeking figure dismantling the 'savage' stereotype
rdr-01-bagnoli,treats-game-element,Colonel Favours + Leviticus Cornwall,Part 3 sec.2.7 pp.91-92,withholds medicine/horses for oil tycoon; venal-authority antagonist
