subject,stimulus,retained_epoch_pct,duration_min,frontal_alpha,parietal_alpha,frontal_theta,parietal_theta,dmn_power,parietal_alpha_only,F3_alpha,F3_theta,F4_alpha,F4_theta,P3_alpha,P3_theta,P4_alpha,P4_theta,qc_flag
S01,BOR,62.9,17.8,1.53625265307,10.931234308,12.9983995063,24.0600152978,24.7629508825,10.931234308,1.31528852617,11.6279836141,1.75721677998,14.3688153985,9.92509420156,23.5123092026,11.9373744144,24.607721393,retained62.9%
S01,CLC,56.6,18,1.22057284144,8.28727043993,4.16204577288,10.622278348,12.1460837011,8.28727043993,0.9716201381,3.53049600874,1.46952554479,4.79359553702,7.26293227713,10.2941597167,9.31160860273,10.9503969793,retained56.6%
S01,INT,54.4,16.7,0.886554138858,5.35364067547,3.83771261413,8.74508111813,9.41149427329,5.35364067547,0.702069203694,3.27471494418,1.07103907402,4.40071028408,4.51900537359,8.62613877713,6.18827597735,8.86402345914,retained54.4%
S02,BOR,51.1,17.1,1.5022969556,10.4832812826,5.37298321408,17.747398994,17.5529802232,10.4832812826,1.40639275359,5.01702420726,1.59820115761,5.72894222091,10.1102172483,17.2483347121,10.8563453169,18.2464632759,retained51.1%
S02,CLC,63.2,17,2.10915307721,10.1403206354,8.248438435,30.1870804427,25.3424962952,10.1403206354,1.80478137475,7.43208835116,2.41352477966,9.06478851883,10.0593470866,29.8332280437,10.2212941843,30.5409328417,retained63.2%
S02,INT,56.7,17,2.19642788309,9.07679744614,6.78668726163,16.3738754735,17.2168940322,9.07679744614,1.88390563528,6.10278193595,2.50895013089,7.47059258731,8.80324168568,15.9520368267,9.35035320659,16.7957141204,retained56.7%
S03,BOR,74.2,17.4,1.82333586935,12.9540947267,6.07902176715,25.2666163007,23.0615343319,12.9540947267,1.95932253392,6.5373102499,1.68734920477,5.6207332844,11.0083711245,24.4979521134,14.8998183289,26.0352804879,retained74.2%
S03,CLC,69.3,16.1,2.06075978246,9.70243236697,5.38368929546,23.5365392838,20.3417103644,9.70243236697,2.09032507027,5.22959802743,2.03119449466,5.5377805635,8.82703484441,22.7141029605,10.5778298895,24.3589756072,retained69.3%
S03,INT,74.4,16,2.76919565914,13.1509979515,7.54448671334,32.0179948419,27.741337583,13.1509979515,2.92982674652,7.52177716455,2.60856457176,7.56719626214,11.0790898712,31.0164036814,15.2229060318,33.0195860025,retained74.4%
S04,BOR,62.9,17,2.26709684911,15.7073936213,14.1267682672,52.2863792396,42.1938189886,15.7073936213,2.11469766005,13.8275192748,2.41949603818,14.4260172595,13.8324552794,53.0574092498,17.5823319632,51.5153492293,retained62.9%
S04,CLC,62.1,17.1,3.03276796479,15.7459872284,10.8208834404,36.1768155418,32.8882270877,15.7459872284,2.80921591684,11.4076754508,3.25632001274,10.2340914301,13.8158917402,35.3482911591,17.6760827166,37.0053399246,retained62.1%
S04,INT,70.4,16.9,2.50346491117,11.613696349,8.64657776081,27.9622164267,25.3629777238,11.613696349,2.38101592662,8.72495766506,2.62591389571,8.56819785657,10.7314496022,26.8110903388,12.4959430957,29.1133425146,retained70.4%
S05,BOR,65.8,17.2,1.43784151231,71.9460402759,2.63443438926,17.3055071164,46.6619116469,71.9460402759,1.42019936018,2.34870569558,1.45548366445,2.92016308294,76.113728441,18.653346364,67.7783521108,15.9576678688,retained65.8%
S05,CLC,46.5,16.1,2.05466659795,13.9587745476,9.858649973,26.5125913637,26.1923412412,13.9587745476,1.97596523048,10.5201913208,2.13336796541,9.19710862521,0.310551215315,0.500722636199,27.60699788,52.5244600913,retained46.5%
S05,INT,68.3,16.9,1.76023022755,19.5703354882,6.10250875722,23.6750512734,25.5540628732,19.5703354882,1.55795630112,5.7104873575,1.96250415399,6.49453015693,20.6005895031,24.6181934122,18.5400814733,22.7319091346,retained68.3%
S06,BOR,63.5,17,1.2096397748,11.8764451491,5.99630131768,21.3337244292,20.2080553354,11.8764451491,1.49826263247,7.16456472962,0.921016917118,4.82803790574,12.1882945586,21.5877304328,11.5645957396,21.0797184255,trimmed;retained63.5%
S06,CLC,64,16.9,1.20715918475,11.8840576019,5.99871355389,21.3519027985,20.2209165695,11.8840576019,1.49544266689,7.16414077262,0.918875702618,4.83328633515,12.1976446664,21.6027605911,11.5704705374,21.1010450058,retained64.0%
