Concept,German,U-F0,U-F1,U-F2,U-F3,U-F4,U-F5,U-F6,U-F7,U-M1,U-M2,U-M3,U-M4,U-M5,U-M6
Umwelt,Umwelt,central,central,present,present,present,present,present,central,central,present,present,central,present,central
Umgebung,Umgebung,central,present,,,,,,central,present,,,,present,
Funktionskreis,Funktionskreis,central,,central,central,present,,,,central,present,,central,present,central
Merkwelt,Merkwelt,central,present,,,,,,,,,,,,
Wirkwelt,Wirkwelt,central,present,,,present,,,,,,,,,
Merkmal (perception mark),Merkmal,central,present,present,central,present,present,present,present,central,present,present,present,present,present
Wirkmal (effect mark),Wirkmal,central,,,present,present,,,,central,present,,,,
Merkzeichen (perception sign),Merkzeichen,central,present,present,,,,present,,,,present,,,present
Wirkzeichen (effect sign),Wirkzeichen,central,,,,,,,,,,,,,
Gegengefuege (counterstructure),Gegengefuege,central,,,,,,,,,present,,,,present
Merkorgan (perception organ),Merkorgan,central,,,,present,,,,,,,,,
Wirkorgan (effect organ),Wirkorgan,central,,,,present,,,,,,,,,
Subjekt,Subjekt,central,present,present,present,present,present,present,central,central,present,,central,present,central
Moment / Merkzeit (perception time),Moment/Merkzeit,central,,central,,,,,,,,,,,
Wirkraum (effect space),Wirkraum,,central,,,,present,,,,,,,,
Tastraum (tactile space),Tastraum,,central,,,,,,,,,,,,
Sehraum (visual space),Sehraum,,central,,,,,,,,,,,,
fernste Ebene (farthest plane),fernste Ebene,,central,,,,,,,,,,,,
Ort (place),Ort,,central,,,,,,,,,,,,
Lokalzeichen (local sign),Lokalzeichen,,central,,present,,,,,,,,,,
Richtungsschritt (directional step),Richtungsschritt,,central,,,,present,,,,,,,,
Reflexrepublik (reflex republic),Reflexrepublik,,,central,,,,,,,,,,,
Bedeutung (meaning),Bedeutung,,,,central,,,,,central,central,central,central,central,central
Planmaessigkeit (plan / conformity to plan),Planmaessigkeit,,,,central,present,,,present,,,,,,
Naturplan (Nature's plan),Naturplan,,,,central,central,,,,,,,,,
Ziel (goal - rejected),Ziel,,,,central,,,,,,,,,,
Merkbild (perception image),Merkbild,,,,central,central,present,central,,,,,,,
Wirkbild (effect image),Wirkbild,,,,,central,,present,,,,,,,
Wirkton (effect tone),Wirkton,,,,,central,,central,central,central,,,present,central,central
Stimmung (mood),Stimmung,,,,,central,,present,,,,,,,
Suchbild (search image),Suchbild,,,,,,,central,present,,,,,,
Suchton (search tone),Suchton,,,,,,,central,,,,,,,
Magische Umwelt (magical environment),magische Umwelt,,,,,,,central,present,,,,,,
Kumpan (companion),Kumpan,,,,,,,central,,,,,,,
Einpraegung (imprinting),Einpraegung,,,,,,,central,,,,,present,,
Bekannter Weg (familiar path),bekannter Weg,,,,,,central,,present,,,,,,
Heimat / Revier (home / territory),Heimat/Revier,,,,,,central,,,,,,,,
Raumschema (spatial schema),Raumschema,,,,,,central,,,,,,,,
Subjektive Wirklichkeit,subjektive Wirklichkeit,,,,,,,,central,,,,,,
Bedeutungstraeger (carrier of meaning),Bedeutungstraeger,,,,,,,,,central,central,central,central,central,central
Bedeutungsverbraucher (consumer of meaning),Bedeutungsverbraucher,,,,,,,,,central,present,,,,present
Bauplan (construction plan),Bauplan,,,,,,,,,central,present,present,central,,present
Wohnwelt (dwelling-world),Wohnwelt,,,,,,,,,central,present,,present,,
Wohnhuelle (dwelling-shell),Wohnhuelle,,,,,,,,,present,central,,central,,
Ton (meaning tone),Ton,,,,,,,,central,central,,,present,central,central
Bedeutungsfaktor (meaning factor),Bedeutungsfaktor,,,,,,,,,,central,,central,,
Bedeutungsverwertung (meaning utilization),Bedeutungsverwertung,,,,,,,,,,central,,,,
Bedeutungsregel (meaning rule / order),Bedeutungsregel,,,,,,,,,,central,present,central,present,
Bauplanmelodie (form development order),Bauplanmelodie,,,,,,,,,,central,,central,,present
Ich-Ton / Eigenton (self-tone),Ich-Ton/Eigenton,,,,,,,,,,central,central,present,,central
Melodische Induktion,melodische Induktion,,,,,,,,,,central,,,,
Wachstumsmelodie (growth melody),Wachstumsmelodie,,,,,,,,,,central,,,,
Organton (organ tone),Organton,,,,,,,,,,present,present,present,,
Urbild (primal image),Urbild,,,,,,,,,,,central,central,present,present
Urpartitur (primal score),Urpartitur,,,,,,,,,,,central,present,,
Bedeutungsplan (meaning plan),Bedeutungsplan,,,,,,,,,,,central,present,,
Kompositionslehre (composition theory),Kompositionslehre,,,,,,,,,,,,central,central,central
Kontrapunkt (counterpoint),Kontrapunkt,,,,,,,,,,,,central,central,central
Bedeutungsduldung (sufferance of meaning),Bedeutungsduldung,,,,,,,,,,,,,central,
Naturpartitur (score of Nature),Naturpartitur / Partitur,,,,,,,,,,,,,central,central
Naturtechnik (natural technology),Naturtechnik,,,,,,,,,,,,,,central
Bildungsmelodie (formative melody),Bildungsmelodie,,,,,,,,,,,,,,central
Bedeutungskeim (meaning-germ),Bedeutungskeim,,,,,,,,,,,,,,central
Natur (Nature as totality),Natur,,,,,,,,central,,,,,present,central
