source,relation,target,locus,note
ped-sec-01,defines,perceptual illusion of nonmediation (presence) (TERM),pdf p.14-15,"Lombard & Ditton's own unifying definition of presence, synthesized from six conceptualizations (FE)."
ped-sec-01,defines,presence as invisible medium (mechanism) (TERM),pdf p.15,"First of two mechanisms producing the illusion: the medium becomes perceptually transparent, an 'open window' (FE)."
ped-sec-01,defines,presence as transformed medium (mechanism) (TERM),pdf p.15,"Second mechanism: the medium is perceptually transformed into an independent social entity (FE)."
ped-sec-01,defines,parasocial interaction (TERM),pdf p.11-12,"Presence as 'social actor within medium': media users respond to social cues from on-screen/virtual personas as if the interaction were mutual, though it is one-sided (FAITHFUL-Lombard&Ditton, citing Horton & Wohl 1956)."
ped-sec-01,defines,medium as social actor / CASA (TERM),pdf p.13-14,"Presence as 'medium as social actor': users respond to social cues from the medium itself, per Nass and colleagues' 'computers are social actors' research program (FAITHFUL-Lombard&Ditton)."
ped-sec-01,defines,vection (TERM),pdf p.39,"The illusion of self-motion experienced when presence is evoked alongside rapid point-of-view movement (FE)."
ped-sec-01,defines,simulation sickness (TERM),pdf p.39-40,"A kind of motion sickness -- dizziness, eyestrain, disorientation, dysphoria, standing/walking unsteadiness, nausea -- resulting from presence combined with illusory movement (FAITHFUL-Lombard&Ditton, citing Biocca 1992; Kennedy et al. 1993)."
ped-sec-01,treats-construct,presence (spatial/physical),pdf p.7-10,"'You are there' / 'it is here' transportation subtypes: user transported to a mediated place, or objects/people from elsewhere transported into the user's environment (FAITHFUL-Lombard&Ditton)."
ped-sec-01,treats-construct,social presence / co-presence,"pdf p.5-6, 10","Presence as social richness (social presence theory, media richness theory) plus the 'we are together' shared-space transportation subtype (FAITHFUL-Lombard&Ditton)."
ped-sec-01,treats-construct,immersion (technological),pdf p.10-11,"Presence as immersion: perceptual submersion of the senses (HMD, headphones, gloves) plus a psychological component of involvement/absorption/engrossment (FAITHFUL-Lombard&Ditton)."
ped-sec-01,treats-construct,agency / interactivity,"pdf p.27-29, 35","Interactivity explicated via five subsidiary variables (inputs accepted, modifiable characteristics, range of change, input-response correspondence, response speed) as a primary causal variable for both mechanisms of presence (FAITHFUL-Lombard&Ditton)."
ped-sec-01,treats-construct,representational fidelity,"pdf p.6-7, 31-32","Presence as realism, split into perceptual realism (objects/people look/sound/feel real) and social realism (plausible, 'true to life' content) (FAITHFUL-Lombard&Ditton)."
ped-sec-01,treats-construct,cybersickness & physical discomfort,pdf p.39-40,"Vection and simulation sickness identified as physiological effects of presence combined with illusory movement (FAITHFUL-Lombard&Ditton)."
ped-sec-01,treats-construct,affect: enjoyment & intrinsic motivation,pdf p.40,"Enjoyment named 'perhaps the most prominent psychological impact of presence,' linked to the commercial popularity of presence-evoking technologies (FE)."
ped-sec-01,treats-construct,engagement / flow,pdf p.40-41,"'Involvement' effect (fun, exciting, competitive, addictive, intense) reported as the highest-rated factor (8.7/10) in Heeter's 1995 BattleTech VR-entertainment survey (FAITHFUL-Lombard&Ditton, reporting Heeter 1995)."
ped-sec-01,treats-construct,learning outcomes: procedural / skills,pdf p.42,"Skills training: flight-simulator and ARI virtual-navigation-training studies cited as evidence high-presence media improve trained performance over low-presence alternatives, with explicit transfer-risk caveats (FAITHFUL-Lombard&Ditton)."
ped-sec-01,treats-construct,learning outcomes: retention & transfer,pdf p.43-44,"Memory and social-judgment effects: presence-enhancing conditions linked to greater source-monitoring error, misattributing fictional mediated information to real-world judgments (FAITHFUL-Lombard&Ditton, reporting Ditton 1997)."
ped-sec-01,qualifies,presence (spatial/physical),pdf p.16,"Presence explicitly framed as a property of the person, not the medium, occurring or not at each instant of media use rather than varying continuously in degree (FE)."
ped-sec-01,extends,"presence as social richness (Short, Williams & Christie's social presence theory) (READING/CLAIM)",pdf p.5-6,"Lombard & Ditton fold social presence theory into their broader unifying definition, extending its scope beyond organizational-communication contexts to all mediated experience (FE)."
ped-sec-01,cites,"Biocca, Frank (INTERLOCUTOR)","pdf p.10-11, 26-27","Cited for perceptual/psychological immersion definitions and the interactivity input-channel taxonomy (Biocca & Levy 1995; Biocca & Delaney 1995) (FE)."
ped-sec-01,cites,"Steuer, Jonathan (INTERLOCUTOR)","pdf p.16-17, 27-28","Cited for the vividness (sensory breadth/depth) and interactivity (temporal ordering, spatial organization, mapping) frameworks underlying the causes-of-presence sections (FE)."
ped-sec-01,cites,"Heeter, Carrie (INTERLOCUTOR)","pdf p.10-11, 40-41","Cited for the range/intensity-of-stimuli definition of presence and for the BattleTech VR involvement-survey data (FE)."
ped-sec-01,cites,"Held, Richard & Durlach, Nathaniel (INTERLOCUTOR)","pdf p.16, 45","Cited for the observation that 'there is no scientific body of data and/or theory' on presence's causes, and for recommending combined subjective/objective measurement (FE)."
ped-sec-01,cites,"Short, Williams & Christie (INTERLOCUTOR)",pdf p.5-6,"Source of social presence theory, the sociability/warmth/intimacy conceptualization of presence measured via semantic-differential items (FE)."
ped-sec-01,cites,"Reeves, Byron & Nass, Clifford (INTERLOCUTOR)","pdf p.13-14, 47","Cited for the Computers Are Social Actors (CASA) research program and for the evolutionary threat-detection speculation closing the article (FE)."
ped-sec-01,cites,"Horton, Donald & Wohl, R. Richard (INTERLOCUTOR)",pdf p.11,"Cited for the 1956 origin of 'parasocial interaction,' the terminology underlying presence as social actor within medium (FE)."
ped-sec-01,cites,"Slater, Mel & Usoh, Martin (INTERLOCUTOR)",pdf p.8,"Cited for the 'you are there' virtual-presence definition -- suspension of disbelief that one is in a world other than one's real location (FE)."
ped-sec-01,cites,"Ditton, Theresa (self-citation, AUTHOR)","pdf p.4, 43-44","Co-author's own 1997 study cited as tentative empirical support for mediated/nonmediated memory confusion, and for the screen-size/source-monitoring-error study (FE)."
ped-sec-01,cites,"Muhlbach, Bocker & Prussog (INTERLOCUTOR)",pdf p.10,"Source of the 'telepresence in video communications' operational definition ('it felt as if we were all in the same room') used to illustrate 'we are together' (FE)."
ped-sec-01,instances-in-text,IVR (HMD) (MEDIA-CONDITION),"pdf p.10, 39-40","Head-mounted displays, gloves, and headphones discussed as the paradigm case of perceptual immersion and as the locus of vection/simulation-sickness effects (FAITHFUL-Lombard&Ditton)."
ped-sec-01,instances-in-text,2D video / slideshow / text (MEDIA-CONDITION),"pdf p.19-20, 43-44","Screen-size and sound-quality manipulation studies (Lombard et al. 1995; Ditton 1997) using standard television, cited to evidence image-size and source-monitoring effects (FAITHFUL-Lombard&Ditton)."
ped-sec-01,instances-in-text,'we are together' shared-space transportation (THEME),pdf p.10,"Videoconferencing and Distributed Virtual Environments (DVEs) discussed as the paradigm case of the shared-space transportation subtype (FAITHFUL-Lombard&Ditton)."
ped-sec-01,instances-in-text,willingness to suspend disbelief (TERM),pdf p.33-34,"Media-user variable: strengthening or weakening awareness of a medium's artificiality to increase or decrease presence at will (FAITHFUL-Lombard&Ditton)."
ped-sec-01,instances-in-text,obtrusiveness of medium (TERM),pdf p.29-30,"Form variable: visible edges of displays, controls, glitches, or malfunctions that remind the user the experience is mediated, discouraging presence (FAITHFUL-Lombard&Ditton, citing Held & Durlach 1992)."
ped-sec-01,shifts-debate-axis,presence as technology-determined (form/immersion-driven) <-> presence as psychologically/individually-determined (user variables),"pdf p.16-17, 33-35","(P/anticipatory-application) Lombard & Ditton's own two-track causal framework -- form/content variables vs. media-user variables (willingness to suspend disbelief, prior experience, personality) -- instantiates this cluster's debate axis #3 (plan §3 seed 3) before Witmer & Singer (ped-sec-02) or Chow (ped-sec-03) formalize either pole; not itself resolved by the source."
ped-sec-01,bridges-to-vle,vle-01-deployment-survey,pdf p.9-10 (cf. vle-01 F7),"(P/anticipatory-application) Lombard & Ditton's 'we are together' transportation subtype and social-richness conceptualization supply the theoretical vocabulary for vle-01's F7 finding (Presence & the WE: APP 4.3 vs VID 1.2 per-100; optative 'watch with others' requests) -- the VLE survey's presence gap reads as a co-presence/social-richness deficit in the video-only stratum specifically, not merely a generic immersion deficit."
ped-sec-01,bridges-to-vle,vle-01-deployment-survey,pdf p.29-30 (cf. vle-01 F1/F2),"(P/anticipatory-application) Lombard & Ditton's 'obtrusiveness of medium' cause (installer glitches, malfunctions that interrupt the illusion) offers a presence-theoretic reading of vle-01's F1 threshold-foreclosure and F2 friction-scorecard findings: install/lag/crash frictions are, in this vocabulary, obtrusive-medium events that foreclose presence before it can be reached, not merely usability defects incidental to pedagogical content."
ped-sec-01,bridges-to-part-iii,Part III dissertation (presence construct vocabulary),pdf p.14-16,"(P/anticipatory-application) The six-conceptualization taxonomy and unifying 'perceptual illusion of nonmediation' definition is the cluster's canonical citation point whenever Part III needs to specify which sense of 'presence' a claim invokes, rather than treating presence as one undifferentiated construct."
ped-sec-01,bridges-to-part-iii,Part III dissertation (media-condition causal variables),pdf p.16-37,"(P/anticipatory-application) The form/content/user three-way causal taxonomy offers Part III a structured checklist for explaining why a desktop-3D deployment should be expected to produce weaker presence effects than a hypothetical IVR deployment: sensory breadth/depth, field-of-view, obtrusiveness, and interactivity all differ systematically between the two conditions."
ped-sec-01,bridges-to-part-iii,Part III dissertation (presence ambivalence caution),pdf p.46-47,"(P/anticipatory-application) The closing section's open questions -- whether presence is 'necessarily a good thing,' whether it can be 'too intense,' its association with desensitization and source-monitoring memory errors -- supply an early caution against treating presence-maximization as an unqualified pedagogical good when Part III weighs deployment tradeoffs."
ped-sec-01,bridges-to-part-iii,Part III dissertation (Boredom Experiment dataset placeholder),n/a,"****** UNVERIFIED: anchor entry (Boredom Experiment / VR Attention Study dataset) not yet built; this bridge is a placeholder per manifest bridgeCandidates."
