source,relation,target,locus,note
bor-sec-16,bridges-to-fcm,fcm-06-third-form,p.3,"Single verbatim citation of Heidegger's profound-boredom passage ('removes all things and men and oneself... reveals being as a whole', Heidegger 1993 p.105) to establish mood-not-object-directedness; no engagement with FCM's tripartite structure or Augenblick. Citation-pointer only, not a sustained reading of FCM (P/anticipatory-application)."
bor-sec-16,treats-construct,profound/deep boredom (FCM 3rd form),p.3,"Invoked as one exemplar among several (alongside Bollnow, Schopenhauer) of boredom-as-non-intentional-mood; not developed further (FE)."
bor-sec-16,cites,"Heidegger, Martin — Being and Time",p.3,"Anxiety (Angst vs. Furcht) as inner-worldly, non-object-directed mode of being, used to reinforce the mood/emotion distinction (FAITHFUL-Feldges, p.3)."
bor-sec-16,treats-construct,situational vs. trait/state boredom,p.4,"Explicitly brackets trait-boredom to focus on state-boredom 'as a token of experienced boredom' (FAITHFUL-Feldges, p.4)."
bor-sec-16,treats-construct,boredom proneness,p.4,"Trait/predisposition sense noted only to be set aside in favour of state-boredom (FE)."
bor-sec-16,treats-construct,mind-wandering / task-unrelated thought,p.9,"Type-2 'calibrating boredom' glossed as free-roaming thought/mind-wandering coincident with the ECN-to-DMN switch (FAITHFUL-Feldges, p.9)."
bor-sec-16,treats-construct,attentional disengagement / meta-awareness,p.8,"Husserl's pre-reflective vs. reflective self-given-ness distinction mapped onto non-explicit ('lingering in indifferent boredom') vs. explicit ('I am bored') awareness (FAITHFUL-Feldges, p.8)."
bor-sec-16,treats-construct,boredom-as-regulatory-signal (functional account),p.5,"Cognitive-psychological premise that boredom has a functional purpose, informing the individual and motivating search for a more interesting environment/goal (FAITHFUL-Feldges, p.5, citing Bench & Lench 2013)."
bor-sec-16,treats-construct,flow / engagement (contrast pole),p.11,"Invokes Kuh et al. (2008) student-engagement literature as counterweight; warns that both over-stimulation ('edutrainers') and over-boredom are undesirable (FE)."
bor-sec-16,treats-construct,monotony / meaninglessness,p.3,"Lipps's (1903) definition: boredom as conflict between need for mental activity and lack of incitement, or inability to be incited (FAITHFUL-Feldges, p.3)."
bor-sec-16,treats-construct,temporality of boredom (time-drag),p.9,"Husserl's retention/protention account explains why subjective and 'cosmic' (objective) time diverge during boredom, making time feel sluggish (FAITHFUL-Feldges, p.9)."
bor-sec-16,operationalizes-measure,self-report / survey scale,p.6,"Götz & Frenzel's (2006) taxonomy built from 'phenomenological' student interviews (qualitative self-report, not philosophical phenomenology) (FAITHFUL-Feldges, p.6)."
bor-sec-16,operationalizes-measure,heart rate / HRV,p.5,"Cites London et al. (1972) on increased autonomic arousal (skin-conductivity, heart frequency) as a boredom-behaviour measure, while noting the unclear boundary between 'pure' boredom and resultant states (FAITHFUL-Feldges, p.5)."
