edge_id,source,relation,target,book_pp,provenance,notes
GM04-E001,Materialism,features-as-locus,Scene,127-131,exegetical-burke-grammar-of-motives,"Burke's enumerated correspondence (book p.128): 'For the featuring of scene, the corresponding philosophic terminology is materialism.'"
GM04-E002,Hobbes,features-as-locus,Scene,132-137,exegetical-burke-grammar-of-motives,"Hobbes as 'most thorough and picturesque exemplar of a vocabulary systematically built on extension' (book p.132); reduces sense, imagination, will, passion to motion."
GM04-E003,Spinoza,features-as-locus,Scene,137-152,exegetical-burke-grammar-of-motives,"Deus sive Natura = action equals motion (book p.137); the chapter's central interlocutor; Spinoza occupies a watershed scenic position."
GM04-E004,Darwin,features-as-locus,Scene,152-159,exegetical-burke-grammar-of-motives,"Conditions of Existence as higher law (book p.153); 'as nearly perfect an instance of materialism, or reduction to scene, as one could hope for.'"
GM04-E005,Lucretius,features-as-locus,Scene,159-160,exegetical-burke-grammar-of-motives,"Atomic void and falling atoms as scenic ground; clinamen as pre-agentification of scene."
GM04-E006,Epicureanism,features-as-locus,Scene,159-160_163,exegetical-burke-grammar-of-motives,"Atomic-and-void scene with chance-deviation; Burke's parallel-to-Darwinian-evolution reading."
GM04-E007,Stoicism,features-as-locus,Scene,160-161_165-169,exegetical-burke-grammar-of-motives,"Cosmos-as-providential-plan; pronoia/Reason/Will-of-God as scenic ground; Aurelius and Epictetus as exemplar Stoics."
GM04-E008,Scene,maps-to-pim-dimension,Spatial,N/A,anticipatory-projection-dissertation,"Primary Calleja-PIM mapping. Scene = bounded subjectively-constituted environment; same structural insight as Calleja's Spatial-involvement dimension."
GM04-E009,Scene,maps-to-pim-dimension,Kinesthetic,N/A,anticipatory-projection-dissertation,"Secondary Calleja-PIM mapping. Body-in-space subdimension as scene-agent ratio at the player's micro-temporal phase."
GM04-E010,Scene,maps-to-uexkull-construct,Umwelt,N/A,anticipatory-projection-dissertation,"STRONGEST anticipated cross-pipeline mapping. Burke containing-Scene and Uexkull Umwelt converge on motive-locus as bounded subjectively-constituted environment. Burke 1945 = 0 Uexkull hits per Phase 0."
GM04-E011,Scene,maps-to-uexkull-construct,Merkwelt+Wirkwelt,N/A,anticipatory-projection-dissertation,"Burke's scene-as-given (perceived) and scene-as-acted-upon (effector) split corresponds to Uexkull's perceptual-world/effector-world distinction."
GM04-E012,Scene,awaits-ontological-grounding-in,In-der-Welt-sein,N/A,anticipatory-projection-dissertation,"Heideggerian existential. Burke 1945 = 0 Heidegger hits per Phase 0; Macquarrie-Robinson translation of SZ = 1962. Via BCAP and Being-and-Time corpus indices."
GM04-E013,Scene,awaits-ontological-grounding-in,Befindlichkeit,N/A,anticipatory-projection-dissertation,"Heideggerian situatedness/attunement; structural parallel to scene-as-containing-principle for action."
GM04-E014,Hobbes,reduces-to-motion,Sense,133,exegetical-burke-grammar-of-motives,"Sense caused by external body or object pressing the organ; qualities are motions of matter pressing organs diversely."
GM04-E015,Hobbes,reduces-to-motion,Imagination,133-134,exegetical-burke-grammar-of-motives,"Imagination as 'decaying sense' — a weaker motion; memory same motion further faded."
GM04-E016,Hobbes,reduces-to-motion,Reason,133-134,exegetical-burke-grammar-of-motives,"Reason as 'sum total from addition of parcels'; the comptometer-model of mind."
GM04-E017,Hobbes,reduces-to-motion,Will,135,exegetical-burke-grammar-of-motives,"Will = 'last appetite in deliberating'; mechanical triumph of stronger motion over weaker."
GM04-E018,Hobbes,reduces-to-motion,Passion,134-135,exegetical-burke-grammar-of-motives,"Passions as appetite (horme) and aversion (aphorme); endeavor as the first internal beginning of voluntary motion."
GM04-E019,Hobbes,exhibits-symmetry-break-via,Act,135-137,exegetical-burke-grammar-of-motives,"Tactical re-emergence of 'action' under moral pressure; Hobbes speaks of will as 'the act, not the faculty, of willing.'"
GM04-E020,Spinoza,equates,Action_and_Motion,137,exegetical-burke-grammar-of-motives,"Deus sive Natura read as 'action equals motion'; the watershed equation."
GM04-E021,Spinoza,introduces,Conatus,144-145,exegetical-burke-grammar-of-motives,"Conatus in suo esse perseverandi as scenically-derived agent-equivalent; an internal motivational locus generated by limited application of the total-context definitions."
GM04-E022,Conatus,functions-as,Agent-equivalent,144-145,exegetical-burke-grammar-of-motives,"Burke: 'This concept of the conatus performs the function regularly covered by our term agent.'"
GM04-E023,Spinoza_natura_naturans,pairs-with,Spinoza_natura_naturata,140-141,exegetical-burke-grammar-of-motives,"Active/passive partition of the scenic whole; primus inter pares pattern with active term foremost."
GM04-E024,Spinoza_geometry,exhibits,Scenic_contextualism,143-144,exegetical-burke-grammar-of-motives,"'All determination is negation'; finite things as negations within positive total context."
