concept,intro,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,conclusion,total_chapters,edges_out,edges_in,centrality
ambient_rhetoric,1,1,1,1,1,1,1,1,1,1,10,8,12,core
attunement,1,0,1,1,1,1,0,1,1,1,8,5,9,core
disclosure,1,0,0,0,0,1,0,1,1,1,5,4,7,important
dwelling,1,0,0,1,0,1,0,1,1,1,6,7,8,core
ambience,1,1,0,1,1,0,0,0,0,1,5,5,6,important
chora,1,1,1,1,0,0,0,1,0,1,6,8,5,core
kairos,0,0,1,1,1,0,0,0,0,0,3,6,4,important
invention,1,1,1,1,0,0,0,0,0,0,4,4,5,important
emplacement,0,1,1,1,0,0,0,0,0,0,3,3,4,important
withdrawal,0,1,0,0,0,0,1,1,1,1,5,4,6,important
materiality,1,1,0,1,0,0,1,0,0,0,4,3,5,important
nonhuman_agency,1,0,0,0,0,0,1,0,0,1,3,3,4,important
rhetorical_thing,0,0,0,0,0,0,1,1,1,0,3,4,3,important
fourfold,0,0,0,0,0,0,0,1,1,1,3,6,4,important
place,1,1,0,1,0,0,0,1,0,1,5,3,5,important
ecology,1,0,0,1,0,0,0,1,1,0,4,3,4,important
distributed_cognition,0,0,1,1,0,0,0,0,0,0,2,2,3,peripheral
emergence,0,0,1,1,0,0,0,0,0,0,2,2,3,peripheral
subjectivity_critique,1,0,1,1,0,0,1,0,0,0,4,3,3,important
stimmung_mood,0,0,0,0,1,1,0,1,0,0,3,3,4,important
periechon,1,1,0,0,0,0,1,0,0,1,4,2,3,important
networks,0,0,0,1,0,0,0,0,0,0,2,3,2,peripheral
symbolic_action,0,0,0,0,0,1,1,0,0,0,2,3,3,peripheral
assemblage,0,0,0,0,0,0,1,0,1,0,2,3,2,peripheral
material_persuasion,0,0,0,0,0,0,1,0,1,0,2,2,3,peripheral
sufficiency,0,0,0,0,0,0,0,0,1,1,2,3,2,peripheral
sustainability,0,0,0,0,0,0,0,0,1,1,2,2,3,peripheral
ethos_as_dwelling,0,0,0,0,0,0,0,1,1,0,2,2,2,peripheral
soundmarks,0,0,0,0,1,0,0,0,0,0,2,2,2,peripheral
musical_worlding,0,0,0,0,1,0,0,0,0,0,2,2,2,peripheral
performativity,0,0,0,0,0,0,0,0,0,1,2,2,2,peripheral
terroir,1,0,0,0,0,0,0,0,0,1,2,2,1,peripheral
affect,1,0,0,0,1,1,0,0,0,0,3,3,4,important
preparatory_rhetoric,0,0,0,0,0,0,0,0,1,1,2,2,2,peripheral
