anchor_stimulus,channel,subject,round,stimulus,value,poolable
INT,eye openness,S01,1,BOR,0.904,True
INT,eye openness,S01,1,CLC,0.954,True
INT,eye openness,S01,1,INT,0.926,True
INT,eye openness,S02,1,BOR,0.805,True
INT,eye openness,S02,1,CLC,0.796,True
INT,eye openness,S02,1,INT,0.937,True
INT,eye openness,S03,1,BOR,0.823,True
INT,eye openness,S03,1,CLC,0.937,True
INT,eye openness,S03,1,INT,0.867,True
INT,eye openness,S04,1,BOR,0.916,True
INT,eye openness,S04,1,CLC,0.951,True
INT,eye openness,S04,1,INT,0.948,True
INT,eye openness,S05,1,BOR,0.212,True
INT,eye openness,S05,1,CLC,0.865,True
INT,eye openness,S05,1,INT,0.852,True
INT,eye openness,S06,1,BOR,0.83,True
INT,eye openness,S06,1,CLC,0.914,True
INT,eye openness,S06,1,INT,0.89,True
INT,eye openness,S07,1,BOR,0.562,True
INT,eye openness,S07,1,CLC,0.931,True
INT,eye openness,S07,1,INT,0.791,True
INT,eye openness,S08,1,BOR,0.421,True
INT,eye openness,S08,1,CLC,0.882,True
INT,eye openness,S08,1,INT,0.889,True
INT,eye openness,R2-01,2,BOR,0.771792246124,True
INT,eye openness,R2-01,2,CLC,0.907995241907,True
INT,eye openness,R2-01,2,INT,0.862150533031,True
INT,eye openness,R2-02,2,BOR,0.712359542105,True
INT,eye openness,R2-02,2,CLC,0.908713257349,True
INT,eye openness,R2-02,2,INT,0.916171521325,True
INT,eye openness,R2-03,2,BOR,0.845229125743,True
INT,eye openness,R2-03,2,CLC,0.889747449725,True
INT,eye openness,R2-03,2,INT,0.904281075001,True
INT,eye openness,R2-04,2,BOR,0.868846494918,True
INT,eye openness,R2-04,2,CLC,0.901331333072,True
INT,eye openness,R2-04,2,INT,0.874604602354,True
INT,pupil dilation,S01,1,BOR,2.96459598529,True
INT,pupil dilation,S01,1,CLC,3.21186217079,True
INT,pupil dilation,S01,1,INT,2.88737145557,True
INT,pupil dilation,S02,1,BOR,3.4959007483,True
INT,pupil dilation,S02,1,CLC,3.62450116223,True
INT,pupil dilation,S02,1,INT,3.59970275916,True
INT,pupil dilation,S03,1,BOR,3.06636286403,True
INT,pupil dilation,S03,1,CLC,3.0981248372,True
INT,pupil dilation,S03,1,INT,3.56273225743,True
INT,pupil dilation,S04,1,BOR,2.91097288492,True
INT,pupil dilation,S04,1,CLC,3.34825748441,True
INT,pupil dilation,S04,1,INT,3.13173740749,True
INT,pupil dilation,S05,1,BOR,3.21932954417,True
INT,pupil dilation,S05,1,CLC,3.22895257973,True
INT,pupil dilation,S05,1,INT,3.32115745159,True
INT,pupil dilation,S06,1,BOR,3.24475014203,True
INT,pupil dilation,S06,1,CLC,3.42582329341,True
INT,pupil dilation,S06,1,INT,3.57030055319,True
INT,pupil dilation,S07,1,BOR,3.57928615005,True
INT,pupil dilation,S07,1,CLC,3.76035407177,True
INT,pupil dilation,S07,1,INT,2.65056949185,True
INT,pupil dilation,S08,1,BOR,3.60642993124,True
INT,pupil dilation,S08,1,CLC,3.96997314774,True
INT,pupil dilation,S08,1,INT,3.9934400817,True
INT,pupil dilation,R2-01,2,BOR,2.81828830717,True
INT,pupil dilation,R2-01,2,CLC,2.77381764708,True
INT,pupil dilation,R2-01,2,INT,3.07500326427,True
INT,pupil dilation,R2-02,2,BOR,3.41066599642,True
INT,pupil dilation,R2-02,2,CLC,3.99876456794,True
INT,pupil dilation,R2-02,2,INT,3.30190168557,True
INT,pupil dilation,R2-03,2,BOR,3.87969830931,True
INT,pupil dilation,R2-03,2,CLC,3.82873240456,True
INT,pupil dilation,R2-03,2,INT,4.13041139322,True
INT,pupil dilation,R2-04,2,BOR,3.78077315469,True
INT,pupil dilation,R2-04,2,CLC,3.8494977729,True
INT,pupil dilation,R2-04,2,INT,3.97498126541,True
INT,cognitive load,S01,1,BOR,0.571258327824,True
INT,cognitive load,S01,1,CLC,0.599619768242,True
INT,cognitive load,S01,1,INT,0.506990623727,True
INT,cognitive load,S02,1,BOR,0.421736980959,True
INT,cognitive load,S02,1,CLC,0.499066908689,True
INT,cognitive load,S02,1,INT,0.471481480363,True
INT,cognitive load,S03,1,BOR,0.520318721513,True
INT,cognitive load,S03,1,CLC,0.565019569288,True
INT,cognitive load,S03,1,INT,0.485450672203,True
INT,cognitive load,S04,1,BOR,0.595359283461,True
INT,cognitive load,S04,1,CLC,0.637413720756,True
INT,cognitive load,S04,1,INT,0.547491934692,True
INT,cognitive load,S05,1,BOR,0.664864258541,True
INT,cognitive load,S05,1,CLC,0.54134924614,True
INT,cognitive load,S05,1,INT,0.565651082821,True
INT,cognitive load,S06,1,BOR,0.595438342235,True
INT,cognitive load,S06,1,CLC,0.541018064035,True
INT,cognitive load,S06,1,INT,0.601210553445,True
INT,cognitive load,S07,1,BOR,0.405013551034,True
INT,cognitive load,S07,1,CLC,0.520281032086,True
INT,cognitive load,S07,1,INT,0.558986412841,True
INT,cognitive load,S08,1,BOR,0.337761007802,True
