source_id,relation,target_id,domain,centrality_tier,book_pages,provenance,source_units,notes,resolution_status
scholastic-realism,features-as-locus,C01,philosophy-of-history-of-philosophy,1,227-228,exegetical-direct,GM-06,Realism features Act as featured locus of motive in pentad-mapped diagnosis.,heuristic-pending-3A
C30,presupposes,scholastic-realism,dramatism,1,247-249,exegetical-direct,GM-06,Act-genus-generation tie-up is realism's grammatical reason for Act-featuring.,heuristic-pending-3A
act-agent-ratio,ratio-of,C01,dramatism,1,227-228,exegetical-direct,GM-06,Aquinas: every thing acts according as it is in act; agent constituted by acts.,heuristic-pending-3A
act-purpose-ratio,ratio-of,C01,dramatism,1,230-231,exegetical-direct,GM-06,Plot-as-Act tied to end-of-life as activity; entelechy as end-within-itself.,heuristic-pending-3A
act-scene-ratio,ratio-of,C01,dramatism,1,232-235,exegetical-direct,GM-06,Pathetic-fallacy reverses materialism's scene-act direction.,heuristic-pending-3A
scene-agent-ratio,ratio-of,C12,dramatism,2,233,exegetical-direct,GM-06,Miss Miles's pathetic-fallacy is technically scene-agent (lyric) ratio.,heuristic-pending-3A
act-agency-ratio,ratio-of,C07,dramatism,2,228-229,exegetical-direct,GM-06,Aquinas's Ibn-Sina auxiliary-efficient-cause = agent/agency overlap.,heuristic-pending-3A
C41,extends,C03,dramatism,1,262,exegetical-direct,GM-06,Every ratio in potential-to-actual form; 10 ratios expand to 20 reversible.,heuristic-pending-3A
C01,constituted-by,C02,philosophy,1,227,exegetical-direct,GM-06,Act is actualization in Aristotelian energeia/actu sense.,heuristic-pending-3A
C01,constituted-by,C04,philosophy,1,"231,249",exegetical-direct,GM-06,Aristotelian entelechy: each kind strives to be perfectly its kind.,heuristic-pending-3A
C02,in-tension-with,C03,philosophy,1,242-243,exegetical-direct,GM-06,Metaphysics IX.8 reciprocity: every potency is potency of the opposite.,heuristic-pending-3A
C05,instances,C01,philosophy,1,228-229,exegetical-direct,GM-06,Aristotle's formal cause maps to Burke's Act in pentad-as-four-causes.,heuristic-pending-3A
C06,operationalizes,C01,dramatism,1,228-229,exegetical-direct,GM-06,Pentad-as-four-causes mapping: formal cause = Act; material=Scene; etc.,heuristic-pending-3A
