source,target,relation,edge_domain,units,note
Umwelt,Merkwelt,depends_on,biosemiotic,U-F0,"Umwelt composed of Merkwelt + Wirkwelt (p.42)"
Umwelt,Wirkwelt,depends_on,biosemiotic,U-F0,"Umwelt composed of Merkwelt + Wirkwelt (p.42)"
Umwelt,Umgebung,contrasts_with,ontological,"U-F0;U-F7","Umwelt is subjective; Umgebung is objective surroundings (p.43); subjective realities vs. objective surroundings (pp.129-130)"
Funktionskreis,Merkmal,depends_on,biosemiotic,"U-F0;U-F3","Functional cycle requires/activated by perception marks (pp.49,88)"
Funktionskreis,Wirkmal,depends_on,biosemiotic,"U-F0;U-F3","Functional cycle requires effect marks; effect mark extinguishes perception mark (pp.49,88)"
Funktionskreis,Gegengefüge,depends_on,biosemiotic,U-F0,"Counterstructure links perception-mark and effect-mark carriers in object (p.49)"
Wirkmal,Merkmal,operationalizes,biosemiotic,"U-F0;U-M1","Effect mark extinguishes/cancels perception mark (pp.49,149)"
Merkzeichen,Merkmal,explains,biosemiotic,U-F0,"Internal perception signs become external perception marks (pp.47-50)"
Subjekt,Umwelt,presupposes,ontological,"U-F0;U-M2","Without a subject no Umwelt; Kantian constitution (p.48); meaningful form always product of a subject (p.155)"
Subjekt,Maschinentheorie,contrasts_with,methodological,U-F0,"Subject-biology vs. machine-theory: central polemic (pp.41-46)"
Moment,Subjekt,depends_on,temporal,U-F0,"Time is subject-relative; each species has its own moment (p.48)"
Merkorgan,Merkzeichen,operationalizes,biosemiotic,U-F0,"Perception organ houses cells generating perception signs (p.47)"
Umwelt,Wirkraum,depends_on,perceptual,U-F1,"Environment includes effect space as one of three constitutive spaces (p.54)"
Umwelt,Tastraum,depends_on,perceptual,U-F1,"Environment includes tactile space (p.60)"
Umwelt,Sehraum,depends_on,perceptual,U-F1,"Environment includes visual space (p.61)"
Wirkraum,Richtungsschritt,depends_on,perceptual,"U-F1;U-F5","Effect space built from directional steps as elementary units (pp.54,102)"
Tastraum,Ort,depends_on,perceptual,U-F1,"Tactile space built from places as its fixed units (p.60)"
Ort,Lokalzeichen,is_meaning_of,biosemiotic,U-F1,"Each place produced by a local sign transferred outward (p.60)"
Sehraum,fernste Ebene,depends_on,perceptual,U-F1,"Visual space bounded and closed off by the farthest plane (p.63)"
Sehraum,Sehelement,depends_on,perceptual,U-F1,"Visual space mosaic fineness determined by number of visual elements (p.61)"
Wirkraum,Koordinatensystem,depends_on,perceptual,U-F1,"Coordinate system from semicircular canals gives solid frame to effect space (pp.55-56)"
Sehraum,Tastraum,contrasts_with,perceptual,U-F1,"Objects shrink in visual but not in tactile space; tactile predominates (p.62)"
fernste Ebene,Subjekt,depends_on,perceptual,U-F1,"Position of farthest plane is subject-relative and developmentally variable (pp.63-67)"
Momentzeichen,Merkzeit,operationalizes,temporal,U-F2,"Moment signs operationalize perception time: moment length determines temporal grain (p.70)"
Merkzeit,Umwelt,presupposes,perceptual,U-F2,"Each Umwelt presupposes a species-specific perception time (pp.70-72)"
Reflexrepublik,Reflexperson,depends_on,ontological,U-F2,"Reflex republic constituted by coordinated autonomy of multiple reflex persons (pp.76-77)"
Merkbild,Merkmal,refines,biosemiotic,"U-F3;U-F5","Perception images require schemata; higher-order than perception marks (pp.84-85,112)"
Schema (open/closed),Merkbild,operationalizes,perceptual,U-F3,"Open/closed schemata in perception cells produce genuine perception images (p.84)"
Bedeutung,Umwelt,presupposes,biosemiotic,"U-F3;U-M1","Relations of meaning are the only certain guides in Umwelt research (p.84); meaning governs every environment"
Planmäßigkeit,Ziel,contrasts_with,teleological,U-F3,"Plan replaces goal as explanatory framework for animal behavior (pp.86-87)"
Planmäßigkeit,Funktionskreis,explains,teleological,"U-F3;U-F7","Nature's plan governs structural arrangement of functional cycles (pp.86-88,128)"
Bedeutung,Schema (open/closed),explains,biosemiotic,U-F3,"Biological meaning (bloom vs. bud) explains why bees have open/closed schemata (p.84)"
Naturplan,Funktionskreis,explains,teleological,"U-F3;U-F4","Nature's plan replaces instinct as ordering factor for functional cycles (pp.86,96)"
Naturplan,Instinkt,contrasts_with,methodological,U-F4,"Instinct is a stopgap; Nature's plan is the real ordering factor (p.96)"
Wirkbild,Wahrnehmungsbild,refines,perceptual,U-F4,"Effect image completes and alters perception image, conferring meaning (p.97)"
