source,relation,target,locus,note
ped-sec-18,treats-construct,presence (spatial/physical),"p.22-24","PQ subscale scores (Involved/Control 5.2±0.7; Natural 4.7±1.03; Interface Quality 5.0±1.1) match or exceed Witmer & Singer's (1998) own immersive-VR norms despite non-immersive hardware (FAITHFUL-Dubovi)."
ped-sec-18,treats-construct,agency / interactivity,"p.20, 24, 26","Involved/Control PQ subscale operationalizes sense of control; the 45-minute acclimation phase is the mechanism for building it before graded scenarios (FAITHFUL-Dubovi)."
ped-sec-18,treats-construct,cognitive load (extraneous vs germane),"p.25","Multisensory cueing argued to reduce extraneous load per dual-channel theory and Mayer's (2014) signaling/cueing principle (FE)."
ped-sec-18,treats-construct,learning outcomes: procedural / skills,"p.19, 23-24","Largest MAP subscale gain (Administration Sequence); video coding shows a declarative/procedural dissociation on first attempt (FAITHFUL-Dubovi)."
ped-sec-18,treats-construct,learning outcomes: retention & transfer,"p.23","Learning gains held from two-month post-test to five-month delayed post-test, F(1.62,113.4)=251.8, p<.001; post-vs-delayed non-significant, p=.14 (FAITHFUL-Dubovi)."
ped-sec-18,treats-construct,representational fidelity,"p.26","Named directly, alongside interactive control, as the source of presence, displacing immersion/hardware as the operative variable (FAITHFUL-Dubovi)."
ped-sec-18,treats-construct,embodiment / self-representation,"p.20","Students enter as a nurse-avatar and explore their 'avatar-body' during acclimation; descriptive only, not theorized (P/anticipatory-application)."
ped-sec-18,tests-condition,desktop-3D / non-immersive VR,"p.19-24","PILL-VR: OpenSim hospital-ward simulation, n=82 completers, 3 hours, two graded scenarios; significantly higher learning gains than the comparison group (FAITHFUL-Dubovi)."
ped-sec-18,tests-condition,conventional instruction (control),"p.19, 23","Lecture-based curriculum comparison group, n=47 completers, drawn from the prior academic year; no significant overall-score improvement pre-to-post (FAITHFUL-Dubovi)."
ped-sec-18,tests-condition,screen-based virtual patient / sim,"p.20","PILL-VR's nurse-avatar interacting with an animated patient in a scripted clinical scenario structurally resembles this condition though the authors never use the label (P/anticipatory-application)."
ped-sec-18,bridges-to-vle,vle-01-deployment-survey,"n/a","(anticipatory-application) Bears on F7's APP-vs-VID presence gap (4.3 vs 1.2 per-100): Dubovi et al. supply an independent mechanism (fidelity/control, not immersion tier) for why a desktop-3D deployment is not structurally disadvantaged on presence relative to head-mounted VR."
ped-sec-18,bridges-to-part-iii,Part III dissertation (desktop-3D presence-without-immersion grounding),"n/a","(anticipatory-application) Empirical warrant that Part III's desktop-3D/APP pole can generate strong presence despite lacking head-mounted immersion, independent of the VLE's own instrumentation."
ped-sec-18,bridges-to-part-iii,Part III dissertation (declarative/procedural dissociation caution),"p.23-25","(anticipatory-application) The gap between complete worksheet knowledge and erroneous first-attempt in-VR performance offers a cautionary vocabulary for interpreting any single-pass task-completion channel as settled competence or its absence."
ped-sec-18,bridges-to-part-iii,"Part III dissertation (presence-learning correlation, cautious citation)","p.26","(anticipatory-application) The correlation (r=.211-.231) is real but small; the paper's own design-principle claim should not be inflated into a strong causal presence-to-learning warrant, paralleling bor-sec-13's caution against over-reading affective/attunement signals."
ped-sec-18,defines,PILL-VR (Pharmacology Inter-Leaved Learning Virtual Reality) (TERM),"p.17-20","Study-built OpenSim desktop VR environment for medication-administration training (FE)."
ped-sec-18,defines,error recovery (TERM),"p.25","Identifying, interrupting, and correcting a medical error; the paper's own frame for the value of in-VR first-attempt errors, citing Henneman, Blank, Gawlinski, & Henneman (2006) (FAITHFUL-Dubovi)."
ped-sec-18,instances-in-text,MAP knowledge questionnaire (MEASURE),"p.21-22","Study-built 13-item, 3-subscale instrument, alpha=0.78 (FE)."
ped-sec-18,instances-in-text,Presence Questionnaire subscales (MEASURE),"p.21-22","Witmer & Singer (1998) instrument, Hebrew-validated by Kizony (2006); Involved/Control, Natural, Interface Quality subscales, alpha=0.88 this study (FE)."
ped-sec-18,instances-in-text,scenario A vs scenario B in-VR error-reduction (THEME),"p.24","Median errors 3.0 to 0 (Wilcoxon Z=2.5, p<.05); time-on-task 4.0 to 0.75 min (Z=2.3, p<.05) (FAITHFUL-Dubovi)."
ped-sec-18,cites,"Witmer, Bob & Michael Singer (INTERLOCUTOR)","p.18, 21-22, 24, 26","Source of the Presence Questionnaire and its four presence factors; source of the unconfirmed presence-increases-learning hypothesis this paper extends (FE)."
ped-sec-18,cites,"Fitts, Paul & Michael Posner (INTERLOCUTOR)","p.25","Source of the three-stage skill-acquisition model (cognitive/associative/autonomous) applied to interpret PILL-VR's learning process (FAITHFUL-Dubovi)."
ped-sec-18,cites,"Anderson, John R. (INTERLOCUTOR)","p.25","Elaborates the three-stage skill-acquisition model (1983, 2009) (FAITHFUL-Dubovi)."
ped-sec-18,cites,"Mayer, Richard E. (INTERLOCUTOR)","p.25","Cognitive theory of multimedia learning; signaling/cueing principle explaining PILL-VR's multisensory cueing effect (FAITHFUL-Dubovi)."
ped-sec-18,cites,"Clark, James & Allan Paivio (INTERLOCUTOR)","p.25","Dual coding theory, supporting the cognitive-load account (FAITHFUL-Dubovi)."
ped-sec-18,cites,"Lee, Eric, Kevin Wong & Chun Che Fung (INTERLOCUTOR)","p.26","Companion desktop-VR SEM finding cited to support the presence-without-immersion claim (FAITHFUL-Dubovi)."
ped-sec-18,cites,"Cook, David A., Patricia Erwin & Marc Triola (INTERLOCUTOR)","p.18","2010 meta-analysis on computerized virtual patients; ****** UNVERIFIED: not confirmed whether this is the same David A. Cook author series as ped-sec-15's 2011 TES meta-analysis — treated as a distinct citation."
ped-sec-18,cites-cluster-author,"Merchant, Zahira et al. (AUTHOR) cf. ped-sec-16","p.18","Dubovi et al. cite Merchant, Goetz, Cifuentes, Keeney-Kennicutt & Davis (2014), a K-12/higher-education VR-instruction meta-analysis by the same lead author as this cluster's ped-sec-16 (2012 chemistry desktop-3D study), but a different specific paper — intra-cluster citation-network signal, not a same-paper match."
ped-sec-18,qualifies,presence (spatial/physical),"p.26","Presence is not immersion-determined alone; it is induced by fidelity of representation and degree of interaction/control (FE)."
ped-sec-18,extends-reading-of,"Witmer & Singer's unconfirmed presence-increases-learning hypothesis (READING/CLAIM)","p.26","Dubovi et al. offer a positive, though small, correlation as additional support for a hypothesis Witmer & Singer (1998) themselves admitted lacked direct evidence (FAITHFUL-Dubovi, quoting p.239)."
ped-sec-18,shifts-debate-axis,desktop-3D is a sufficient cost-effective proxy for IVR <-> IVR carries unique affordances,"p.26","The paper's fidelity/control account of presence supports the desktop-3D-sufficiency pole, though it contains no direct IVR comparison condition and cannot itself adjudicate the debate (P/anticipatory-application)."
ped-sec-18,contests-reading-of,"non-immersive VR contributes negligible learning gains in health-care education (Cook, Erwin & Triola 2010) (READING/CLAIM)","p.18, 23","Dubovi et al.'s own strong positive result runs counter to Cook, Erwin & Triola's negligible-difference finding, aligning instead with Consorti et al. (2012) (FE)."
