source,relation,target,locus,note
Wendt,glosses,Dasein,(p.16 / pdf 18),"Da (here/there) + Sein (being) = situated embodied being-in-the-world; the embodied state itself, not an abstract form"
Heidegger,contests,Husserl,(p.15 / pdf 17),"Heidegger turns from Husserl's theoretical phenomenology and the subject-object split toward the everyday"
Heidegger,contests,Descartes,(p.22 / pdf 24),"'one of his most important contributions' is the attack on Cartesian dualism; knowledge comes from interaction not a divorced mind"
Wendt,defines,being-in-the-world ('in' as involvement),(p.16 / pdf 18),"'in' is not Aristotelian containment but engaged absorbed involvement; human and world are one entity"
being-in-the-world ('in' as involvement),applies-to-design,context-as-involvement,(p.17 / pdf 19),"design user context as involvement in a situation rather than physical location (airport example)"
Dasein,discloses,world,(p.17 / pdf 19),"the world reveals itself only when Dasein manipulates it; through interaction we come to know ourselves and surroundings"
Dasein,designs-for,future goals,(p.18 / pdf 20),"Dasein is always ahead of itself; users act to accomplish 'something less tangible' -> design for future goals"
thrownness / un-throwing,mediates,coping,(p.18 / pdf 20),"Dasein is thrown into a non-ideal world and copes by altering it from non-preferable to preferable; incorporation necessitates design"
coping,co-evolves-with,design,(p.19 / pdf 21),"the altering from non-preferable to preferable is what links design to Dasein; coping as an everyday design process"
Beckett (Malone Dies),glosses,Dasein,(p.21 / pdf 23),"Malone as Dasein-being-involved-in-objects; 'our objects define us… they shape our understanding of the world'"
Heidegger,contests,Cartesian dualism (the cogito),(p.21 / pdf 23),"the cogito places mind over body; phenomenology's stress on things rejects this dualism"
Heidegger,extends,embodied cognition,(p.22 / pdf 24),"self and world as one entity lays the theoretical groundwork for embodied cognition and its offshoots"
Wendt,applies-to-design,Cartesian dualism (the cogito),(p.23 / pdf 25),"theory/practice and thinking/doing splits in design are direct results of Cartesian thinking; misrepresent how design works"
Heidegger,defines,praxis,(p.25 / pdf 27),"Heidegger prioritizes practice but leaves the door open for praxis = theoretically-informed practice"
praxis,extends,Aristotle (praxis sense),(p.25 / pdf 27),"Wendt reads praxis in 'the Aristotelian sense' — process over product, action over making"
praxis,applies-to-design,praxis over premature finality,(p.26 / pdf 28),"prototypes/sketching as externalized thought; decrease the compulsive need for immediate finality"
Dreyfus,glosses,knowing-that vs knowing-how,(p.24 / pdf 26),"the hammer: understanding most primordially means knowing how to hammer, not knowing that it has properties"
Heidegger,defines,ready-to-hand (Zuhandenheit),(p.27 / pdf 29),"object as a tool/extension of the body that the user acts through; it withdraws as a transparent means"
Heidegger,defines,present-at-hand (Vorhandenheit),(p.26 / pdf 28),"object observed as wholly separate, factual, analyzable from afar; decontextualized detached speculation"
ready-to-hand (Zuhandenheit),qualifies,present-at-hand (Vorhandenheit),(p.27 / pdf 29),"not a binary but a continuum; interruption (misspelling, mouse-pad edge) shifts ready-to-hand to present-at-hand"
Dourish,glosses,ready-to-hand (Zuhandenheit),(p.28 / pdf 30),"the mouse example: ready-to-hand mouse withdraws; reaching the pad edge makes it present-at-hand"
ready-to-hand (Zuhandenheit),applies-to-design,design for the ready-to-hand/present-at-hand continuum,(p.29 / pdf 31),"designing for the constant movement between absorbed coping and conscious deliberation is the job of experience designers"
Dreyfus,defines,coping,(p.32 / pdf 34),"practical coping = smooth, unobtrusive, representation-free responsiveness; alternative to rule-based cognition"
ready-to-hand (Zuhandenheit),mediates,coping,(p.33 / pdf 35),"ready-to-hand = smooth coping; present-at-hand = a rupture of smooth coping producing conscious awareness"
breakdown,discloses,context of use,(p.33 / pdf 35),"things have properties only in context of use; a failed hammer is 'too heavy' only as used by me"
Bonsiepe,defines,breakdown,(p.34 / pdf 36),"breakdown is a necessary accompaniment to design that 'reveals the tissue of the relations needed' for tasks"
breakdown,applies-to-design,design for coping breakdown and meaning,(p.34 / pdf 36),"anticipate forms of breakdown and open up possibilities for action in case they happen"
Krippendorff,qualifies,breakdown,(p.35 / pdf 37),"what breaks down is the meaningfulness of the interface, not the artifact; products abandoned when meaningless"
Krippendorff,contests,usability (functionalist),(p.36 / pdf 38),"functionalist usability inherits a Taylorist/cost-benefit efficiency logic that served industry more than users"
Heidegger,glosses,technē,(p.37 / pdf 39),"technē = making something appear through craft/the hands; the practical side of poiēsis; that which reveals"
Heidegger,glosses,poiēsis,(p.37 / pdf 39),"poiēsis = bringing-forth; meaning emerges from a pre-existing state; art as a hermeneutics of the world"
Herausfordern (challenging-forth),contests,poiēsis,(p.40 / pdf 42),"modern technology's challenging-forth defies poiēsis, demanding nature supply extractable storable energy; 'de-worlds' materials"
Rutsky,glosses,essence of technology,(p.39 / pdf 41),"the essence of technology is a dynamic ongoing process/movement, not a static category"
standing reserve (Bestand),discloses,enframing (Gestell),(p.43 / pdf 45),"the pervasiveness of the standing reserve leads Heidegger to classify our tech relationship as enframing"
standing reserve (Bestand),applies-to-design,responsible design against passive enframing,(p.42 / pdf 44),"the 'invisible'/'intuitive' interface fantasy instantiates the standing reserve and positions the user passively"
Heidegger,defines,object vs thing (the jug),(p.46 / pdf 48),"a self-supporting thing 'differs from an object'; thingness lies not in material but 'in the void that it holds'"
thing-ness / bringing-close (gathering),co-evolves-with,Dasein,(p.46 / pdf 48),"active ready-to-hand engagement carries us beyond object-ness into thing-ness; the device's thing-ness is given by its users"
thing-ness / bringing-close (gathering),applies-to-design,design for thing-ness and imaginable contexts,(p.48 / pdf 50),"designers and philosophers should examine the thing in the process of making; mind the gap between encoded meaning and users' behaviors"
Wendt,concedes,Heidegger (The Turn),(p.38 / pdf 40),"admits the late 'essence of technology' looks pseudo-Platonic and seems to contradict the early object-focused tool analysis"
