source,relation,target,locus,note
rdr-11,defines,historical account,Account,"Evidentiary basis a game depicts; games as 'containers of account' on developer research."
rdr-11,defines,historical accuracy,Accuracy,"Contextualisation and alignment with the established historical record (timeline + material)."
rdr-11,defines,historical authenticity,Authenticity,"More personal/subjective; rooted in communal and collective memory; about feeling of period."
rdr-11,defines,material accuracy,Accuracy,"Factual use of organisations, events, buildings, outfits, objects; grounds believability."
rdr-11,cites,Tracy Fullerton (Game Design Workshop 2014),Account,"Borrows formal-elements vs. dramatic-elements split to separate game 'layers.'"
rdr-11,extends,formal vs. dramatic elements,Account,"Applies Fullerton's distinction to analysis of specific in-game instances (e.g., Civilisation V)."
rdr-11,cites,Clara Fernandez-Vara (Introduction to Game Analysis 2015),Account,"Game analysis as content-analysis method treating games as text."
rdr-11,extends,games as text,Account,"Reframes games as 'containers of historical text' for classroom inquiry."
rdr-11,contests,authenticity-as-accuracy,Authenticity,"Authenticity 'does not have to be accurate but it has to feel authentic.'"
rdr-11,qualifies,historical accuracy,Accuracy,"Accuracy applies to material detail but NOT to characters' thought/action (deliberately exempt)."
rdr-11,concedes,RDR2 is not historically accurate,Authenticity,"Concedes inaccuracy while crediting authentic feel ('firmly rooted in the early 20th century')."
rdr-11,concedes,Rockstar avoids social commentary,Events > Spanish-American War,"'Rockstar stop short of making any social commentary'; anti-imperialism absent."
rdr-11,concedes,concepts are nebulous,Next Steps,"Account/accuracy/authenticity 'at best nebulous,' admitted in conclusion."
rdr-11,qualifies,games teach history,Next Steps,"'not a game that teaches history' but an inquiry gateway to American Expansionism."
rdr-11,treats-game-element,Saint Denis (city),Environment > Saint Denis,"Fictionalised New Orleans; Plessy v. Ferguson segregation echo; Nosferatu vampire encounter."
rdr-11,treats-game-element,Declining Wild West open world,Environment > Declining Wild West,"1899 Gilded-Age-to-progressivism setting; Bierstadt + N. C. Wyeth painting sources."
rdr-11,treats-game-element,Encampments / Horseshoe Overlook,Environment > Encampments,"Camp system; reflects Wyoming Hole-in-the-Wall Pass; projects insecurity/paranoia."
rdr-11,treats-game-element,Van der Linde Gang,Characters > Van der Linde Gang,"Composited from Dalton/Doolin-Dalton/Wild Bunch; Dutch from Cassidy mythos as framework."
rdr-11,treats-game-element,Pinkerton Detective Agency,Characters > Pinkerton Detective Agency,"Real agency; cease-and-desist; Take-Two fair-use counter-filing; settled out of court."
rdr-11,treats-game-element,Murfree Brood,Characters > Murfree Brood,"Cannibal-clan; read as more film-based (Deliverance/Hills Have Eyes) than historical."
rdr-11,treats-game-element,Union Pacific Overland Flyer Robbery,Events > train robbery,"Mission 5 set-piece; modelled on 1899 Wilcox Robbery; leaping-aboard diverges from real flag-down."
rdr-11,treats-game-element,In-game newspapers (Spanish-American War),Events > Spanish-American War,"Authenticity-effect; jingoistic yellow-journalism tone; simplified/modernised; Guarma=fictitious Cuba."
rdr-11,treats-game-element,Braithwaite-Gray feud,Events > Civic Unrest,"Chapter 3 arc composited from Liddell-Jones and Hatfield-McCoy feuds; player as external force."
rdr-11,treats-game-element,Weapons/outfits/objects (period detail),Accuracy,"Subsumed under material accuracy as believability-anchoring layer, not standalone analysis."
rdr-11,instances-in-text,Leviticus Cornwall (robber-baron caricature),Events > train robbery,"Amalgam of Vanderbilt/J.P. Morgan/Carnegie; authentic feeling without social critique."
rdr-11,instances-in-text,President Alfred MacAlister ~ McKinley,Events > Spanish-American War,"Fictional president mirrors McKinley; Waxman mirrors Theodore Roosevelt Jr."
rdr-11,contests-reading-of,RDR2 as cinematic Western,Characters > Murfree Brood,"Authenticity traced to film tropes more than historical record (genre is film-mediated)."
rdr-11,shifts-debate-axis,authenticity-as-feel,Authenticity,"Reframes accuracy as servant of authenticity: material accuracy serves immersion/feel."
rdr-11,extends-reading-of,collective memory and 'who owns history',Characters > Pinkerton Detective Agency,"IP/trademark dispute reframed as contested ownership of the past."
rdr-11,cites,Paul Krause (Battle for Homestead),Characters > Pinkerton Detective Agency,"Sources Pinkerton anti-labour/strikebreaking history."
rdr-11,cites,Richard Gambino (Vendetta),Environment > Saint Denis,"Sources the New Orleans lynchings behind the Henry Jenkins murder design."
rdr-11,cites,Altina L. Waller (Feud: Hatfields McCoys),Events > Civic Unrest,"Sources the Hatfield-McCoy feud behind the Braithwaite-Gray arc."
