edge_id,source,target,relation,book_pages,evidence_summary
E-APX-01,C-APX-01,P-APX-03,instantiates,187-200,The MMO-genre-profile concept is operationalized by the binary-comparative scaffold position.
E-APX-02,C-APX-02,P-APX-01,supports,187-188,MMORPG-vs-MMOFPS distinction grounds WoW's prototypicality claim.
E-APX-03,C-APX-02,P-APX-02,supports,187-188,MMORPG-vs-MMOFPS distinction grounds Planetside's prototypicality claim.
E-APX-04,C-APX-02,Dungeons and Dragons,derives_from,187,Pen-and-paper RPG lineage (D&D 1974) anchors the MMORPG side of the distinction.
E-APX-05,C-APX-02,World War II Online,exemplifies,187,WWII Online cited as long-range-combat MMOFPS comparator.
E-APX-06,C-APX-02,Face of Mankind,exemplifies,187,Face of Mankind cited as MMOFPS comparator.
E-APX-07,C-APX-02,Huxley,exemplifies,187,Huxley cited as forthcoming MMOFPS comparator.
E-APX-08,Fine 1983,C-APX-02,evidences,187,Fine cited for pen-and-paper RPG performance theory.
E-APX-09,Mackay 2001,C-APX-02,evidences,187,Mackay cited for pen-and-paper RPG performance theory.
E-APX-10,C-APX-03,World of Warcraft,instantiates,188-190,Azeroth's 96 regions / 2 continents instantiate virtual-topography concept.
E-APX-11,C-APX-03,Planetside,instantiates,189-190,Auraxis's 10 continents / 5 caverns instantiate virtual-topography concept.
E-APX-12,C-APX-03,Dark and Light,contrasts_with,189,Geologically realistic MMOG comparator highlights WoW's non-mimetic choice.
E-APX-13,C-APX-03,Half Life 2,exemplifies,189,Half Life 2 cited as designed-channeling comparator (single-player FPS).
E-APX-14,C-APX-04,World of Warcraft,instantiates,190-191,Warcraft trilogy backstory shows lore-as-narrative-scaffold (shallow).
E-APX-15,C-APX-04,Planetside,instantiates,191-192,Three-faction premise shows lore-as-narrative-scaffold (factional anchor).
E-APX-16,Haelvon,C-APX-04,evidences,191,Haelvon quotation evidences functional disinterest in WoW lore.
E-APX-17,Nombril,C-APX-04,evidences,192,Nombril quotation evidences ignoring quest storylines.
E-APX-18,C-APX-05,World of Warcraft,instantiates,192-193,Thousands of region-locked clone servers instantiate clone-worlds.
E-APX-19,C-APX-05,Planetside,instantiates,192-193,Three non-regional clone servers instantiate clone-worlds.
E-APX-20,Ananke,C-APX-05,evidences,192,Ananke quotation evidences social continuity across servers/games (SWG/WoW/DDO).
E-APX-21,C-APX-06,World of Warcraft,instantiates,193,'You are what you wear' instantiates customization-as-identity-axis via gear.
E-APX-22,C-APX-06,Planetside,instantiates,193-194,Certification combinations instantiate customization-as-identity-axis via skill economy.
E-APX-23,Inauro,C-APX-06,evidences,193,Inauro quotation evidences participant frustration with WoW avatar customization.
E-APX-24,C-APX-07,World of Warcraft,instantiates,194,300ms-tolerant queued actions instantiate latency-tolerant mechanics.
E-APX-25,C-APX-07,Planetside,instantiates,194,Real-time aim instantiates latency-sensitive mechanics.
E-APX-26,C-APX-08,World of Warcraft,instantiates,195,Unanimous 3rd-person play preference instantiates perspective-affordance.
E-APX-27,C-APX-08,Planetside,instantiates,195,Mandatory 1st-person play instantiates perspective-affordance.
E-APX-28,C-APX-09,World of Warcraft,instantiates,195-196,Level-gated absolute power instantiates level-progression concept.
E-APX-29,C-APX-09,Planetside,instantiates,197-198,Certification-specialization instantiates the contrasting progression pole.
E-APX-30,C-APX-10,World of Warcraft,instantiates,196-197,PvP-server griefing and corpse-camping instantiate the asymmetric-power abuse pattern.
E-APX-31,C-APX-11,Planetside,instantiates,198,Shared XP for medic/engineer/hacker/driver instantiates support-role economy.
E-APX-32,Baal,C-APX-11,evidences,198,Baal quotation evidences tactical role specialization (platoon-lead + engineer + infiltrator combo).
E-APX-33,C-APX-12,World of Warcraft,instantiates,199-200,Tightly scripted quests/battlegrounds instantiate scripted-gameplay pole.
E-APX-34,C-APX-12,Planetside,instantiates,199-200,Player-generated continental campaigns instantiate emergent-gameplay pole.
E-APX-35,Kumacho,C-APX-13,evidences,199,Kumacho quotation (D2A/GoTR outfits) evidences world-mutability and agency.
E-APX-36,C-APX-13,World of Warcraft,instantiates,199-200,Respawning mobs/NPCs/resources instantiate near-zero world-mutability.
E-APX-37,C-APX-13,Planetside,instantiates,200,Persistent continental conquest instantiates substantive world-mutability.
E-APX-38,T-APX-01,C-APX-03,emerges_from,188-190,Cohabitation-vs-competition tension emerges from differential social-space density.
E-APX-39,T-APX-02,C-APX-09,emerges_from,195-198,Persistent-progression-vs-cyclical-warfare tension emerges from where the world locates persistence.
E-APX-40,T-APX-03,C-APX-12,emerges_from,199-200,Scripted-vs-emergent tension is the analytic crystallization of the emergent-vs-scripted axis.
E-APX-41,C-APX-14,P-APX-03,instantiates,187-200,Binary-comparative scaffold concept is the position's mechanism.
E-APX-42,C-APX-15,P-APX-01,supports,200,Prototypicality justifies WoW's selection as case.
E-APX-43,C-APX-15,P-APX-02,supports,200,Prototypicality justifies Planetside's selection as case.
E-APX-44,C-APX-16,P-APX-03,operationalizes,191-199,Participant-quotation-embedding pattern is the evidentiary substrate of the scaffold method.
