source,relation,target,locus,provenance,note
philosophy,contests,science (absolute science),p.2 / GA pp.2-3 / pdf 13,faithful,"to judge philosophy by the idea of science is the most fateful debasement of its innermost essence"
philosophy,contests,proclamation of a worldview,p.2 / GA pp.2-3 / pdf 13,faithful,"interpretation of philosophy as worldview-proclamation is just as mistaken as characterizing it as science"
philosophy,contests,detour through art and religion,p.3 / GA pp.3-5 / pdf 13,faithful,"we can differentiate art and religion from philosophy only after looking philosophy in the face; that route is closed"
philosophy,contests,historical orientation,p.3 / GA pp.3-5 / pdf 13,faithful,"the historical route contains the greatest illusion; we meet opinions about metaphysics, not metaphysics itself"
detours (Umwege),glosses-german,false trails (Holzwege),p.8 / GA pp.10-12 / pdf 16,faithful,"these detours are really false trails, paths which suddenly stop and lead up a blind alley"
philosophy,defines,philosophizing,p.4 / GA pp.5-6 / pdf 14,faithful,"philosophy is only whenever we are philosophizing; philosophy is philosophizing"
philosophizing,discloses,obscurity of the essence of man,p.4 / GA pp.5-6 / pdf 14,faithful,"metaphysics withdraws and draws itself back into the obscurity of the essence of man"
Novalis,cites,homesickness (Heimweh),p.5 / GA pp.6-8 / pdf 14,faithful,"Novalis fragment: philosophy is really homesickness, an urge to be at home everywhere"
Heidegger,glosses-german,homesickness (Heimweh),p.5 / GA pp.6-8 / pdf 14,faithful,"homesickness is possible only if we who philosophize are not at home everywhere"
Aristotle,contests,Novalis,p.5 / GA pp.6-8 / pdf 14,faithful,"Metaphysica A 2 983a3f. cited as objection: poets tell many a lie"
Heidegger,concedes,Aristotle,p.5 / GA pp.6-8 / pdf 14,faithful,"without provoking an argument over authority, art is the sister of philosophy; science only a servant"
homesickness (Heimweh),defines,world (within the whole),p.5 / GA pp.6-8 / pdf 14,faithful,"to be at home everywhere is to be at once and at all times within the whole, named the world"
homesickness (Heimweh),grounds-question,What is world?,p.5 / GA pp.6-8 / pdf 14,faithful,"the urge to be at home everywhere drives us to being as a whole, which we ask after as world"
restlessness of being,temporalizes-as,finitude,p.6 / GA pp.8-9 / pdf 15,faithful,"we are this underway, this neither/nor; the unrest of this not is named finitude"
finitude,deepens-into,individuation,p.6 / GA pp.8-9 / pdf 15,faithful,"in becoming finite there ultimately occurs an individuation of man with respect to his Dasein"
individuation,discloses,nearness to world (solitude),p.6 / GA pp.8-9 / pdf 15,faithful,"individuation is the solitariness in which each human being first enters a nearness to world"
homesickness (Heimweh),grounds-question,world/finitude/individuation triad,p.7 / GA pp.9-10 / pdf 15,faithful,"the urge awakens us to such questions and to their unity: world, finitude, individuation"
fundamental attunement (Grundstimmung),grounds-question,being gripped (Ergriffenheit),p.7 / GA pp.9-10 / pdf 15,faithful,"all being gripped comes from and remains in an attunement; philosophy happens in a fundamental attunement"
being gripped (Ergriffenheit),grounds-question,conceptual comprehension (Begreifen),p.7 / GA pp.9-10 / pdf 15,faithful,"conceptual philosophical comprehension is grounded in our being gripped"
Novalis,instances-in-text,fundamental attunement (Grundstimmung),p.7 / GA pp.9-10 / pdf 15,faithful,"Novalis means something like this when he calls philosophy a homesickness, naming the fundamental attunement"
What is metaphysics?,deepens-into,What is man?,p.7 / GA pp.9-10 / pdf 15,faithful,"our question what is metaphysics has transformed itself into the question what is man"
metaphysics,defines,comprehensive concept (Inbegriff),p.9 / GA pp.12-13 / pdf 16,faithful,"fundamental concepts are not universals but Inbegriffe comprehending the whole and the comprehending Dasein"
metaphysical thinking,defines,gripping existence through and through,p.9 / GA pp.12-13 / pdf 16,faithful,"comprehensive thinking in a double sense: it deals with the whole and grips existence through and through"
fundamental attunement (Grundstimmung),bridges-to-pipeline,profound boredom (later analysis),p.7 / GA pp.9-10 / pdf 15,faithful,"philosophy-happens-in-an-attunement is the frame the later profound-boredom awakening cashes out; no direct empirical bridge in this unit"
