source,relation,target,locus,provenance,note
second-form-of-boredom,defines,being-bored-with-something,(p.106 / GA pp.161-63 / pdf 65),faithful,Sichlangweilen bei etwas as the second form
fundamental-attunement,discloses,second-form-of-boredom,(p.106 / GA pp.161-63 / pdf 65),faithful,boredom analyzed as a Stimmung awakened not observed
structural-link-Fuge,grounds-question,unity-of-two-structural-moments,(p.107 / GA pp.161-63 / pdf 66),faithful,the Fuge demanded from the whole essence of boredom
need-for-more-original-grasp,deepens-into,second-form-of-boredom,(p.107 / GA pp.161-63 / pdf 66),faithful,unity reached only by grasping boredom more originally
depth-not-duration,qualifies,extent-of-boredom,(p.108 / GA pp.163-64 / pdf 66),faithful,five minutes can be more boring than four hours
evening-invitation-example,instances-in-text,second-form-of-boredom,(p.110 / GA pp.166-67 / pdf 68),faithful,dinner-party as the everyday inconspicuous case
I-was-bored-after-all,contests,nothing-was-boring,(p.110 / GA pp.166-67 / pdf 68),faithful,retrospective recognition despite a pleasant evening
passing-the-time,instances-in-text,cigar-smoking,(p.112 / GA pp.169-70 / pdf 68),faithful,socially ideal passing-the-time playing into our hands
passing-the-time,extends,whole-evening-as-comportment,(p.112 / GA pp.169-70 / pdf 68),faithful,not isolated occupation but entire comportment
passing-the-time,instances-in-text,boredom-and-passing-the-time-intertwined,(p.113 / GA pp.170-72 / pdf 68),faithful,the evening is both passing-the-time and what we are bored with
second-form-of-boredom,contests,determinate-boring-thing,(p.114 / GA pp.172-73 / pdf 69),faithful,form I determinate vs form II indeterminate I-know-not-what
I-know-not-what,defines,indeterminate-boring,(p.114 / GA pp.172-73 / pdf 69),faithful,what bores us has the character of I know not what
having-time-for-the-evening,qualifies,being-held-in-limbo-by-dragging,(p.115 / GA pp.173-75 / pdf 69),faithful,dragging-time interpretation fits only the first form
casualness-Lassigkeit,deepens-into,being-left-empty,(p.118 / GA pp.177-79 / pdf 71),faithful,obstructive casualness as a more profound leaving-empty
casualness-Lassigkeit,glosses-german,sich-uberlassen,(p.118 / GA pp.177-79 / pdf 71),faithful,translators note on the lassen cognates
self-forming-emptiness,defines,being-left-empty,(p.120 / GA pp.180-82 / pdf 72),faithful,emptiness first forms itself as leaving-behind of proper self
self-forming-emptiness,glosses-german,Sichzurucklassen,(p.120 / GA pp.180-82 / pdf 72),faithful,twofold casualness includes leaving ourselves behind
having-taken-time,deepens-into,being-held-in-limbo-to-standing-time,(p.121 / GA pp.182-83 / pdf 73),faithful,taking time gives time the possibility of a more profound holding
making-present-gegenwartigen,temporalizes-as,standing-now,(p.124 / GA pp.186-88 / pdf 74),faithful,being entirely present brings time to a stand as a stretched now
standing-now,temporalizes-as,sealing-off-of-having-been-and-unbinding-of-future,(p.125 / GA pp.188-89 / pdf 75),faithful,present cut off both sides stretches and stands into Dasein
standing-time,defines,being-held-in-limbo,(p.123 / GA pp.185-86 / pdf 72),faithful,not-being-released as the more originary holding-in-limbo
standing-now,discloses,relinquished-empty-self,(p.126 / GA pp.189-91 / pdf 75),faithful,standing now summons and sets us in place — then we are bored
making-present-gegenwartigen,grounds-question,unity-of-two-structural-moments,(p.127 / GA pp.191-92 / pdf 76),faithful,structural unity grounded in making-present that brings time to a stand
self-forming-emptiness,defines,standing-now,(p.127 / GA pp.191-92 / pdf 76),faithful,self-forming emptiness identical with indeterminate standing now
second-form-of-boredom,deepens-into,self-temporalizing-temporality,(p.127 / GA pp.191-92 / pdf 76),faithful,boredom springs from temporality of Dasein
self-temporalizing-temporality,grounds-question,essence-of-time,(p.127 / GA pp.191-92 / pdf 76),faithful,unitary essence of boredom sought in time after all
boring-arises-out-of-Dasein-itself,defines,second-form-of-boredom,(p.128 / GA pp.192-94 / pdf 76),faithful,what is boring does not come from outside but from Dasein
second-form-of-boredom,contests,first-form-of-boredom,(p.128 / GA pp.192-94 / pdf 76),faithful,form II less situation-bound; form I directed outward
having-time-vs-having-no-time,qualifies,more-profound-boredom,(p.130 / GA pp.195-97 / pdf 77),faithful,having-no-time may be the deepest lostness; ambiguous
second-form-of-boredom,deepens-into,profound-boredom,(p.131 / GA pp.197-98 / pdf 77),faithful,limits merge; the slide toward the third form is underway
seven-point-comparison,qualifies,second-form-of-boredom,(p.131 / GA pp.197-98 / pdf 77),faithful,seven distinctions of depth between forms I and II
second-form-of-boredom,bridges-to-pipeline,king-salvo-surface-depth-split,(p.128 / GA pp.192-94 / pdf 76),faithful,surface-occupied depth-hollow form predicts EEG-low gaze-engaged anomaly
standing-time,interprets-experiment-finding,reported-dragging-time-under-engagement,(p.122 / GA pp.183-85 / pdf 73),faithful,standing time explains engaged-yet-dragging self-reports
casualness-Lassigkeit,bridges-to-pipeline,flat-arousal-without-disengagement,(p.118 / GA pp.177-79 / pdf 71),faithful,casualness maps to engaged-yet-empty low-arousal participant
