source,relation,target,domain,evidence,contributor
Dow,defines,passion-arousal as proper grounds for conviction (pistis),rhetorical-theory,Introduction; ch.10.1; ch.6,Dow
passions,defines,representational states in which the subject takes things to be as represented,moral-psychology,Introduction (Synopsis); ch.10.8,Dow
passions,defines,pleasures and pains (Claim 1),moral-psychology,Rhet. 2.1 1378a19-22 (ch.9.2),Dow
passion-pleasure-and-pain,qualifies,intentional/representational - AT a target ON grounds (Claim 2),moral-psychology,Rhet. 2.1 1378a22-4 (ch.9.3),Dow
Dow,defines,affirmation by the subject herself of phantasia's content,philosophy-of-mind,ch.10.1; 10.4; 10.8,Dow
affirmation,qualifies,relational person-level treating-as-true (not a separate act; gradable),philosophy-of-mind,DA 3.3 429a4-8; ch.10.4.1,Dow
affirmation,instances-in-text,'the origin affirms what comes from each sense unless a more authoritative one contradicts',philology-of-aristotle,Insomn. 461b2-5,Dow
affirmation,contests,full doxa/belief with pistis/conviction (distinct faculty and strength),philosophy-of-mind,DA 3.3 428a18-24; EN 1.13 1102b13-33,Dow
passions,defines,exercise of phantasia (non-reasoning part),philosophy-of-mind,DA 1.1 403a3-10; EN 1.13 1102a27-1103a3,Dow
passions,extends-reading-of,sensory pleasure/pain involving phantasia,philosophy-of-mind,Rhet. 1.11 1370a27-32; Phys. 7.3 247a7-18,Dow
Dow,contests,the 'mere/uncommitted appearance' (non-epistemic) reading of the passions,moral-psychology,ch.10.3.3; 10.4; Dow (2009),Dow
Dow,contests-reading-of,Cooper's 'non-epistemic appearance' reading of Rhet. 2.2-11,philology-of-aristotle,Cooper (1996 p.247; 1999 p.417); ch.10.3.3-10.4,Dow
Dow,contests-reading-of,Sihvola's 'krisis as studied neutrality' reading,philology-of-aristotle,Sihvola (1996 p.74); ch.8.5,Dow
Dow,contests-reading-of,Striker's 'no theory of Aristotle's own' reading of Rhet. 2,philology-of-aristotle,Striker (1996 pp.287-8); ch.9.1,Dow
Dow,contests-reading-of,Frede's 'Philebus mixed pleasure-and-pain' reading,philology-of-aristotle,Frede (1996 pp.258-60); ch.9.2,Dow
phantasia-terminology in Rhet. 2.2-11,instances-in-text,how the subject takes things to be (not the faculty),rhetorical-theory,Rhet. 2.2 1378a30-2; 2.3 1380a8-12,Dow
calmness (anger abating toward the apparently innocent),instances-in-text,affirmation is required - an unendorsed thought cannot quell anger,rhetorical-theory,Rhet. 2.3 1380a8-12,Dow
believing-something-fearsome,defines,immediate cause of a passion (uncommitted phantasia is not),philosophy-of-mind,DA 3.3 427b16-24,Dow
the foot-wide sun appearance,contests-reading-of,the visual-illusion model of recalcitrant passion (DISANALOGY),philosophy-of-mind,DA 3.3 428a18-b9,Dow
