source_id,relation,target_id,domain,centrality_tier,book_page,provenance,notes
IG-05:spatial-involvement,defines,IG-05:virtual-environment-habitation,game-studies,1,73-92,text-anchored,"Master concept — cumulative internalization yielding inhabited-place sense rather than perceived-representation. Closing summary p.92."
IG-05:spatial-involvement,decomposes-into,IG-05:macro-phase-exploration,game-studies,1,73,text-anchored,"Macro phase = exploration drive (off-line + on-line). Lines 2469-2540."
IG-05:spatial-involvement,decomposes-into,IG-05:micro-phase-navigating-space,game-studies,1,77,text-anchored,"Micro phase = navigating space, mental mapping, miniature-tactical control. Lines 2641-2658."
IG-05:micro-phase-navigating-space,classifies-as,IG-05:five-spatial-structures-taxonomy,game-studies,1,78-85,text-anchored,"5-fold taxonomy based on traversable (not visible) space."
IG-05:five-spatial-structures-taxonomy,includes,IG-05:unicursal-corridor,game-studies,1,78,text-anchored,"Structure 1 — single-path, forward/backward orientation only. Aarseth 2005 anchor."
IG-05:five-spatial-structures-taxonomy,includes,IG-05:multicursal-maze,game-studies,1,80,text-anchored,"Structure 2 — branching paths + dead ends. Fernandez-Vara 2007 anchor."
IG-05:five-spatial-structures-taxonomy,includes,IG-05:rhizomatic-zone,game-studies,1,81,text-anchored,"Structure 3 — non-contiguous teleport-linked spaces. Deleuze+Guattari 1987 frame."
IG-05:five-spatial-structures-taxonomy,includes,IG-05:open-landscape,game-studies,1,82,text-anchored,"Structure 4 — maximum navigational freedom. Aarseth 2005 + Babic 2007."
IG-05:five-spatial-structures-taxonomy,includes,IG-05:arena,game-studies,1,83,text-anchored,"Structure 5 — canvas for performance. Nitsche 2008 anchor."
IG-05:unicursal-corridor,operationalized-via-game,IG-05:medal-of-honor-allied-assault,game-studies,1,78-79,text-anchored,"Beach landing opening (Figure 5.1) — single-path disguised by chaos + invisible-wall cognitive-map update."
IG-05:unicursal-corridor,operationalized-via-game,IG-05:half-life-2,game-studies,2,80,text-anchored,"Alternating action + physics-puzzle barriers."
IG-05:unicursal-corridor,operationalized-via-game,IG-05:gran-turismo,game-studies,3,80,text-anchored,"Tracks-and-rails (Nitsche) collapsed-to-unicursal in Calleja's traversable-space taxonomy."
IG-05:multicursal-maze,operationalized-via-game,IG-05:fable,game-studies,1,80-81,text-anchored,"In-perspective paradigm — hill/rock channeling + desert-ring heat-exhaustion barrier."
IG-05:multicursal-maze,operationalized-via-game,IG-05:pacman,game-studies,2,81,text-anchored,"Omniscient-perspective contrast — Google-Maps-indexical-style spatial learning."
IG-05:rhizomatic-zone,operationalized-via-game,IG-05:fable-ii,game-studies,2,81,text-anchored,"Intra-region teleport at predefined points within discovered areas."
IG-05:rhizomatic-zone,operationalized-via-game,IG-05:mass-effect,game-studies,2,81,text-anchored,"Inter-zone teleport-only — galaxy-map zone-access."
IG-05:rhizomatic-zone,operationalized-via-game,IG-05:dead-space,game-studies,2,82,text-anchored,"Diegetic-transit concealment — elevator zone-load + inventory/weapon management."
IG-05:open-landscape,operationalized-via-game,IG-05:elder-scrolls-iv-oblivion,game-studies,1,82,text-anchored,"Paradigm RPG open landscape + map↔3D-environment transition (Figure 5.4)."
