source_id,relation,target_id,domain,centrality_tier,book_page,provenance,notes
C-DIALECTIC-GENERAL,supersedes,burke-dramatistic,dialectic,1,402,burke,dialectic in general is broader than dramatistic; admits non-dramatistic idioms
C-TRANSFORMATION-OF-TERMS,master-apparatus-of,GM-09-DIALECTIC-GEN,dialectic,1,402,burke,master apparatus organizing the chapter
C-LINGUISTIC-TRANSFORMATION,divides-into,C-TRANSFORMATION-OF-TERMS,dialectic,2,402,burke,general study vs particular instances split
TV-MERGER-AND-DIVISION,fundamental-operations-of,C-DIALECTIC-GENERAL,dialectic,1,403,burke,the two basic dialectical operations
C-MERGER,sourced-from,plato-phaedrus,dialectic,1,403,burke,comprehension of scattered particulars in one idea
C-DIVISION,sourced-from,plato-phaedrus,dialectic,1,403,burke,carving an idea at the joints
C-THIRD-TERM,generated-by-tension-in,TV-MERGER-AND-DIVISION,dialectic,1,405,burke,every merger-division pair pressures toward a pontificating third
C-THIRD-TERM,instanced-by,kant-continuity,dialectic,2,404,burke,Kant's third Transcendental Dialectic principle
C-THIRD-TERM,instanced-by,bell-mathematical-third,dialectic,2,405,burke,Eric T Bell's neither-continuous-nor-discrete pigment
C-THIRD-TERM,instanced-by,coleridge-polarity,dialectic,2,412,burke,Coleridge's polarity-synthesis-indifference vocabulary
C-PARADOX-OF-SUBSTANCE,recapitulates-from,GM-02-ANTINOMIES,dialectic,1,405,burke,paradox of substance recast as dialectical staple
C-PARADOX-OF-SUBSTANCE,instances,TV-MERGER-AND-DIVISION,dialectic,1,405,burke,offspring substantially one yet apart — merger and division on same term
TV-DIALECTIC-OF-SCAPEGOAT,first-class-apparatus-of,C-TRANSFORMATION-OF-TERMS,dialectic,1,406,burke,three-step ritual: merger-division-new-merger
C-SCAPEGOAT,scapegoat-as,burke-agent,pentad,1,406,burke,scapegoat IS the agent who carries collective motives
C-SCAPEGOAT-VICAR,consubstantial-with,C-SCAPEGOAT,dialectic,1,406,burke,charismatic vicar profoundly consubstantial with persecutors
TV-DIALECTIC-OF-SCAPEGOAT,three-step,C-MERGER,dialectic,1,406,burke,step 1: original merger of iniquities
