unit_id,Presence (spatial/physical),Social presence / co-presence,Immersion (technological),Agency / interactivity,Embodiment / self-representation,Cognitive load (extraneous vs. germane),Affect: enjoyment & intrinsic motivation,Situational interest,Self-efficacy,Engagement / flow,Learning outcomes: retention & transfer,Learning outcomes: procedural / skills,Cybersickness & physical discomfort,Representational fidelity,IVR (HMD),Desktop-3D / non-immersive VR,2D video / slideshow / text,Screen-based virtual patient / sim,Conventional instruction (control),Home vs classroom setting,SEM / process model (no media contrast),Review / meta-analytic aggregate,CAMIL (Cognitive Affective Model of Immersive Learning),Dalgarno & Lee's 3D-VLE Affordances Model,Lombard & Ditton's six-conceptualization presence taxonomy,Witmer & Singer Presence Questionnaire (PQ/ITQ),Community of Inquiry (CoI) framework,Cognitive presence (CoI component),Teaching presence (CoI component),Gunawardena Social Presence Scale (SPRES),Kreijns/Kirschner/Jochems's CSCL Pitfalls,Mayer et al.'s methods-not-media critique,"Short, Williams & Christie's Social Presence Theory (1976)",Cook et al.'s Technology-Enhanced Simulation meta-analytic framework
ped-sec-01,x,x,x,x,,,x,,,x,x,x,x,x,,,,,,,,,,,x,,,,,,,,,
ped-sec-02,x,,x,x,,,,,,,,x,x,x,x,,,,,,,,,,,x,,,,,,,,
ped-sec-03,x,x,,,x,x,x,,x,,,x,,x,,x,,,,,x,,,,,,,,,,,,,
ped-sec-04,x,x,x,x,x,,x,,,x,x,x,,x,,,,,,,,,,x,,,,,,,,,,
ped-sec-05,x,x,x,x,x,,,,,x,x,x,,x,,x,,,,,x,,,,,,,,,,,,,
ped-sec-06,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,,,,,,x,,,,,,,,,,,
ped-sec-07,x,,x,,,x,x,,,,x,,,,x,x,x,,,x,,,,,,,,,,,,x,,
ped-sec-08,,,,,,x,x,x,x,x,x,,,,x,,x,,,,,,,,,,,,,,,,,
ped-sec-09,x,,x,x,,x,x,x,,x,x,,,x,x,x,,,,,,,,,,,,,,,,,,
ped-sec-10,x,,,,,x,x,x,,,x,,,,x,x,,,,,,,,,,,,,,,,,,
ped-sec-11,x,,,x,,x,x,,x,,x,,,x,,x,,,,,x,,,,,,,,,,,,,
ped-sec-12,x,,,,,,x,,x,,x,,,,,x,,,,x,,,,,,,,,,,,,,
ped-sec-13,x,,x,,,x,x,,,x,x,,,,x,,x,,,,x,,,,,,,,,,,,,
ped-sec-14,,,x,x,,x,x,,,x,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,
ped-sec-15,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,,,,,x
ped-sec-16,x,,,x,,x,,,x,,x,,,x,,,,,,,x,,,,,,,,,,,,,
ped-sec-17,,,,,,,x,x,x,,x,x,,,,x,,x,,,,,,,,,,,,,,,,
ped-sec-18,x,,,x,x,x,,,,,x,x,,x,,x,,x,x,,,,,,,,,,,,,,,
ped-sec-19,,,,,,,x,,x,,x,x,,x,,,,x,x,,,x,,,,,,,,,,,,
ped-sec-20,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,
ped-sec-21,,x,x,x,x,,,,,,,x,,x,,x,,,,,,x,,,,,,,,,,,,
ped-sec-22,x,x,x,x,x,,,,,x,x,x,,x,x,x,,,,,,x,,,,,,,,,,,,
ped-sec-23,x,,x,,,,,,,,,,x,,x,x,,,x,,,x,,,,,,,,,,,,
ped-sec-24,,x,,,,,x,,,x,x,x,,x,,x,,,,,,,,x,,,,,,,,,,
ped-sec-25,,x,,x,,,x,,x,,,,,,,,,,,,,,,,,,,,,x,,,,
ped-sec-26,,x,,,,,,,,x,x,,,,,,,,,,,,,,,,x,x,x,,,,,
ped-sec-27,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ped-sec-28,,x,,,,,x,,,x,x,,,,,,,,,,,,,,,,,,,,,,,
ped-sec-29,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ped-sec-30,,x,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,x,,,
ped-sec-31,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
ped-sec-32,,x,,,,,x,,,,x,,,,,,,,,,,x,,,,,,,,,,,,
ped-sec-33,x,,,,x,x,,,,x,x,,,,x,,,,x,,,,,,,,,,,,,,,
ped-sec-34,x,x,x,,x,,,,,x,x,x,,,x,x,,,,,,x,,,,,,,,,,,,
