rcode,term,item,words,text
W25-R001,W25,Q5,24,I think the most useful aspects of the course were the final project because you get to combine everything you have learned so far
W25-R001,W25,Q6,26,I think the innovation notebook and final report could be improved on as they are very long tasks and the innovation notebook instructions are somewhat confusing
W25-R001,W25,Q9,33,I think the VR game just needs to be worked on since it is new there are specific things that just crash or take long to load the video mechanics are confusing also
W25-R001,W25,Q10,13,Virtual learning environment where all my classmates are also in the same game
W25-R002,W25,Q5,49,"The lectures covering the overall process of identifying unmet needs and walking it through the medical device creation process. It showed how there was much more to a medical device than just making a CAD or testing some assays, and I hope that will pay off during senior design."
W25-R002,W25,Q6,31,"A bit more guidance on how to go about the innovation notebook exactly, it's left open ended and a bit unsure of what I need to put down to receive credit."
W25-R002,W25,Q9,83,"The building should have better navigation or signs, since it isn't known how many floors are accessible or which doors work. Once a room is found, it's a curved video overlay which can be weird viewing on a laptop. The effort going into finding a procedure to watch is way more than just clicking on the youtube video, so it would be better if the room had more than just the viewing feed and something to do to make that effort worth it."
W25-R002,W25,Q10,78,"Anything CAD related. It can be hard to view perspective on a flat screen, so a VR program would be able to visualize the 3D view of the object. / / Anything where there is more to do than just listen to a lecture or watch a video. In a video game, you can interact with other objects or do tasks while listening to NPCs talk. Things that implement a lecture with a virtual activity would benefit more."
W25-R003,W25,Q5,29,우리 세상에서 충족되지 않은 요구를 발견하는 것은 좋은 일이었습니다. 의료 기기를 설계하는 방법과 그 과정을 배우는 것은 현실 세계에서 새로운 아이디어를 구현할 때 무엇이 ​​필수적인지 깨닫는 데 도움이 되었습니다.
W25-R003,W25,Q6,16,영상 속에서 무슨 일이 일어나는지 이해하기 어려워서 제 노트북에서는 교수님이 제공하신 VR 프로그램을 사용할 수 없었습니다.
W25-R003,W25,Q9,25,학생들에게 효과적으로 정보를 제공하는 것이 중요합니다. 이를 위해 VR 임상 몰입 플랫폼에 대한 자세한 설명을 제공하고 그것이 정확히 무엇인지 알려주는 것이 더 나을 것이라고 생각했습니다.
W25-R003,W25,Q10,50,"I couldn't use it because my laptop couldn't open the VR program, but it's an advantage that we can access it even when apart. Even though we can't visit in person, I think it'll be a good learning experience to see it indirectly, just like the saying, ""Seeing is believing."""
W25-R004,W25,Q5,10,The lecture videos were very informative while also being concise.
W25-R004,W25,Q6,110,"The VR YouTube videos would tend to be very long. From what I understand, this class is supposed to prepare us for the BME 180 series, but the only knowledge I have about what BME 180 is supposed to be like is from fourth-year students or graduates, but I know some classmates who do not know the information that I know. Therefore, I think it would be helpful to include a unit about BME 180, with possible methods of brainstorming, examples of previous years' projects, and what to expect so that students are more prepared and may even be able to brainstorm ideas with their group before taking that class."
W25-R004,W25,Q9,23,I think students could benefit from discussing with their groups the difference between US clinics and overseas clinics to point out unmet needs.
W25-R004,W25,Q10,70,"Personally, I prefer using platforms I have never been exposed to with a group because everyone is able to share their own opinions and observations that others in the group may have missed. In other words, I would have possibly been able to learn more working on the VR platform and writing the innovation notebook with a group because I could expand my perspectives by getting observations from more people."
W25-R005,W25,Q5,39,I think the lecture videos were the most useful element of the course. I feel like they provided a good base understanding for me to asses the rest of the material leading to the final project and innovation notebook.
W25-R005,W25,Q6,56,I feel like it would have been better to have more collaborative assignments besides just the final paper. This would have held us more accountable to work together maybe a bit better and would have yieled perhaps a better solution. I also think more feedback and examples of what was being looked for would be helpful.
W25-R005,W25,Q9,16,I wasn't able to use the VR clinical immersion platform so just making it more compatible.
W25-R005,W25,Q10,38,I think a VR program would be very helpful in learning anatomy based things. You could have a VR dissection which I think would vissually help students learn better. Additioanlly similar thing could be done with experimental procedures.
W25-R006,W25,Q5,17,"The most useful aspect of this course was the VR interactive environment, followed by the video lectures"
W25-R006,W25,Q6,14,"Could improve the articles, and providing maybe notes or key points within the articles"
W25-R006,W25,Q9,23,"Some of the buttons and options in the VR space are rough, and sometimes break could use fixing for a smoother educational environment"
W25-R006,W25,Q10,39,allows for the user to see all parts of the surgical area in detail we would not have access to. Can hear the different physicians talking and thought process. Could analyze what everyone is doing at the same time.
W25-R007,W25,Q5,31,Parts of the course that I found the most useful was learning how to assess unmet needs and how to ask the right questions to learn more about the unmet need.
W25-R007,W25,Q6,29,"I think that the VR video game needs to be improved drastically, or else it is largely obsolete. I found it much easier to just watch the linked videos."
W25-R007,W25,Q9,21,The VR platform needs to be able to work. There are so many bugs that it makes it hard to use.
W25-R007,W25,Q10,36,"I think VR could be used to improve learning if it had much better immersion with the headset. The platform we were given was a video game, and did not provide a great deal of immersion."
W25-R008,W25,Q5,18,I really like the video player you chose for the weekly modules and the organization of the Canvas.
W25-R008,W25,Q6,53,"There's a section of the final report that tells you to write about your BioENGINE plans. However, I couldn't find many resources about that process. As for the VR platform, I have a Mac so it was far more inconvenient to set up the VR as opposed to just watching the YouTube videos."
W25-R008,W25,Q9,4,Subtitles would be helpful.
W25-R008,W25,Q10,18,"I can't think of any cases, but I consider those listed as more effective in-person than in VR."
W25-R009,W25,Q5,25,The most useful aspect I found is the VR videos. I feel like I became a real engineer and making real-time observation to make innovations.
W25-R009,W25,Q6,1,N/A
W25-R009,W25,Q9,16,more recording angles added to create a full view of what is happening during the procedure.
W25-R009,W25,Q10,24,VR programs can be used to make a virtual work station where engineers can share their recorded observations as well as share their researches
W25-R010,W25,Q5,21,I think that having lecture videos and quizzes each week for the content was useful in my understanding of the class.
W25-R010,W25,Q6,51,"I think that to improve the course, there can be more structure in the material and what to do for each week, especially the innovation notebook. It was a bit difficult to do the innovation notebook because there wasn't ax example of strict guideline for what the professor was looking for."
W25-R010,W25,Q9,36,Adding elements that would make it easier for students to navigate through would make the UR platform more educationally beneficial. I think that also improving the lag between the movements in the platform would be helpful.
W25-R010,W25,Q10,74,"I think VR programs to simulate real-life scenarios especially in the hospital can be effectively used to improve learning. I feel that it is a great tool to practice patient diagnosis and to run tests to see if the student is ready to practice. Another thing is that VR programs can be beneficial to improve learning through the convenience or flexibility of going to ""class"" and hearing lectures even if they're not physically there."
W25-R011,W25,Q5,25,The VR video was pretty useful as I was able to see things that I would normally never get to experience such as in-person surgery.
W25-R011,W25,Q6,29,"The quizzes could be a little bit clearer on the answer. Sometime answering the quiz, the answer is kind of vague or hard to find from the lecture video."
W25-R011,W25,Q9,28,A way to get around to each video faster rather than walk to it. Maybe a menu for students to select which video they would like to watch.
W25-R011,W25,Q10,54,"VR programs can definitely be used for online group meetings. Sometimes being on call removes that human element of interaction with one another. So being able to see an avatar or some sort of character, kind of improves on the human aspect as we are interacting with something rather than staring at a screen."
W25-R012,W25,Q5,20,I found the available databases and resources to be helpful in analyzing our group's unmet need for the final report.
W25-R012,W25,Q6,1,N/A
W25-R012,W25,Q9,33,Explanation as to what is occurring in the VR clinical videos. It was a bit confusing to view the procedures and the interviews were more helpful to our group to find unmet needs.
W25-R012,W25,Q10,1,N/A
W25-R013,W25,Q5,41,The interviews from various sectors of the healthcare and medical industry provided the strongest insight. It showed how certain treatments and procedures are done today as well as what needs to be addressed to make the process smoother or more streamlined.
W25-R013,W25,Q6,42,A minor nitpick was some of the VR videos and interviews were difficult to make observations for due to their position. Don't know how to improve it since they're already recorded but for future cases solid indicators such as captions could help.
W25-R013,W25,Q9,35,Optimization and positioning of some of the videos can be improved. I would personally keep the areas but add a small book or area where all the videos can be played instead of walking over.
W25-R013,W25,Q10,67,VR programs can provide some better hands on interactions for individuals with little to no experience with the objects or materials being potentially hazardous. An example is VR practice for surgery where individuals in a controlled environment can practice tools or techniques. Another is Pilot's training where it can create a virtual flight simulator without creating risks in the real world and provide pilots time to train.
W25-R014,W25,Q5,38,The interviews were really helpful as it gave me a much better understanding of unmet needs as well as there design constraints and criteria for solutions. The weekly lecture vids and quizzes were also very concise and informative.
W25-R014,W25,Q6,36,"The virtual platform was cool but it was buggy and slow and I gained more from the youtube videos because I could watch in much higher quality which made up for the slight reduction in ""immersion"""
W25-R014,W25,Q9,41,It just felt unnecessary honestly. The youtube videos got the job done just as well with less effort. The VR is a cool idea but the quality is so low I don't gain from the atmosphere and I dont feel immersed.
W25-R014,W25,Q10,30,Meeting up with other people in the virtual space is an interesting idea but because I didn't actually experience it all I can say is it seems cool in theory.
W25-R015,W25,Q5,6,The surgery videos and lecture videos.
W25-R015,W25,Q6,26,The VR was very challenging to use and it wasn't worth the hassle of running it because it would crash and took a lot of space.
W25-R015,W25,Q9,5,More accessible across the board.
W25-R015,W25,Q10,27,I think any virtual spaces can be replicated with zoom so I can't think of any of the top of my head that need specifically VR reality.
W25-R016,W25,Q5,7,Lecture videos were good quality and informative
W25-R016,W25,Q6,12,Would like two attempts at the homework assignments. Made some spelling mistakes...
W25-R016,W25,Q9,17,The space could use better organization (it was hard to navigate at first to the correct spots).
W25-R017,W25,Q5,17,I like how organized the canvas page is and how accessible [instructor] is when students have questions.
W25-R017,W25,Q6,11,I cannot think of any ways the course could be improved.
W25-R017,W25,Q9,34,"I am not sure what could be added to make them better. In my experience, the VR videos were cool at first, but the youtube format ended up being simpler to use and watch."
W25-R017,W25,Q10,25,I think it would be a great idea to do virtual meet ups with groups. Having users interact in VR would be exciting and engaging.
W25-R018,W25,Q5,51,"I liked the lecture videos the most because they were very concise and showed us exactly where we needed to go to find resources for the class. I also think that of the clinical videos, the interviews were the most helpful because they gave clear insights into what medical providers need."
W25-R018,W25,Q6,55,"I think a bit more guidance on the medical procedure videos and the innovation notebook would be helpful. Because I wasn't able to use the VR program, I wasn't sure if I was missing instructions or not. Are there specific videos or topics we should be focusing on, or is it kind of a free-for-all?"
W25-R018,W25,Q10,44,"I think VR would be useful in a class like BME120 where we look at a lot of anatomical diagrams. They can sometimes be complicated, so it would be nice to use the 3D aspect of VR to investigate these in a different way."
W25-R019,W25,Q5,35,"The weekly lectures were useful, I got to learn about a whole new set of resources to use when it comes to identifying and addressing unmet needs and considering problems in healthcare on all levels"
W25-R019,W25,Q6,26,The instructions for the innovation notebook and the design briefs could be more clear and perhaps include some examples of what the instructor is looking for
W25-R019,W25,Q9,36,"I had a lot of trouble with downloading the program so I used the youtube videos instead, the VR platform could be improved by perhaps using a newer version of the program and easier user interface"
W25-R019,W25,Q10,50,"VR programs could be effective in learning that involves hands on material/activities, or concepts that are easier to explain/grasp visually. This is particularly useful in many engineering disciples in my opinion as engineering classes can get very interactive and hands on, in terms of concepts but also working with others."
W25-R020,W25,Q5,10,I found the multiple choice helped me keep myself accountable
W25-R020,W25,Q6,13,I think it would be nice to have a clearer presentation slide pdf.
W25-R020,W25,Q9,25,I feel like we should have some sort of cheap VR set because the VR experience feels off when seeing it in the laptop screen.
W25-R020,W25,Q10,6,virtual space to interact with groupmates.
W25-R021,W25,Q5,6,"Video lectures and quiz, innovative notebook"
W25-R021,W25,Q6,5,Interaction with the virtual platform
