unit_id,source_id,relation,target_id,domain,centrality_tier,book_page,provenance,notes
GM-06,scholastic-realism,features-as-locus,C01,philosophy-of-history-of-philosophy,1,227-228,exegetical-direct,Realism features Act as featured locus of motive in pentad-mapped diagnosis.
GM-06,C30,presupposes,scholastic-realism,dramatism,1,247-249,exegetical-direct,Act-genus-generation tie-up is realism's grammatical reason for Act-featuring.
GM-06,act-agent-ratio,ratio-of,C01,dramatism,1,227-228,exegetical-direct,Aquinas: every thing acts according as it is in act; agent constituted by acts.
GM-06,act-purpose-ratio,ratio-of,C01,dramatism,1,230-231,exegetical-direct,Plot-as-Act tied to end-of-life as activity; entelechy as end-within-itself.
GM-06,act-scene-ratio,ratio-of,C01,dramatism,1,232-235,exegetical-direct,Pathetic-fallacy reverses materialism's scene-act direction.
GM-06,scene-agent-ratio,ratio-of,C12,dramatism,2,233,exegetical-direct,Miss Miles's pathetic-fallacy is technically scene-agent (lyric) ratio.
GM-06,act-agency-ratio,ratio-of,C07,dramatism,2,228-229,exegetical-direct,Aquinas's Ibn-Sina auxiliary-efficient-cause = agent/agency overlap.
GM-06,C41,extends,C03,dramatism,1,262,exegetical-direct,Every ratio in potential-to-actual form; 10 ratios expand to 20 reversible.
GM-06,C01,constituted-by,C02,philosophy,1,227,exegetical-direct,Act is actualization in Aristotelian energeia/actu sense.
GM-06,C01,constituted-by,C04,philosophy,1,"231,249",exegetical-direct,Aristotelian entelechy: each kind strives to be perfectly its kind.
GM-06,C02,in-tension-with,C03,philosophy,1,242-243,exegetical-direct,Metaphysics IX.8 reciprocity: every potency is potency of the opposite.
GM-06,C05,instances,C01,philosophy,1,228-229,exegetical-direct,Aristotle's formal cause maps to Burke's Act in pentad-as-four-causes.
GM-06,C06,operationalizes,C01,dramatism,1,228-229,exegetical-direct,Pentad-as-four-causes mapping: formal cause = Act; material=Scene; etc.
GM-06,C08,operationalizes,C06,dramatism,1,228,exegetical-direct,Scholastic hexameter as negative-way confirmation of pentad-as-four-causes.
GM-06,C11,operationalizes,C01,dramatism,1,230-231,exegetical-direct,Six tragic elements aligned with five pentad terms; plot=Act foremost.
GM-06,C09,instances,C01,philosophy,1,"230-231,253",exegetical-direct,Aristotle's pure-act unmoved-mover as paradigm case of complete actualization.
GM-06,C09,in-tension-with,C26,dramatism,2,"245,253",exegetical-direct,Pure act dramatist-conceived but lyrically structured (perfect rest).
GM-06,C12,extends,C13,rhetorical-theory,1,232-235,exegetical-direct,Burke extends Ruskin/Miles pathetic-fallacy to broader motion-action ambiguity.
GM-06,C13,contrasts-with,C01,dramatism,1,234,exegetical-direct,Action-motion watershed divides dramatism from operationalism.
GM-06,C14,decomposes-into,C13,rhetorical-theory,2,235,exegetical-direct,Policy-making function as proverbial-realism vs managerial-idealism axis.
GM-06,C15,extends,C03,rhetorical-theory,1,"235,242-243",exegetical-direct,Richards' incipient act = special application of Aristotelian potentiality.
GM-06,C16,extends,C15,rhetorical-theory,1,236,exegetical-direct,Burke's central extension: attitude as substitute-for OR first-step-toward act.
GM-06,C17,instances,C15,rhetorical-theory,1,236,exegetical-direct,Mead's attitude-as-beginning-of-acts as one of three incipient-act pillars.
GM-06,C18,decomposes-into,C17,rhetorical-theory,2,236,exegetical-direct,Vocal gesture is Mead's mechanism for arousing attitude-of-other.
GM-06,C19,decomposes-into,C17,rhetorical-theory,2,237,exegetical-direct,Action-minus / attitude-minus = halfway between motion and action.
GM-06,C20,exegetes,C17,rhetorical-theory,2,237-238,exegetical-direct,Mead's social-attitude self echoes Hegelian Spirit-alienated-as-Nature.
GM-06,C21,instances,C15,rhetorical-theory,1,238-243,exegetical-direct,Korzybski's delayed response as third pillar of incipient-act apparatus.
GM-06,C22,decomposes-into,C21,philosophy,1,240-241,exegetical-direct,Consciousness-of-abstracting: haphazardly rediscovered Neo-Platonism.
GM-06,C23,operationalizes,C42,dramatism,1,"241,264-265",exegetical-direct,Greek triplet poiema/pathema/mathema organizes action-passion temporally.
GM-06,C24,constituted-by,C16,dramatism,1,243,exegetical-direct,Symbolic action is realm of the incipient/attitudinal par excellence.
GM-06,C25,decomposes-into,C24,rhetorical-theory,2,243-246,exegetical-direct,Image-as-attitude: lyric-analogue-of-plot via imagery-progression.
GM-06,C26,in-tension-with,C27,dramatism,2,247,exegetical-direct,Hamletic-strategy strains drama-vs-lyric distinction from both poles.
GM-06,C28,contrasts-with,C29,philosophy,1,248,exegetical-direct,Realism = individuals-as-members-of-group; nominalism = groups-as-aggregates.
GM-06,C32,exegetes,C28,philosophy,2,250,exegetical-direct,Scotus's haecceitas: surface-nominalist but retains tribal-familial pattern.
GM-06,C34,exegetes,C02,philosophy,1,"253,261",exegetical-direct,Aristotle: actuality prior to potency temporally and form-substantially.
GM-06,C35,decomposes-into,C09,philosophy,1,253-254,exegetical-direct,Form-matter hierarchy ascending to motionless prime mover that moves by being loved.
GM-06,C36,in-tension-with,C09,philosophy,2,254,exegetical-direct,Final-cause / efficient-cause reversibility; egressus-regressus oxymoron.
GM-06,C37,constituted-by,C03,philosophy,2,255,exegetical-direct,Hypokeimenon-substrate possesses potentialities; matter as impulse-to-be-formed.
GM-06,C39,instances,C03,philosophy,2,256-257,exegetical-direct,Tendency as ambiguous potentiality; Janus-term caeteris-paribus.
GM-06,C40,contrasts-with,C39,philosophy,2,258-259,exegetical-direct,Inevitability substantially merges permanent and changing; vs ambiguous tendency.
GM-06,C42,decomposes-into,C46,dramatism,2,271-272,exegetical-direct,Christian transvaluation: suffering as act; willing one's subjection.
GM-06,C43,extends,C42,dramatism,1,271-274,exegetical-direct,Actus-status pair: class-that-does transformed to class-that-does-not.
GM-06,C44,exegetes,C43,philosophy,2,273-274,exegetical-direct,Indo-European philological closing: passive evolved from middle voice.
GM-06,C45,exegetes,C49,philosophy,2,267-270,exegetical-direct,Stoic hegemonikon as reason-authority equation; Aristotelian freedom as participation.
GM-06,C47,operationalizes,C42,rhetorical-theory,2,269,exegetical-direct,Psychoanalysis exegesis: frustration=passion; adjustment=action; sublimation=transcendence.
GM-06,C48,instances,C42,dramatism,2,265,exegetical-direct,Gods as tribal motives are par excellence dramatist grammar.
