source,relation,target,domain,units,confidence,chapter
kinesis,presupposes,chronos,temporal,"U3",high,1
chronos,depends_on,kinesis,temporal,"U3",high,1
aisthesis,depends_on,kinesis,perceptual,"U4",high,1
aisthesis,depends_on,dynamis,perceptual,"U4",high,1
dynamis,explains,energeia,perceptual,"U4",high,1
aisthesis,explains,apoleipomene_kinesis,kinetic,"U4",high,1
apoleipomene_kinesis,explains,phantasma,kinetic,"U4",high,1
apoleipomene_kinesis,is_meaning_of,resonant_motion,kinetic,"U9",high,2
phantasma,depends_on,phantasia,perceptual,"U4",high,1
phantasia,contrasts_with,aisthesis,perceptual,"U4 U8",high,1-2
phantasia,contrasts_with,mneme,cognitive,"U5",high,1
phantasia,explains,doxa,cognitive,"U6",high,1
phantasia,explains,pathos,affective,"U6",high,1
phantasia,operationalizes,taking_as,cognitive,"U6",high,1
taking_as,explains,doxa,cognitive,"U6",high,1
doxa,explains,pathos,affective,"U6",high,1
pathos,depends_on,orexis,affective,"U6",high,1
orexis,depends_on,phantasia,cognitive,"U6",high,1
kinesis,is_meaning_of,pathos,affective,"U6",high,1
phantasia,explains,habituated_phantasia,cognitive,"U2",high,1
hexis,explains,habituated_phantasia,cognitive,"U2",high,1
phantasia,refines,sensitive_phantasia,cognitive,"U6",medium,1
phantasia,refines,deliberative_phantasia,cognitive,"U6",medium,1
kinesis,explains,antichesis,kinetic,"U9",high,2
apoleipomene_kinesis,explains,antichesis,kinetic,"U9",high,2
antichesis,explains,phantasma,kinetic,"U9",high,2
antichesis,explains,resonant_motion,kinetic,"U9",high,2
antichesis,explains,resonant_affect,affective,"U9",high,2
Stimmung,completes,phantasia,existential,"U10",high,2
Stimmung,presupposes,Befindlichkeit,existential,"U8",high,2
Befindlichkeit,explains,Erschlossenheit,existential,"U8",high,2
Befindlichkeit,explains,Geworfenheit,existential,"U8",high,2
Stimmung,explains,Bedeutsamkeit,existential,"U8",high,2
Stimmung,contrasts_with,aisthesis,existential,"U8",high,2
Stimmung,explains,resonant_affect,existential,"U9",high,2
resonant_motion,contrasts_with,resonant_affect,kinetic,"U9",high,2
resonant_motion,supports,resonant_affect,kinetic,"U9",medium,2
phantasia,operationalizes,affective_architecture,affective,"U6",high,1
phantasia,depends_on,Stimmung,existential,"U9 U10",high,2
Stimmung,presupposes,phantasia,existential,"U10",medium,2
pathos,supports,Stimmung,existential,"U10",medium,2
Sorge,presupposes,Befindlichkeit,existential,"U8",high,2
Sorge,presupposes,Verstehen,existential,"U8",high,2
Zeitlichkeit,explains,Stimmung,temporal,"U8",high,2
chronos,contrasts_with,Zeitlichkeit,temporal,"U7 U8",high,1-2
phantasia,operationalizes,enargeia,rhetorical,"U6",medium,1
phantasma,exemplifies,eikon,perceptual,"U5",high,1
phantasia,explains,nous,cognitive,"U1",medium,1
deliberative_phantasia,depends_on,phronesis,cognitive,"U6",medium,1
antichesis,depends_on,Stimmung,existential,"U9",high,2
antichesis,depends_on,Befindlichkeit,existential,"U9",high,2
ontological_completion,is_meaning_of,Stimmung_completes_phantasia,existential,"U10",high,2
