source,relation,target,locus,note
Wendt,defines,problem-solution paradox,(p.73 / pdf 75),"cannot think solutions until problem understood, nor understand problem until solutions thought"
Wendt,glosses,problem-solution paradox,(p.72 / pdf 74),names it the meta example of a wicked problem
problem-solution paradox,extends,wicked problem (Rittel & Webber),(p.72 / pdf 74),paradox treated as the meta-instance of a wicked problem
Wendt,contests,linear problem-to-solution model,(p.73 / pdf 75),linear half assumes a 'final answer' and divorces problem from solutions
Wendt,contests,lean startup,(p.74 / pdf 76),lean's prototype rebuttal accounts for only half the paradox
Wendt,contests,design thinking,(p.74 / pdf 76),'not as linear as it seems' rebuttal accounts for only half the paradox
Wendt,contests,waterfall / Cartesian method,(p.77 / pdf 79),holds theory too long; performance of theory deemed unnecessary for validation
Wendt,cites,Heidegger,(p.74 / pdf 76),hermeneutic circle: parts depend on whole and whole on parts
Wendt,cites,Saussure,(p.74 / pdf 76),chain of signification: signs mean only relationally
Wendt,cites,Schon,(p.74 / pdf 76),design as a conversation with the situation
problem-solution paradox,co-evolves-with,non-dualism,(p.74-75 / pdf 76-77),paradox stems from non-dualist philosophies vs. dualism
Wendt,cites,Cross,(p.76-78 / pdf 78-80),brief as starting point for exploration; sketching supports problem-solution dialogue
Cross,cites,MacCormac,(p.76 / pdf 78),"what you need to know about the problem becomes apparent as you solve it"
prototype,glosses,thinking and making,(p.77-78 / pdf 79-80),pseudo-object to think beyond the head; emergent space independent of designer and user
Wendt,cites,Martin,(p.78 / pdf 80),reliability vs. validity; design thinking at their intersection
Wendt,cites,Dorst,(p.79 / pdf 81),design paradox; problem space / solution space; emergent bridge
Dorst,defines,co-evolution,(p.79 / pdf 81),problem and solution evolve together into a matching pair
co-evolution,co-evolves-with,problem-solution paradox,(p.79 / pdf 81),co-evolution is the positive model resolving the paradox's structure
emergent bridge,glosses,co-evolution,(p.79 / pdf 81),temporary fix identifying a problem-solution pairing amid unstable spaces
Wendt,qualifies,problem-solution paradox,(p.80 / pdf 82),it is an antinomy; only a paradox if movement is assumed linear
Wendt,cites,Morozov,(p.81 / pdf 83),solutionism: treating the world as a problem to be solved
Wendt,concedes,non-dualist theory of design,(p.81-82 / pdf 83-84),"does not claim to have the answer; offers a 'less dualist' theory"
Wendt,cites,Basalla,(p.82 / pdf 84),technological objects are not isolated solutions to discrete problems
Wendt,qualifies,Basalla,(p.82 / pdf 84),judges the never-maps-to-discrete-problems view 'a bit extreme'
Wendt,cites,Nelson & Stolterman,(p.82-83 / pdf 84-85),twelve design paradoxes read as antinomies
design antinomies,glosses,antinomy,(p.82-83 / pdf 84-85),contradictions that must be; no fixed optimal point between poles
Wendt,cites,Latour,(p.82-83 / pdf 84-85),objects as 'gatherings'/Dinge; design cannot draw a thing together
Latour,cites,Heidegger,(p.82-83 / pdf 84-85),'gatherings' in Heidegger's meaning of the word (Dinge)
DESIGN-PRINCIPLE: brief as exploration,applies-to-design,experience design,(p.76 / pdf 78),treat the brief as a starting point for exploration not a specification
DESIGN-PRINCIPLE: design for potentiality,applies-to-design,experience design,(p.78 / pdf 80),design for possible technical mediations not only actual ones
DESIGN-PRINCIPLE: co-evolve toward a matching pair,designs-for,problem-solution pair,(p.79 / pdf 81),presuppose no fixed design problem; fix only via emergent bridge
DESIGN-PRINCIPLE: design systems not isolated solutions,applies-to-design,experience design,(p.82 / pdf 84),attend to holistic experience across social/political/economic systems
DESIGN-PRINCIPLE: resist solutionism,applies-to-design,experience design,(p.81-82 / pdf 83-84),reserve effort for genuine wicked problems; rethink the nature of a solution
solution,qualifies,problem space,(p.74 / pdf 76),introducing a solution changes the conditions in which the problem exists rather than solving it
problem-solution paradox,discloses,fundamental complexity of design,(p.83 / pdf 85),exploring this complexity is the key goal of phenomenological design thinking
problem-solution paradox,mediates,phenomenology-to-post-phenomenology pivot,(p.72 / pdf 74),paradox is the transition point between phenomenology and post-phenomenology
co-evolution,designs-for,VLE iterative design,(p.79 / pdf 81),"RO-hook anticipatory-application: enactment-first VLE method discovers the learning problem through built prototypes"
