subject,stimulus,variant,start_s,end_s,duration_s,n_samples,kind,resolvable
S01,BOR,unified,3.705,4.039,0.334000000003,1,blink,False
S01,BOR,unified,4.379,4.713,0.334000000003,1,blink,False
S01,BOR,unified,38.438,38.772,0.334000000003,1,blink,False
S01,BOR,unified,46.471,47.162,0.691000000006,2,extended,False
S01,BOR,unified,48.499,48.833,0.334000000003,1,blink,False
S01,BOR,unified,55.9,56.234,0.334000000003,1,blink,False
S01,BOR,unified,61.657,61.991,0.334000000003,1,blink,False
S01,BOR,unified,64.023,64.357,0.334000000003,1,blink,False
S01,BOR,unified,66.706,67.04,0.334000000003,1,blink,False
S01,BOR,unified,67.733,68.067,0.334000000003,1,blink,False
S01,BOR,unified,76.131,76.465,0.334000000003,1,blink,False
S01,BOR,unified,80.485,80.819,0.334000000003,1,blink,False
S01,BOR,unified,101.365,101.699,0.334000000003,1,blink,False
S01,BOR,unified,116.211,116.888,0.676999999996,2,extended,False
S01,BOR,unified,118.569,119.235,0.666000000012,2,extended,False
S01,BOR,unified,142.162,142.496,0.334000000003,1,blink,False
S01,BOR,unified,144.53,144.864,0.334000000003,1,blink,False
S01,BOR,unified,145.886,146.22,0.334000000003,1,blink,False
S01,BOR,unified,147.578,148.244,0.665999999997,2,extended,False
S01,BOR,unified,149.593,151.96,2.367,7,extended,False
S01,BOR,unified,153.635,153.969,0.334000000003,1,blink,False
S01,BOR,unified,154.308,154.642,0.334000000003,1,blink,False
S01,BOR,unified,155.661,156.326,0.665000000008,2,extended,False
S01,BOR,unified,158.019,159.033,1.01400000001,3,extended,False
S01,BOR,unified,159.708,160.378,0.669999999998,2,extended,False
S01,BOR,unified,160.716,161.377,0.661000000007,2,extended,False
S01,BOR,unified,165.422,165.756,0.334000000003,1,blink,False
S01,BOR,unified,166.431,166.765,0.334000000003,1,blink,False
S01,BOR,unified,167.105,167.776,0.671000000002,2,extended,False
S01,BOR,unified,171.5,171.834,0.334000000003,1,blink,False
S01,BOR,unified,172.171,173.515,1.34400000001,4,extended,False
S01,BOR,unified,175.214,175.89,0.676000000007,2,extended,False
S01,BOR,unified,176.57,177.57,1,3,extended,False
S01,BOR,unified,179.594,179.928,0.334000000003,1,blink,False
S01,BOR,unified,183.293,183.627,0.334000000003,1,blink,False
S01,BOR,unified,193.062,193.396,0.334000000003,1,blink,False
S01,BOR,unified,196.44,196.774,0.334000000003,1,blink,False
S01,BOR,unified,209.228,209.904,0.676000000007,2,extended,False
S01,BOR,unified,210.586,211.238,0.652000000002,2,extended,False
S01,BOR,unified,211.597,212.228,0.630999999994,2,extended,False
S01,BOR,unified,213.272,214.236,0.963999999993,3,extended,False
S01,BOR,unified,214.627,214.961,0.334000000003,1,blink,False
S01,BOR,unified,215.302,215.636,0.334000000003,1,blink,False
S01,BOR,unified,215.977,216.311,0.334000000003,1,blink,False
S01,BOR,unified,216.651,216.985,0.334000000003,1,blink,False
S01,BOR,unified,219.35,219.684,0.334000000003,1,blink,False
S01,BOR,unified,223.05,223.384,0.334000000003,1,blink,False
S01,BOR,unified,230.784,231.118,0.334000000003,1,blink,False
S01,BOR,unified,234.456,234.79,0.334000000003,1,blink,False
S01,BOR,unified,243.59,243.924,0.334000000003,1,blink,False
S01,BOR,unified,266.482,266.816,0.334000000003,1,blink,False
S01,BOR,unified,268.483,269.181,0.698000000004,2,extended,False
S01,BOR,unified,269.521,269.855,0.334000000003,1,blink,False
S01,BOR,unified,281.636,281.97,0.334000000003,1,blink,False
S01,BOR,unified,283.318,283.994,0.676000000007,2,extended,False
S01,BOR,unified,290.383,290.717,0.334000000003,1,blink,False
S01,BOR,unified,295.426,295.76,0.334000000003,1,blink,False
S01,BOR,unified,309.516,309.85,0.334000000003,1,blink,False
S01,BOR,unified,311.539,312.212,0.67300000001,2,extended,False
S01,BOR,unified,312.878,313.212,0.334000000003,1,blink,False
S01,BOR,unified,315.578,315.912,0.334000000003,1,blink,False
S01,BOR,unified,319.579,319.913,0.334000000003,1,blink,False
S01,BOR,unified,324.977,325.311,0.334000000003,1,blink,False
S01,BOR,unified,327.684,328.018,0.334000000003,1,blink,False
S01,BOR,unified,332.081,332.415,0.334000000003,1,blink,False
S01,BOR,unified,337.121,337.784,0.663000000015,2,extended,False
S01,BOR,unified,339.482,339.816,0.334000000003,1,blink,False
S01,BOR,unified,340.829,341.505,0.675999999992,2,extended,False
S01,BOR,unified,345.205,345.539,0.334000000003,1,blink,False
S01,BOR,unified,353.645,353.979,0.334000000003,1,blink,False
S01,BOR,unified,384.943,385.277,0.334000000003,1,blink,False
S01,BOR,unified,385.62,385.954,0.334000000003,1,blink,False
S01,BOR,unified,386.626,386.96,0.334000000003,1,blink,False
S01,BOR,unified,387.642,388.321,0.679000000004,2,extended,False
S01,BOR,unified,388.992,391.017,2.02499999999,6,extended,False
S01,BOR,unified,400.092,400.426,0.334000000003,1,blink,False
S01,BOR,unified,419.946,420.28,0.334000000003,1,blink,False
S01,BOR,unified,434.423,435.434,1.011,3,extended,False
S01,BOR,unified,445.853,446.187,0.334000000003,1,blink,False
S01,BOR,unified,449.546,449.88,0.334000000003,1,blink,False
S01,BOR,unified,452.909,453.243,0.334000000003,1,blink,False
S01,BOR,unified,455.942,456.276,0.334000000003,1,blink,False
S01,BOR,unified,458.643,458.977,0.334000000003,1,blink,False
S01,BOR,unified,465.683,466.017,0.334000000003,1,blink,False
S01,BOR,unified,466.373,466.707,0.334000000003,1,blink,False
S01,BOR,unified,469.405,471.089,1.68400000001,5,extended,False
S01,BOR,unified,474.138,474.472,0.334000000003,1,blink,False
S01,BOR,unified,479.195,480.195,1,3,extended,False
S01,BOR,unified,481.885,482.219,0.334000000003,1,blink,False
S01,BOR,unified,502.048,502.382,0.334000000003,1,blink,False
S01,BOR,unified,505.089,506.431,1.342,4,extended,False
S01,BOR,unified,518.888,519.222,0.334000000003,1,blink,False
S01,BOR,unified,522.887,523.221,0.334000000003,1,blink,False
S01,BOR,unified,535,535.668,0.668000000005,2,extended,False
S01,BOR,unified,538.364,538.698,0.334000000003,1,blink,False
S01,BOR,unified,542.065,543.405,1.34000000001,4,extended,False
S01,BOR,unified,558.892,559.559,0.667000000001,2,extended,False
S01,BOR,unified,569.305,569.639,0.334000000003,1,blink,False
S01,BOR,unified,573.33,573.664,0.334000000003,1,blink,False
S01,BOR,unified,607.321,607.655,0.334000000003,1,blink,False
S01,BOR,unified,608.672,609.006,0.334000000003,1,blink,False
S01,BOR,unified,609.687,610.021,0.334000000003,1,blink,False
S01,BOR,unified,611.354,612.023,0.669000000009,2,extended,False
S01,BOR,unified,612.686,613.02,0.334000000003,1,blink,False
S01,BOR,unified,613.362,613.696,0.334000000003,1,blink,False
S01,BOR,unified,614.03,614.364,0.334000000003,1,blink,False
S01,BOR,unified,615.387,616.388,1.001,3,extended,False
S01,BOR,unified,616.738,617.072,0.334000000003,1,blink,False
S01,BOR,unified,617.413,617.747,0.334000000003,1,blink,False
S01,BOR,unified,618.76,619.094,0.334000000003,1,blink,False
S01,BOR,unified,624.475,624.809,0.334000000003,1,blink,False
S01,BOR,unified,625.142,625.476,0.334000000003,1,blink,False
S01,BOR,unified,625.8,626.134,0.334000000003,1,blink,False
S01,BOR,unified,626.486,626.82,0.334000000003,1,blink,False
S01,BOR,unified,628.168,630.527,2.359,7,extended,False
S01,BOR,unified,631.549,631.883,0.334000000003,1,blink,False
S01,BOR,unified,634.24,634.574,0.334000000003,1,blink,False
S01,BOR,unified,636.264,636.598,0.334000000003,1,blink,False
S01,BOR,unified,638.289,638.623,0.334000000003,1,blink,False
S01,BOR,unified,640.988,642.338,1.34999999999,4,extended,False
S01,BOR,unified,649.404,649.738,0.334000000003,1,blink,False
S01,BOR,unified,650.419,650.753,0.334000000003,1,blink,False
S01,BOR,unified,694.186,695.175,0.989000000001,3,extended,False
S01,BOR,unified,695.816,696.15,0.334000000003,1,blink,False
S01,BOR,unified,697.566,697.9,0.334000000003,1,blink,False
S01,BOR,unified,699.243,699.577,0.334000000003,1,blink,False
S01,BOR,unified,711.048,711.382,0.334000000003,1,blink,False
S01,CLC,unified,24.243,24.577,0.334000000003,1,blink,False
S01,CLC,unified,45.76,46.094,0.334000000003,1,blink,False
S01,CLC,unified,56.833,57.503,0.669999999998,2,extended,False
S01,CLC,unified,57.841,58.175,0.334000000003,1,blink,False
S01,CLC,unified,72.288,72.955,0.667000000001,2,extended,False
S01,CLC,unified,101.189,101.523,0.334000000003,1,blink,False
S01,CLC,unified,101.864,102.198,0.334000000003,1,blink,False
S01,CLC,unified,133.156,133.49,0.334000000003,1,blink,False
S01,CLC,unified,136.505,136.839,0.334000000003,1,blink,False
S01,CLC,unified,138.181,138.515,0.334000000003,1,blink,False
S01,CLC,unified,180.179,180.513,0.334000000003,1,blink,False
S01,CLC,unified,183.552,183.886,0.334000000003,1,blink,False
S01,CLC,unified,213.186,214.198,1.012,3,extended,False
S01,CLC,unified,214.535,215.206,0.671000000002,2,extended,False
S01,CLC,unified,221.267,221.601,0.334000000003,1,blink,False
S01,CLC,unified,297.693,298.027,0.334000000003,1,blink,False
S01,CLC,unified,321.96,322.294,0.334000000003,1,blink,False
S01,CLC,unified,332.741,333.075,0.334000000003,1,blink,False
S01,CLC,unified,370.773,371.107,0.334000000003,1,blink,False
S01,CLC,unified,380.547,380.881,0.334000000003,1,blink,False
S01,CLC,unified,400.381,400.715,0.334000000003,1,blink,False
S01,CLC,unified,405.43,405.764,0.334000000003,1,blink,False
S01,CLC,unified,431.026,431.36,0.334000000003,1,blink,False
S01,CLC,unified,434.064,434.398,0.334000000003,1,blink,False
S01,CLC,unified,439.446,440.122,0.676000000007,2,extended,False
S01,CLC,unified,443.815,444.149,0.334000000003,1,blink,False
S01,CLC,unified,452.226,452.56,0.334000000003,1,blink,False
S01,CLC,unified,455.569,455.903,0.334000000003,1,blink,False
S01,CLC,unified,463.652,463.986,0.334000000003,1,blink,False
S01,CLC,unified,467.023,467.357,0.334000000003,1,blink,False
S01,CLC,unified,468.023,468.357,0.334000000003,1,blink,False
S01,CLC,unified,469.358,469.692,0.334000000003,1,blink,False
S01,CLC,unified,471.697,472.031,0.334000000003,1,blink,False
S01,CLC,unified,476.405,476.739,0.334000000003,1,blink,False
S01,CLC,unified,510.739,511.073,0.334000000003,1,blink,False
S01,CLC,unified,515.086,515.42,0.334000000003,1,blink,False
S01,CLC,unified,516.116,516.45,0.334000000003,1,blink,False
S01,CLC,unified,522.886,523.22,0.334000000003,1,blink,False
S01,CLC,unified,525.253,525.917,0.664000000004,2,extended,False
S01,CLC,unified,530.985,531.319,0.334000000003,1,blink,False
S01,CLC,unified,531.66,531.994,0.334000000003,1,blink,False
S01,CLC,unified,533.014,533.348,0.334000000003,1,blink,False
S01,CLC,unified,535.723,536.057,0.334000000003,1,blink,False
S01,CLC,unified,541.454,541.788,0.334000000003,1,blink,False
S01,CLC,unified,542.437,542.771,0.334000000003,1,blink,False
S01,CLC,unified,567.015,567.349,0.334000000003,1,blink,False
S01,CLC,unified,567.681,568.348,0.667000000001,2,extended,False
S01,CLC,unified,572.415,572.749,0.334000000003,1,blink,False
S01,CLC,unified,573.088,575.425,2.337,7,extended,False
S01,CLC,unified,584.86,585.194,0.334000000003,1,blink,False
S01,CLC,unified,586.551,586.885,0.334000000003,1,blink,False
S01,CLC,unified,587.901,588.235,0.334000000003,1,blink,False
S01,CLC,unified,610.471,610.805,0.334000000003,1,blink,False
S01,CLC,unified,612.156,612.49,0.334000000003,1,blink,False
S01,CLC,unified,615.521,615.855,0.334000000003,1,blink,False
S01,CLC,unified,616.197,616.531,0.334000000003,1,blink,False
S01,CLC,unified,617.886,618.22,0.334000000003,1,blink,False
S01,CLC,unified,625.6,625.934,0.334000000003,1,blink,False
S01,CLC,unified,629.991,630.325,0.334000000003,1,blink,False
S01,CLC,unified,633.343,634.349,1.00600000001,3,extended,False
S01,CLC,unified,637.397,638.073,0.676000000007,2,extended,False
S01,CLC,unified,638.405,638.739,0.334000000003,1,blink,False
S01,CLC,unified,664.601,664.935,0.334000000003,1,blink,False
S01,CLC,unified,689.843,690.177,0.334000000003,1,blink,False
S01,CLC,unified,709.404,709.738,0.334000000003,1,blink,False
S01,CLC,unified,715.811,716.145,0.334000000003,1,blink,False
S01,CLC,unified,720.52,720.854,0.334000000003,1,blink,False
S01,CLC,unified,726.584,726.918,0.334000000003,1,blink,False
S01,CLC,unified,727.591,728.262,0.671000000002,2,extended,False
S01,CLC,unified,729.616,731.977,2.361,7,extended,False
S01,INT,unified,0.332999999999,0.667000000001,0.334000000003,1,blink,False
S01,INT,unified,2.351,2.685,0.334000000003,1,blink,False
S01,INT,unified,3.03,3.364,0.334000000003,1,blink,False
S01,INT,unified,5.06499999999,5.39899999999,0.334000000003,1,blink,False
S01,INT,unified,6.738,7.389,0.650999999998,2,extended,False
S01,INT,unified,8.753,9.087,0.334000000003,1,blink,False
S01,INT,unified,24.607,24.941,0.334000000003,1,blink,False
S01,INT,unified,32.675,33.009,0.334000000003,1,blink,False
S01,INT,unified,40.079,40.413,0.334000000003,1,blink,False
S01,INT,unified,41.087,41.421,0.334000000003,1,blink,False
S01,INT,unified,43.778,44.112,0.334000000003,1,blink,False
S01,INT,unified,44.448,45.457,1.00900000001,3,extended,False
S01,INT,unified,45.803,46.803,1,3,extended,False
S01,INT,unified,48.497,48.831,0.334000000003,1,blink,False
S01,INT,unified,50.185,50.519,0.334000000003,1,blink,False
S01,INT,unified,56.244,56.578,0.334000000003,1,blink,False
S01,INT,unified,56.911,57.245,0.334000000003,1,blink,False
S01,INT,unified,57.908,58.911,1.003,3,extended,False
S01,INT,unified,64.631,64.965,0.334000000003,1,blink,False
S01,INT,unified,70.357,70.691,0.334000000003,1,blink,False
S01,INT,unified,85.519,85.853,0.334000000003,1,blink,False
S01,INT,unified,95.307,95.641,0.334000000003,1,blink,False
S01,INT,unified,96.318,96.652,0.334000000003,1,blink,False
S01,INT,unified,105.08,105.414,0.334000000003,1,blink,False
S01,INT,unified,115.527,116.196,0.669000000009,2,extended,False
S01,INT,unified,139.105,139.439,0.334000000003,1,blink,False
S01,INT,unified,156.617,157.284,0.667000000001,2,extended,False
S01,INT,unified,164.681,165.015,0.334000000003,1,blink,False
S01,INT,unified,173.415,173.749,0.334000000003,1,blink,False
S01,INT,unified,195.277,195.611,0.334000000003,1,blink,False
S01,INT,unified,204.722,205.056,0.334000000003,1,blink,False
S01,INT,unified,219.885,220.219,0.334000000003,1,blink,False
S01,INT,unified,221.234,221.568,0.334000000003,1,blink,False
S01,INT,unified,229.99,230.324,0.334000000003,1,blink,False
S01,INT,unified,231.673,232.674,1.001,3,extended,False
S01,INT,unified,233.681,234.357,0.676000000007,2,extended,False
S01,INT,unified,237.374,237.708,0.334000000003,1,blink,False
S01,INT,unified,239.738,240.072,0.334000000003,1,blink,False
S01,INT,unified,240.413,240.747,0.334000000003,1,blink,False
S01,INT,unified,250.146,250.48,0.334000000003,1,blink,False
S01,INT,unified,250.826,251.497,0.671000000002,2,extended,False
S01,INT,unified,254.526,255.193,0.667000000001,2,extended,False
S01,INT,unified,264.283,264.617,0.334000000003,1,blink,False
S01,INT,unified,275.382,275.716,0.334000000003,1,blink,False
S01,INT,unified,276.046,276.38,0.334000000003,1,blink,False
S01,INT,unified,277.062,277.729,0.667000000001,2,extended,False
S01,INT,unified,278.412,279.079,0.667000000001,2,extended,False
S01,INT,unified,285.488,286.163,0.675000000003,2,extended,False
S01,INT,unified,287.493,287.827,0.334000000003,1,blink,False
S01,INT,unified,289.167,289.501,0.334000000003,1,blink,False
S01,INT,unified,290.85,291.184,0.334000000003,1,blink,False
S01,INT,unified,291.861,292.195,0.334000000003,1,blink,False
S01,INT,unified,292.533,293.875,1.342,4,extended,False
S01,INT,unified,298.926,299.927,1.001,3,extended,False
S01,INT,unified,301.95,302.623,0.672999999995,2,extended,False
S01,INT,unified,304.983,305.647,0.664000000004,2,extended,False
S01,INT,unified,306.321,306.655,0.334000000003,1,blink,False
S01,INT,unified,308.348,308.682,0.334000000003,1,blink,False
S01,INT,unified,310.706,311.04,0.334000000003,1,blink,False
S01,INT,unified,317.428,317.762,0.334000000003,1,blink,False
S01,INT,unified,327.191,327.525,0.334000000003,1,blink,False
S01,INT,unified,342.029,342.363,0.334000000003,1,blink,False
S01,INT,unified,344.394,344.728,0.334000000003,1,blink,False
S01,INT,unified,353.143,353.818,0.675000000003,2,extended,False
S01,INT,unified,355.501,355.835,0.334000000003,1,blink,False
S01,INT,unified,356.842,357.176,0.334000000003,1,blink,False
S01,INT,unified,362.552,362.886,0.334000000003,1,blink,False
S01,INT,unified,363.234,363.568,0.334000000003,1,blink,False
S01,INT,unified,363.907,365.241,1.334,4,extended,False
S01,INT,unified,371.655,371.989,0.334000000003,1,blink,False
S01,INT,unified,372.315,372.989,0.674000000014,2,extended,False
S01,INT,unified,373.329,373.663,0.334000000003,1,blink,False
S01,INT,unified,374.688,375.358,0.669999999998,2,extended,False
S01,INT,unified,377.365,378.04,0.675000000003,2,extended,False
S01,INT,unified,384.418,384.752,0.334000000003,1,blink,False
S01,INT,unified,392.858,393.192,0.334000000003,1,blink,False
S01,INT,unified,393.533,394.2,0.667000000001,2,extended,False
S01,INT,unified,406.346,406.68,0.334000000003,1,blink,False
S01,INT,unified,409.371,409.705,0.334000000003,1,blink,False
S01,INT,unified,415.43,415.764,0.334000000003,1,blink,False
S01,INT,unified,434.308,434.642,0.334000000003,1,blink,False
S01,INT,unified,435.316,435.65,0.334000000003,1,blink,False
S01,INT,unified,444.765,445.099,0.334000000003,1,blink,False
S01,INT,unified,459.242,459.576,0.334000000003,1,blink,False
S01,INT,unified,499.359,499.693,0.334000000003,1,blink,False
S01,INT,unified,504.442,504.776,0.334000000003,1,blink,False
S01,INT,unified,506.463,506.797,0.334000000003,1,blink,False
S01,INT,unified,518.255,518.589,0.334000000003,1,blink,False
S01,INT,unified,534.058,534.392,0.334000000003,1,blink,False
S01,INT,unified,535.065,535.399,0.334000000003,1,blink,False
S01,INT,unified,538.439,538.773,0.334000000003,1,blink,False
S01,INT,unified,541.471,541.805,0.334000000003,1,blink,False
S01,INT,unified,542.129,542.463,0.334000000003,1,blink,False
S01,INT,unified,543.146,543.48,0.334000000003,1,blink,False
S01,INT,unified,544.829,545.163,0.334000000003,1,blink,False
S01,INT,unified,548.871,549.205,0.334000000003,1,blink,False
S01,INT,unified,551.571,552.245,0.673999999999,2,extended,False
S01,INT,unified,559.328,559.662,0.334000000003,1,blink,False
S01,INT,unified,561.683,562.017,0.334000000003,1,blink,False
S01,INT,unified,599.074,599.408,0.334000000003,1,blink,False
S01,INT,unified,600.765,601.099,0.334000000003,1,blink,False
S01,INT,unified,608.183,608.517,0.334000000003,1,blink,False
S01,INT,unified,648.281,648.615,0.334000000003,1,blink,False
S01,INT,unified,655.345,655.679,0.334000000003,1,blink,False
S02,BOR,unified,4.005,4.338,0.332999999999,1,blink,False
S02,BOR,unified,5.674,6.007,0.332999999999,1,blink,False
S02,BOR,unified,6.34,6.673,0.332999999999,1,blink,False
S02,BOR,unified,8.014,8.34699999999,0.332999999999,1,blink,False
S02,BOR,unified,10.354,11.02,0.666000000012,2,extended,False
S02,BOR,unified,15.372,15.705,0.332999999999,1,blink,False
S02,BOR,unified,16.712,17.045,0.332999999999,1,blink,False
S02,BOR,unified,17.719,18.052,0.332999999999,1,blink,False
S02,BOR,unified,27.741,28.074,0.332999999999,1,blink,False
S02,BOR,unified,33.443,33.776,0.332999999999,1,blink,False
S02,BOR,unified,38.122,38.455,0.332999999999,1,blink,False
S02,BOR,unified,39.797,40.13,0.332999999999,1,blink,False
S02,BOR,unified,41.765,42.098,0.332999999999,1,blink,False
S02,BOR,unified,44.763,45.096,0.332999999999,1,blink,False
S02,BOR,unified,47.139,47.472,0.332999999999,1,blink,False
S02,BOR,unified,49.152,49.485,0.332999999999,1,blink,False
S02,BOR,unified,57.509,57.842,0.332999999999,1,blink,False
S02,BOR,unified,60.192,60.525,0.332999999999,1,blink,False
S02,BOR,unified,61.191,61.524,0.332999999999,1,blink,False
S02,BOR,unified,79.97,80.303,0.332999999999,1,blink,False
S02,BOR,unified,85.995,86.328,0.332999999999,1,blink,False
S02,BOR,unified,92.343,92.676,0.332999999999,1,blink,False
S02,BOR,unified,95.344,95.677,0.332999999999,1,blink,False
S02,BOR,unified,101.365,101.698,0.332999999999,1,blink,False
S02,BOR,unified,102.367,102.7,0.332999999999,1,blink,False
S02,BOR,unified,106.38,106.713,0.332999999999,1,blink,False
S02,BOR,unified,108.046,109.046,1,3,extended,False
S02,BOR,unified,109.721,110.054,0.332999999999,1,blink,False
S02,BOR,unified,110.729,111.062,0.332999999999,1,blink,False
S02,BOR,unified,111.728,112.061,0.332999999999,1,blink,False
S02,BOR,unified,112.403,112.736,0.332999999999,1,blink,False
S02,BOR,unified,130.46,130.793,0.332999999999,1,blink,False
S02,BOR,unified,133.473,133.806,0.332999999999,1,blink,False
S02,BOR,unified,138.157,138.49,0.332999999999,1,blink,False
S02,BOR,unified,145.189,145.522,0.332999999999,1,blink,False
S02,BOR,unified,153.543,153.876,0.332999999999,1,blink,False
S02,BOR,unified,154.218,154.551,0.332999999999,1,blink,False
S02,BOR,unified,155.885,156.218,0.332999999999,1,blink,False
S02,BOR,unified,163.932,164.6,0.667999999991,2,extended,False
S02,BOR,unified,165.601,165.934,0.332999999999,1,blink,False
S02,BOR,unified,171.306,171.639,0.332999999999,1,blink,False
S02,BOR,unified,171.966,172.299,0.332999999999,1,blink,False
S02,BOR,unified,172.641,172.974,0.332999999999,1,blink,False
S02,BOR,unified,176.321,176.654,0.332999999999,1,blink,False
S02,BOR,unified,176.996,177.329,0.332999999999,1,blink,False
S02,BOR,unified,179.003,179.336,0.332999999999,1,blink,False
S02,BOR,unified,179.653,179.986,0.332999999999,1,blink,False
S02,BOR,unified,183.021,183.354,0.332999999999,1,blink,False
S02,BOR,unified,186.027,186.36,0.332999999999,1,blink,False
S02,BOR,unified,186.66,186.993,0.332999999999,1,blink,False
S02,BOR,unified,195.052,195.385,0.332999999999,1,blink,False
S02,BOR,unified,208.421,208.754,0.332999999999,1,blink,False
