concept,dfd-00,dfd-01,dfd-02,dfd-03,dfd-04,dfd-05,dfd-06,dfd-07,primary_locus
Dasein / being-in-the-world,X,X,X,,,x,X,,(p.16 / pdf 18)
ready-to-hand / present-at-hand,,X,,,x,X,X,,(p.27 / pdf 29)
withdrawal & breakdown,,X,,,,X,x,,(p.34 / pdf 36)
absorbed coping,,X,,,,X,X,,(p.28 / pdf 30)
care,,X,,,,,X,,(p.44 / pdf 46)
technē / poiēsis / physis,,X,X,,,,,, (p.37 / pdf 39)
standing reserve / enframing (Gestell),,X,,,,X,,,(p.41 / pdf 43)
thing / gathering / the jug's void,,X,,X,X,,,,(p.46 / pdf 48)
mediation as constitutive,,,,,X,X,X,,(p.96 / pdf 98)
Ihde's four mediation relations,,,,,X,X,X,,(p.87 / pdf 89)
multistability & creative misuse,,,,,X,X,X,,(p.111 / pdf 113)
designer fallacy,,,,,X,,,,(p.104 / pdf 106)
scripts / delegation / actant (ANT),,,,,X,X,,,(p.100 / pdf 102)
affordance (action-potential),,,,,x,X,,,(p.130 / pdf 132)
embodiment (Merleau-Ponty),x,,,,,X,,,(p.125 / pdf 127)
sense vs meaning,,x,,,,X,X,,(p.137 / pdf 139)
product semantics (Krippendorff),,X,,,,X,X,,(p.135 / pdf 137)
transparency, not invisibility,,x,,,,X,X,,(p.146 / pdf 148)
problem-solution paradox,X,,,X,,,X,,(p.73 / pdf 75)
abduction / design thinking,,,X,X,,,,,(p.62 / pdf 64)
craft vs design,X,,X,,,,,,(p.58 / pdf 60)
design as being-in-the-world (Mitcham),X,,X,,,,X,,(p.12 / pdf 14)
empathy / being-with,,,X,,,,,,(p.56 / pdf 58)
phenomenological design thinking,X,X,X,,X,X,X,,(p.10 / pdf 12)
the hand (designs and signs),,,X,,,,,,(p.53 / pdf 55)
intentionality / for-ness,,,,,X,X,,,(p.106 / pdf 108)
