source,relation,target,page_anchor,provenance,notes
poem,IS-A,symbolic-act,447,burke-direct,"'a poem is an act, the symbolic act of the poet who made it'"
poem,FUNCTIONS-AS,viaticum,447,burke-direct,sacramental provision-for-the-journey leading to the oracle
ode-on-grecian-urn,DEPLOYS,mystic-oxymoron,449,burke-direct,'heard melodies are sweet but those unheard are sweeter'
ode-on-grecian-urn,DEPLOYS,scene-act-ratio,453-455,burke-direct,Burke names this explicitly as 'scene-act ratio or dramatic ratio'
ode-on-grecian-urn,GENERATES,oracle,447-459,burke-direct,'Beauty is truth truth beauty' as terminal motive-statement
ode-on-grecian-urn,EXHIBITS,arrested-pre-ecstasy,449-450,burke-direct,Bold Lover suspended just-prior-to-fulfilment
ode-on-grecian-urn,EXHIBITS,fever-chill-transformation,452-459,burke-direct,parallels Keats's phthisic fever-and-chill
urn,IS-DESIGNATED-AS,attitude,458,burke-direct,'O Attic shape! Fair attitude!'
attitude,IS-A,arrested-or-incipient-act,458,burke-direct,'an attitude is an arrested or incipient act not just an object'
attitude,IS-PROPERTY-OF,agent,460,burke-direct,romantic idealist Agent-feature
scene-act-ratio,IS-A,synecdoche,453,burke-direct,'synecdochic relation of container and thing contained'
scene-act-ratio,FUNCTIONS-AS,prediction-engine,454,burke-method,transcendent act predicts transcendent scene in stanza IV
transcendent-act,REQUIRES,transcendent-scene,453-454,burke-direct,'an act and a scene belong together'
transcendent-scene,IS-CONCRETIZED-IN,stanza-IV,455-457,burke-direct,sacrificial procession / little town vision
urn,IS-LITERALLY-GROUND-OF,scene-on-urn,457,burke-direct,container-thing-contained surface relation
scene-on-urn,IS-TRANSCENDENTALLY-GROUND-OF,urn,457,burke-direct,inverted: 'the Urn contains the scene out of which it arose'
oracle,RESOLVES,romantic-split-aesthetic-vs-practical,447 459,burke-direct,beauty vs truth = poetry vs science
romantic-philosophy,FEATURES,agent,460,burke-direct,'idealistic philosophies place primary stress upon agent'
materialism,FEATURES,scene,461,burke-direct,'materialistic science preferred conversely to translate agent into terms of scene'
beauty,EQUALS,act,459,burke-method,'beauty is an assertion an affirmative a creation hence in the fullest sense an act'
truth,EQUALS,scene,459,burke-method,'science is a knowledge of what is — and all that is comprises the over-all universal scene'
phthisic-fever,IS-MODE-OF,illness-substance,452,burke-direct,constitutional substrate
phthisic-chill,IS-MODE-OF,illness-substance,452,burke-direct,modes of one underlying substance
mind,IS,agent,452,burke-direct,'the poet's body was a patient the poet's mind was an agent'
body,IS,patient,452,burke-direct,Aristotelian action/passion reciprocal
christian-martyrdom,INVERTS,action-passion-distinction,452,burke-direct,acta = passiones
imagery,LACKS,negation,456,burke-direct,'in imagery there is no negation or disjunction'
commandment,IS-LATENTLY,provocation,456,burke-direct,thou-shalt-not → what-would-happen-if
love-death-equation,IS-DETERMINED-BY,capitalist-individualism,450-451,burke-cultural,heightened individual identity makes union-as-death imperious
ode-on-grecian-urn,PARALLELS,chapman-homer-sonnet,457,burke-direct,sestet 'comes upon a scene' as stanza IV does
urn-identification,IS-EXTENDED-BY,yeats-byzantium,460,burke-direct,Grecian goldsmiths immortality one step further
yeats-chestnut-tree,EXHIBITS,agent-as-foremost,461,burke-direct,personified agent + dancer-dance merger
ode-on-grecian-urn,REFUTES,kretschmer-materialist-reduction,461-463,burke-direct,'no conception of the essential matter here the intense linguistic activity'
mystic-oxymoron,EXEMPLIFIES,motives-behind-motives,449,burke-direct,prime-mover-at-rest paradox
shelley-music-soft-voices,CONTRASTS-WITH,keats-unheard-melodies,449-450,burke-direct,naturalistic-temporal vs mystical-eternal-present
god-willed-good,EXHIBITS,scene-act-symmetry,454-455,burke-direct,because-clause supplies scene for divine act
poetic-action,IS,dim-analogue-of-creation,455,coleridge-via-burke,Coleridge cited
ode-on-grecian-urn,ABOLISHES-ROMANTICISM-THROUGH,romanticism,447,burke-direct,raising romanticism to a new order
spitzer-milieu-ambiance,SUPPORTS,dramatic-ratio,454-fn,burke-citation,'wealth of material illustrative of dramatic ratio'
g-wilson-knight-tiptoe-effect,SUPPORTS,arrested-pre-ecstasy,450-fn,burke-citation,'poised form a stillness suggesting motion'
gm-10-keats,IS-METHODOLOGICAL-TEMPLATE-FOR,dissertation-single-text-chapter,447-463,plan-dissertation,parallels Calleja Appendix role
gm-10-keats,DEPLOYS-APPARATUS-FROM,gm-01-container,453-455,intra-volume,scene-act ratio and container-thing-contained
gm-10-keats,DEPLOYS-APPARATUS-FROM,gm-06-act,452 455,intra-volume,Aristotelian action/passion + scholastic pure act
gm-10-keats,SEEDS,burke-1950-attitude-as-sixth-pentad-term,460,forward-burke,'Attitude' identification anticipates Rhetoric of Motives addition
urn-ekphrasis,ANTICIPATES,hawhee-rhetorical-vision-phantasia,458-459,anticipatory-projection,Yeats-Boehme starry-heavens passage is phantastic-internal
scene-act-ratio,ANTICIPATES,heidegger-in-der-welt-sein,453-455,anticipatory-projection,Burke=0 Heidegger hits; situational disclosure parallel
attitude-arrested-act,ANTICIPATES,heidegger-befindlichkeit,458 460,anticipatory-projection,mood as already-disposed act-stance
urn-scene-chiasmus,ANTICIPATES,rickert-ambient-rhetoric,457,anticipatory-projection,ambience constitutive of rhetorical act
attitude-incipient-act,MAPS-TO-PIM-DIMENSION,calleja-incorporation,458 460,anticipatory-projection,kinesthetic-affective absorption as arrested act toward gameworld
