source,relation,target,locus,note
bor-sec-18,treats-construct,profound/deep boredom (FCM 3rd form),"p.261-262, 265-268","Exposits total indifference and 'telling refusal' of beings as a whole, then makes profound boredom the pedagogical center of gravity via paideia, waiting, and the entertainment-industry critique (FAITHFUL-Mansikka, p.261-262, 265-268)."
bor-sec-18,treats-construct,being-bored-by (1st form),"p.259-260, 262-263","Railway-station exposition of situative boredom (held in delay by dragging time, left empty by things offering nothing), transposed onto meaningless/technical instruction (FAITHFUL-Mansikka, p.259-260, 262-263)."
bor-sec-18,treats-construct,being-bored-with (2nd form),"p.260-261, 263-264","Evening-invitation exposition of self-forming-emptiness boredom (boredom concentrating on us, the stretched 'now'), transposed onto engaged-but-inauthentic, they-self-governed learning (FAITHFUL-Mansikka, p.260-261, 263-264)."
bor-sec-18,treats-construct,boredom-as-regulatory-signal (functional account),"p.265, 267-268","Loose philosophical analog only: boredom 'wishes to tell us something... not something arbitrary or contingent' -- an existential-hermeneutic disclosure claim, not an empirical functional account (FAITHFUL-Mansikka, p.265, 267-268)."
bor-sec-18,treats-construct,flow / engagement (contrast pole),p.255,"Csikszentmihalyi's Flow (1990) named explicitly as boredom's contrast pole -- 'a feeling of wholeness and full involvement' -- in the paper's own opening paragraph (FE, p.255)."
bor-sec-18,treats-construct,monotony / meaninglessness,"p.262-263, 267-268","Technical/objectivistic instruction and Egan's 'desiccated' education (p.262-263); entertainment industry's continuous meaning-flattening amusement (p.267-268) (FAITHFUL-Mansikka)."
bor-sec-18,treats-construct,temporality of boredom (time-drag),p.259-262,"Langeweile ('long while') etymology, dragging time / held-in-delay, the stretched 'now' without past or future, and entrancement toward the Augenblick (FAITHFUL-Mansikka, p.259-262)."
bor-sec-18,qualifies,situational vs. trait/state boredom (false friend),p.259-260,"Mansikka's own label 'situative boredom' for the first form is phenomenological (situation-bound vs. arising from Dasein itself), not a psychometric state/trait claim; flagged as a false friend, not counted as a construct hit (P/anticipatory-application)."
bor-sec-18,qualifies,mind-wandering / task-unrelated thought (false friend),"p.260-261, 264","'Slipping away from ourselves toward whatever is happening' (second form) resembles attentional drift only superficially; the claim is ontological (self-abandonment to das Man), not attentional-cognitive; flagged as a false friend (P/anticipatory-application)."
bor-sec-18,defines,Stimmung / Befindlichkeit (TERM),p.258,"Mood and state-of-mind as existentials that disclose Dasein's Being-in-the-world 'as a whole' prior to any subject/object split; mood as a 'way' that 'sets the tone' for being (FAITHFUL-Mansikka, p.258)."
bor-sec-18,defines,Leergelassenheit / being left empty (FCM-NODE),p.259-262,"'Being left empty' by things at hand that offer nothing, transformed across the three forms into 'self-forming emptiness' and finally the 'telling refusal' of beings as a whole (FAITHFUL-Mansikka, p.259-262)."
bor-sec-18,defines,Hingehaltenheit / being held in delay (FCM-NODE),p.259-260,"'Held in delay' by time as it drags at the railway station, the first form's structural counterpart to being-left-empty (FAITHFUL-Mansikka, p.259-260)."
