source,relation,target,locus,provenance,note
fcm-04,instances-in-text,BOREDOM-FORM:Becoming bored by something (Gelangweiltwerden von etwas),p.78 / GA pp.118-19 / pdf 51,faithful,first/situation-bound form analyzed in this unit
§19,defines,CLAIM:awakening = letting boredom be awake / guarding against it falling asleep (C1),p.79 / GA pp.118-19 / pdf 51,faithful,reversal of the everyday task
§19,glosses-german,GERMAN:Zumutung,p.79 / GA pp.118-19 / pdf 51,faithful,'almost insane demand' to let boredom be awake (C2)
§19,glosses-german,GERMAN:Langeweile,p.79 / GA pp.118-19 / pdf 51,faithful,literally 'long while'; Weile and its stretching govern the analysis (Tr. note)
§19,marginal-note,GERMAN:Schwermut,p.79 / GA pp.118-19 / pdf 51,faithful,melancholy as the threshold obstinate boredom propels us toward
§20,grounds-question,METAPHYSICAL-QUESTION:world / finitude / individuation,p.81 / GA pp.121-22 / pdf 52,faithful,boredom→time→the three guiding questions (C3)
§20,temporalizes-as,TEMPORAL-STRUCTURE:feeling of time / relation to time,p.80 / GA pp.119-21 / pdf 51,faithful,Langeweile shows an obvious relation to time
§20,cites,INTERLOCUTOR:Novalis (homesickness),p.80 / GA pp.119-21 / pdf 51,faithful,profound boredom as homesickness; philosophizing as homesickness recalled
§21,defines,STRUCTURAL-MOMENT:being held in limbo (Hingehaltenheit),p.87 / GA pp.130-32 / pdf 56,faithful,'wearisome' = does not rivet us; held in limbo (C7)
§21,defines,STRUCTURAL-MOMENT:being left empty (Leergelassenheit),p.87 / GA pp.130-32 / pdf 56,faithful,'tedious' = does not engross us; left empty (C7)
§21,glosses-german,GERMAN:hingenommen,p.87 / GA pp.130-32 / pdf 56,faithful,given over to the book yet not 'taken' by it
§21,contests,CLAIM:cause-effect schema (book=cause / boredom=effect),p.88 / GA pp.132-33 / pdf 56,faithful,must disregard the cause-effect relation (C5)
§21,contests,CLAIM:transference schema (attunements transferred onto things),p.85 / GA pp.127-29 / pdf 53,faithful,if it already lies in things we apprehend not transfer (C6)
§21,cites,INTERLOCUTOR:Aristotle (Poetics),p.85 / GA pp.127-29 / pdf 53,faithful,source of 'metaphor' as warrant for the transference schema
§21,glosses-greek,GREEK:metaphora (μεταφορά / μεταφέρειν),p.85 / GA pp.127-29 / pdf 53,faithful,the transfer of attunements out of ourselves onto things
§21,qualifies,CLAIM:boredom and every attunement is a hybrid partly objective partly subjective (C8),p.88 / GA pp.132-33 / pdf 56,faithful,the attunement plays around the thing without transference
§22,defines,CLAIM:methodological directive — avoid analysis of consciousness; preserve immediacy of everyday Dasein (C9),p.91 / GA pp.136-38 / pdf 58,faithful,boredom not an object in the stream of consciousness
§22,glosses-german,GERMAN:Gelassenheit,p.91 / GA pp.136-38 / pdf 58,faithful,releasement of the everyday perspective from consciousness-theories
§22,discloses,CLAIM:passing the time gives the correct orientation to encounter boredom undisguised (C10),p.91 / GA pp.136-38 / pdf 58,faithful,boredom asserts itself where we oppose it
§22,deepens-into,BOREDOM-FORM:being bored with something (diffuse boredom),pp.91-92 / GA pp.138-39 / pdf 58,faithful,provisional distinction discarded; threshold to the second form (fcm-05)
§23a,instances-in-text,STRUCTURAL-MOMENT:the train-station situation,p.93 / GA pp.139-41 / pdf 59,faithful,four hours until the next train; counting trees; watching the clock
§23a,defines,TERM:Zeitvertreib (passing the time),p.94 / GA pp.141-42 / pdf 59,faithful,a driving-away of boredom that drives time on (C11)
§23a,glosses-german,GERMAN:Zeitvertreib ist ein Zeit antreibendes Wegtreiben der Langeweile,p.94 / GA pp.141-42 / pdf 59,faithful,German footnote giving the formula directly
§23a,contests,CLAIM:boredom is a waiting / impatience / ill humour (C12),p.95 / GA pp.142-44 / pdf 60,faithful,these surround but never constitute boredom
§23b,qualifies,CLAIM:looking at the watch is not passing-the-time but a sign of its failure (C13),p.97 / GA pp.146-47 / pdf 61,faithful,'helpless gesture' tracking increasing boredom
§23b,temporalizes-as,TEMPORAL-STRUCTURE:time as too-slow / dragging (not merely long or slow),p.97 / GA pp.146-47 / pdf 61,faithful,length of time plays no role; we fight the dragging (C14)
§23b,defines,CLAIM:becoming bored = paralysing being-affected by time as it drags (C15),p.98 / GA pp.147-49 / pdf 61,faithful,oppression rooted in the enigmatic essence of time
§23b,glosses-german,GERMAN:Andrangen,p.98 / GA pp.147-49 / pdf 61,faithful,the impressing of the power of time to which we are bound
§23b,qualifies,CLAIM:stick with boredom; do not collapse it into the problem of time (C16),p.99 / GA pp.149-50 / pdf 62,faithful,through boredom's essence glimpse the concealed essence of time
§23c,temporalizes-as,STRUCTURAL-MOMENT:being held in limbo (Hingehaltenheit),p.100 / GA pp.150-52 / pdf 63,faithful,held by time as it drags over the interval until the train (C17)
§23d,temporalizes-as,STRUCTURAL-MOMENT:being left empty (Leergelassenheit),p.103 / GA pp.155-56 / pdf 63,faithful,to leave empty = be something at hand that offers nothing (C18)
